arm,quantity,value,lo95,hi95,n,reading
A,g(128)-g(64),-0.0019,-0.0273,0.0217,805,
A,g(256)-g(128),0.028,0.0025,0.0553,805,STILL CLIMBING
B,g(128)-g(64),-0.0094,-0.0353,0.0147,850,
B,g(256)-g(128),0.0306,0.0047,0.0547,850,STILL CLIMBING
A,D3 n=128,-0.0357,-0.0553,-0.0165,805,
A,D3 n=256,-0.0239,-0.0429,-0.005,805,BETWEEN (unregistered gap)
A,certificate log 256,5.5452,,,,145.1048
A,g(256)-g(64),0.0261,-0.0056,0.0565,805,POST HOC
B,g(256)-g(64),0.0212,-0.0088,0.0512,850,POST HOC
A,g(128)-g(64) order-averaged,-0.0019,-0.014,0.0096,805,POST HOC
A,g(256)-g(128) order-averaged,0.0118,0.0003,0.0239,805,POST HOC
A,g(256)-g(64) order-averaged,0.0099,-0.005,0.0248,805,POST HOC
