mode,k_over_s,n_pairs,recall_TinyComma-1.8B + memorised Llama-3.1-8B,recall_Comma-7B + memorised Comma-7B,recall_Pleias-350M + mem. Pleias-350M,spread,sd
single,0.7,3,0.0,0.0011579699999999993,0.0,0.0011579699999999993,0.0005458722929403906
single,0.8,3,0.0,0.00273768,0.0,0.00273768,0.0012905547284791916
single,0.9,3,0.011540466666666659,0.011007500000000003,0.012177395000000008,0.0011698950000000041,0.00047823581823726216
single,1.0,3,0.02402649999999998,0.022975000000000016,0.0098,0.014226499999999979,0.006472845669066699
single,1.1,3,0.04102915,0.029528737500000013,0.02523761916666669,0.01579153083333331,0.00666704690816408
oracle,0.7,3,0.026449016666666644,0.014811059999999994,0.01032095625,0.016128060416666645,0.006796383023872365
oracle,0.8,3,0.051008399999999995,0.026012639999999997,0.021882640000000012,0.029125759999999983,0.01286750780305529
oracle,0.9,3,0.08731807666666663,0.047997012500000005,0.04867197000000001,0.03932106416666663,0.01837910412312277
oracle,1.0,3,0.12201249999999997,0.07594112500000003,0.06495008333333332,0.05706241666666664,0.024719524418180726
oracle,1.1,3,0.14225374999999998,0.10615552500000006,0.09721382250000005,0.04503992749999994,0.019469722822184926
