quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.176,0.1395,0.2125,500,0.171,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.1215,0.078,0.165,500,0.112,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.0545,0.0015,0.1075,500,0.059,REVERSAL CONFIRMED
"D4 blk10n64 gain, order-averaged",blk10n64,0.3065,0.2715,0.342,500,0.33,SURVIVES
"D5 blk10n64 minus selection, paired",blk10n64 - sel_n64,0.1305,0.0865,0.1755,500,,INCUMBENT WINS
order consistency,sel_n64,0.784,,,500,,STABLE
order consistency,sel_n1,0.796,,,500,,STABLE
order consistency,metered_k10,0.846,,,500,,STABLE
order consistency,anchor_k0,0.81,,,500,,STABLE
order consistency,blk10n64,0.764,,,500,,STABLE
