quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.11,0.085,0.1345,500,0.106,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.051,0.0255,0.0765,500,0.091,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.059,0.0235,0.094,500,0.015,REVERSAL CONFIRMED
"D4 blk25n64s2 gain, order-averaged",blk25n64s2,0.1505,0.1245,0.176,500,0.197,SURVIVES
"D5 blk25n64s2 minus selection, paired",blk25n64s2 - sel_n64,0.0405,0.007,0.0745,500,,INCUMBENT WINS
order consistency,sel_n64,0.28,,,500,,UNUSABLE
order consistency,sel_n1,0.296,,,500,,UNUSABLE
order consistency,metered_k10,0.374,,,500,,UNUSABLE
order consistency,anchor_k0,0.304,,,500,,UNUSABLE
order consistency,blk25n64s2,0.372,,,500,,UNUSABLE
