prompt_id,u_sel_n64,u_sel_n1,u_metered_k1,u_anchor_k0,gain_sel,gain_metered,diff
mtbench_100,0.5,0.5,0.0,0.5,0.0,-0.5,0.5
mtbench_101,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_102,1.0,1.0,0.5,1.0,0.0,-0.5,0.5
mtbench_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_105,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_106,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_107,0.5,0.0,1.0,0.0,0.5,1.0,-0.5
mtbench_108,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_110,1.0,0.5,0.5,0.5,0.5,0.0,0.5
mtbench_111,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_112,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_113,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_114,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_115,1.0,0.5,0.0,0.5,0.5,-0.5,1.0
mtbench_116,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_117,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_118,0.5,0.0,0.0,0.0,0.5,0.0,0.5
mtbench_119,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_120,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_121,0.75,0.0,0.0,0.0,0.75,0.0,0.75
mtbench_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_123,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_124,0.25,0.25,0.25,0.25,0.0,0.0,0.0
mtbench_125,0.0,0.5,0.0,0.5,-0.5,-0.5,0.0
mtbench_126,0.0,0.0,1.0,0.0,0.0,1.0,-1.0
mtbench_127,0.5,0.0,1.0,0.0,0.5,1.0,-0.5
mtbench_128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_129,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_130,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_131,0.25,0.25,0.25,0.25,0.0,0.0,0.0
mtbench_132,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_133,1.0,0.5,0.5,0.5,0.5,0.0,0.5
