prompt_id,u_sel_n64,u_sel_n1,u_metered_k10,u_anchor_k0,gain_sel,gain_metered,diff
bookmia100unseen.50.000,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.50.001,0.75,0.25,0.5,0.25,0.5,0.25,0.25
bookmia100unseen.50.002,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.50.003,0.75,0.25,0.5,0.25,0.5,0.25,0.25
bookmia100unseen.50.004,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.005,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.50.006,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.007,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.008,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.009,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.010,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.50.011,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.012,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.50.013,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.014,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.50.015,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.016,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.017,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.50.018,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.53.000,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.53.001,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.53.002,0.75,0.5,0.5,0.5,0.25,0.0,0.25
