prompt_id,u_sel_n64,u_sel_n1,u_metered_k10,u_anchor_k0,u_blk200n64s2,gain_sel,gain_metered,diff
1nzes2,0.0,0.5,0.5,0.5,0.5,-0.5,0.0,-0.5
2786lw,1.0,0.0,0.5,0.5,1.0,1.0,0.0,1.0
2ov45h,0.5,0.5,0.5,1.0,1.0,0.0,-0.5,0.5
49u4dh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4iorz7,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5
4xzr87,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0
53rqr9,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5
5apkek,1.0,0.0,0.25,0.0,0.5,1.0,0.25,0.75
5e6rcz,0.5,0.5,0.0,0.5,1.0,0.0,-0.5,0.5
5ec7q2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5f5p86,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0
5fqwjc,0.25,1.0,1.0,0.0,1.0,-0.75,1.0,-1.75
5g58dz,0.5,0.0,0.5,0.0,1.0,0.5,0.5,0.0
5gq4jc,1.0,0.0,0.0,0.5,0.0,1.0,-0.5,1.5
5j7ypk,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5je6l4,0.5,0.5,0.5,0.0,0.5,0.0,0.5,-0.5
5nc21f,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5
5nzsq6,0.0,0.0,1.0,0.0,0.5,0.0,1.0,-1.0
5ozqb9,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.5
5qf97d,1.0,0.0,0.0,0.5,1.0,1.0,-0.5,1.5
5qwzjo,0.5,1.0,0.0,1.0,0.0,-0.5,-1.0,0.5
5r104c,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5te65i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5umucz,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
5w4x14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609k0n,1.0,0.5,0.0,0.5,1.0,0.5,-0.5,1.0
625es0,1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
63dn97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63ku7q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64c0w6,1.0,0.0,0.5,1.0,1.0,1.0,-0.5,1.5
65458n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66uo64,1.0,1.0,1.0,0.0,0.5,0.0,1.0,-1.0
68f5c5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,-0.5
68ykga,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.5
69dzba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6d1iqq,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
6eytds,1.0,1.0,0.75,1.0,1.0,0.0,-0.25,0.25
6gl289,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5
6hoxmq,1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
6imc4i,1.0,1.0,1.0,0.5,1.0,0.0,0.5,-0.5
6isay3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ixx9u,1.0,1.0,0.5,0.0,0.5,0.0,0.5,-0.5
6k8gdu,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
6l6v6l,1.0,0.5,0.5,1.0,1.0,0.5,-0.5,1.0
6m7z8a,1.0,0.5,0.0,1.0,1.0,0.5,-1.0,1.5
6mztko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6o18uh,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6o679d,0.5,0.0,1.0,0.0,0.0,0.5,1.0,-0.5
6ohgxv,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0
6szrbs,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.5
6tsiyd,0.5,0.25,1.0,1.0,1.0,0.25,0.0,0.25
6wgtsx,1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
6wxzhc,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
6xisxt,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
6xngfe,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6xsruw,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0
71p51h,1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
72l2aj,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5
74ih3z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765fhd,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
76b9gc,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
77dd17,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
796161,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5
7adktz,0.25,1.0,0.5,0.0,0.5,-0.75,0.5,-1.25
7bowjq,1.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0
7d0x9k,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
7dcwik,1.0,0.0,0.0,0.75,0.75,1.0,-0.75,1.75
7e3im5,0.5,1.0,0.0,1.0,0.5,-0.5,-1.0,0.5
7en7vl,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7ezd5t,0.5,0.0,0.0,0.5,0.0,0.5,-0.5,1.0
7gjj2w,0.5,0.5,0.5,0.0,0.5,0.0,0.5,-0.5
7h9f8e,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0
7iltd1,1.0,0.25,1.0,1.0,1.0,0.75,0.0,0.75
7iubwq,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7jfvx7,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5
7jqj29,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7l7e1m,0.5,1.0,1.0,0.5,0.5,-0.5,0.5,-1.0
7ld0jk,0.5,1.0,1.0,1.0,1.0,-0.5,0.0,-0.5
7lzk5g,1.0,1.0,1.0,0.25,1.0,0.0,0.75,-0.75
7q0acw,1.0,1.0,1.0,0.5,0.5,0.0,0.5,-0.5
7rb6uj,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
7rie85,0.5,0.5,0.0,0.5,1.0,0.0,-0.5,0.5
7rpy8m,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0
7svmp5,1.0,1.0,1.0,0.75,1.0,0.0,0.25,-0.25
7tge90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7u04a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7uezw8,1.0,0.0,1.0,0.25,1.0,1.0,0.75,0.25
7v8ind,0.5,1.0,0.0,0.5,0.5,-0.5,-0.5,0.0
80sf6g,1.0,0.5,0.5,0.25,1.0,0.5,0.25,0.25
