alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,data/gutenberg/excerpts.jsonl,25,25,3542.804,0.7003,-7942.053,-0.836,9500,-25.774,-21655.755
1.0,0.75,data/gutenberg/excerpts.jsonl,25,25,3998.725,0.7904,-6349.084,-0.6683,9500,-25.774,-21655.755
1.0,1.0,data/gutenberg/excerpts.jsonl,25,25,4305.072,0.8509,-5250.051,-0.5526,9500,-25.774,-21655.755
1.0,1.5,data/gutenberg/excerpts.jsonl,25,25,4675.022,0.924,-3785.378,-0.3985,9500,-25.774,-21655.755
1.0,2.0,data/gutenberg/excerpts.jsonl,25,25,4864.948,0.9616,-2832.196,-0.2981,9500,-25.774,-21655.755
1.0,2.5,data/gutenberg/excerpts.jsonl,25,25,4961.897,0.9808,-2159.556,-0.2273,9500,-25.774,-21655.755
1.0,3.0,data/gutenberg/excerpts.jsonl,25,25,5009.651,0.9902,-1661.802,-0.1749,9500,-25.774,-21655.755
1.0,4.0,data/gutenberg/excerpts.jsonl,25,25,5043.952,0.997,-989.427,-0.1042,9500,-25.774,-21655.755
1.0,5.5,data/gutenberg/excerpts.jsonl,25,25,5055.657,0.9993,-446.033,-0.047,9500,-25.774,-21655.755
1.0,7.5,data/gutenberg/excerpts.jsonl,25,25,5058.447,0.9998,-146.011,-0.0154,9500,-25.774,-21655.755
1.0,10.0,data/gutenberg/excerpts.jsonl,25,25,5059.239,1.0,-46.102,-0.0049,9500,-25.774,-21655.755
1.0,14.0,data/gutenberg/excerpts.jsonl,25,25,5059.277,1.0,-26.747,-0.0028,9500,-25.774,-21655.755
2.0,0.5,data/gutenberg/excerpts.jsonl,25,25,2805.652,0.5546,-11534.103,-1.2141,9500,-25.774,-21655.755
2.0,0.75,data/gutenberg/excerpts.jsonl,25,25,3251.875,0.6428,-10180.579,-1.0716,9500,-25.774,-21655.755
