alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,2589.005,0.7417,-7152.246,-0.7529,9500,-31.114,-20925.61
1.0,0.75,attack_train,25,25,2886.794,0.827,-5692.55,-0.5992,9500,-31.114,-20925.61
1.0,1.0,attack_train,25,25,3075.102,0.881,-4692.092,-0.4939,9500,-31.114,-20925.61
1.0,1.5,attack_train,25,25,3283.857,0.9408,-3360.555,-0.3537,9500,-31.114,-20925.61
1.0,2.0,attack_train,25,25,3381.875,0.9689,-2493.656,-0.2625,9500,-31.114,-20925.61
1.0,2.5,attack_train,25,25,3430.223,0.9827,-1881.536,-0.1981,9500,-31.114,-20925.61
1.0,3.0,attack_train,25,25,3454.514,0.9897,-1431.211,-0.1507,9500,-31.114,-20925.61
1.0,4.0,attack_train,25,25,3475.238,0.9956,-829.216,-0.0873,9500,-31.114,-20925.61
1.0,5.5,attack_train,25,25,3485.223,0.9985,-357.698,-0.0377,9500,-31.114,-20925.61
1.0,7.5,attack_train,25,25,3489.097,0.9996,-116.519,-0.0123,9500,-31.114,-20925.61
1.0,10.0,attack_train,25,25,3490.487,1.0,-43.601,-0.0046,9500,-31.114,-20925.61
1.0,14.0,attack_train,25,25,3490.524,1.0,-31.38,-0.0033,9500,-31.114,-20925.61
2.0,0.5,attack_train,25,25,2092.021,0.5993,-10783.505,-1.1351,9500,-31.114,-20925.61
2.0,0.75,attack_train,25,25,2402.938,0.6884,-9498.652,-0.9999,9500,-31.114,-20925.61
2.0,1.0,attack_train,25,25,2625.531,0.7522,-8517.58,-0.8966,9500,-31.114,-20925.61
2.0,1.5,attack_train,25,25,2923.834,0.8376,-7008.284,-0.7377,9500,-31.114,-20925.61
2.0,2.0,attack_train,25,25,3109.342,0.8908,-5827.952,-0.6135,9500,-31.114,-20925.61
2.0,2.5,attack_train,25,25,3231.763,0.9259,-4849.94,-0.5105,9500,-31.114,-20925.61
2.0,3.0,attack_train,25,25,3312.244,0.9489,-4021.539,-0.4233,9500,-31.114,-20925.61
2.0,4.0,attack_train,25,25,3402.177,0.9747,-2691.905,-0.2834,9500,-31.114,-20925.61
2.0,5.5,attack_train,25,25,3456.699,0.9903,-1355.06,-0.1426,9500,-31.114,-20925.61
2.0,7.5,attack_train,25,25,3480.435,0.9971,-458.527,-0.0483,9500,-31.114,-20925.61
2.0,10.0,attack_train,25,25,3489.634,0.9997,-108.705,-0.0114,9500,-31.114,-20925.61
2.0,14.0,attack_train,25,25,3490.524,1.0,-33.341,-0.0035,9500,-31.114,-20925.61
4.0,0.5,attack_train,25,25,1669.513,0.4783,-13708.091,-1.443,9500,-31.114,-20925.61
4.0,0.75,attack_train,25,25,1970.901,0.5646,-12561.459,-1.3223,9500,-31.114,-20925.61
4.0,1.0,attack_train,25,25,2204.602,0.6316,-11579.525,-1.2189,9500,-31.114,-20925.61
4.0,1.5,attack_train,25,25,2552.951,0.7314,-9875.975,-1.0396,9500,-31.114,-20925.61
4.0,2.0,attack_train,25,25,2802.441,0.8029,-8389.878,-0.8831,9500,-31.114,-20925.61
4.0,2.5,attack_train,25,25,2989.024,0.8563,-7074.669,-0.7447,9500,-31.114,-20925.61
4.0,3.0,attack_train,25,25,3128.121,0.8962,-5915.423,-0.6227,9500,-31.114,-20925.61
4.0,4.0,attack_train,25,25,3305.143,0.9469,-3993.264,-0.4203,9500,-31.114,-20925.61
4.0,5.5,attack_train,25,25,3423.858,0.9809,-2014.394,-0.212,9500,-31.114,-20925.61
4.0,7.5,attack_train,25,25,3473.502,0.9951,-673.281,-0.0709,9500,-31.114,-20925.61
4.0,10.0,attack_train,25,25,3489.036,0.9996,-147.65,-0.0155,9500,-31.114,-20925.61
4.0,14.0,attack_train,25,25,3490.524,1.0,-34.458,-0.0036,9500,-31.114,-20925.61
8.0,0.5,attack_train,25,25,1354.605,0.3881,-15625.653,-1.6448,9500,-31.114,-20925.61
8.0,0.75,attack_train,25,25,1646.873,0.4718,-14475.03,-1.5237,9500,-31.114,-20925.61
8.0,1.0,attack_train,25,25,1885.727,0.5402,-13417.105,-1.4123,9500,-31.114,-20925.61
8.0,1.5,attack_train,25,25,2264.839,0.6489,-11494.917,-1.21,9500,-31.114,-20925.61
8.0,2.0,attack_train,25,25,2557.2,0.7326,-9778.668,-1.0293,9500,-31.114,-20925.61
8.0,2.5,attack_train,25,25,2787.538,0.7986,-8249.153,-0.8683,9500,-31.114,-20925.61
8.0,3.0,attack_train,25,25,2968.558,0.8505,-6897.893,-0.7261,9500,-31.114,-20925.61
8.0,4.0,attack_train,25,25,3214.112,0.9208,-4655.388,-0.49,9500,-31.114,-20925.61
8.0,5.5,attack_train,25,25,3393.29,0.9721,-2346.339,-0.247,9500,-31.114,-20925.61
8.0,7.5,attack_train,25,25,3468.235,0.9936,-781.145,-0.0822,9500,-31.114,-20925.61
8.0,10.0,attack_train,25,25,3488.534,0.9994,-167.67,-0.0176,9500,-31.114,-20925.61
8.0,14.0,attack_train,25,25,3490.524,1.0,-35.016,-0.0037,9500,-31.114,-20925.61
