alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,2677.115,0.7282,-7154.314,-0.7531,9500,-31.568,-20927.372
1.0,0.75,attack_train,25,25,2994.617,0.8145,-5694.415,-0.5994,9500,-31.568,-20927.372
1.0,1.0,attack_train,25,25,3198.043,0.8699,-4693.811,-0.4941,9500,-31.568,-20927.372
1.0,1.5,attack_train,25,25,3428.869,0.9326,-3361.614,-0.3539,9500,-31.568,-20927.372
1.0,2.0,attack_train,25,25,3542.019,0.9634,-2494.549,-0.2626,9500,-31.568,-20927.372
1.0,2.5,attack_train,25,25,3599.867,0.9791,-1882.301,-0.1981,9500,-31.568,-20927.372
1.0,3.0,attack_train,25,25,3630.218,0.9874,-1431.758,-0.1507,9500,-31.568,-20927.372
1.0,4.0,attack_train,25,25,3657.611,0.9949,-829.58,-0.0873,9500,-31.568,-20927.372
1.0,5.5,attack_train,25,25,3670.562,0.9984,-357.954,-0.0377,9500,-31.568,-20927.372
1.0,7.5,attack_train,25,25,3675.267,0.9997,-116.902,-0.0123,9500,-31.568,-20927.372
1.0,10.0,attack_train,25,25,3676.462,1.0,-43.983,-0.0046,9500,-31.568,-20927.372
1.0,14.0,attack_train,25,25,3676.536,1.0,-31.842,-0.0034,9500,-31.568,-20927.372
2.0,0.5,attack_train,25,25,2156.039,0.5864,-10785.093,-1.1353,9500,-31.568,-20927.372
2.0,0.75,attack_train,25,25,2484.017,0.6756,-9500.137,-1.0,9500,-31.568,-20927.372
2.0,1.0,attack_train,25,25,2719.673,0.7397,-8519.089,-0.8967,9500,-31.568,-20927.372
2.0,1.5,attack_train,25,25,3035.673,0.8257,-7008.953,-0.7378,9500,-31.568,-20927.372
2.0,2.0,attack_train,25,25,3238.744,0.8809,-5828.57,-0.6135,9500,-31.568,-20927.372
2.0,2.5,attack_train,25,25,3375.679,0.9182,-4850.518,-0.5106,9500,-31.568,-20927.372
2.0,3.0,attack_train,25,25,3468.655,0.9435,-4021.68,-0.4233,9500,-31.568,-20927.372
2.0,4.0,attack_train,25,25,3572.075,0.9716,-2691.864,-0.2834,9500,-31.568,-20927.372
2.0,5.5,attack_train,25,25,3635.594,0.9889,-1354.638,-0.1426,9500,-31.568,-20927.372
2.0,7.5,attack_train,25,25,3666.131,0.9972,-458.367,-0.0482,9500,-31.568,-20927.372
2.0,10.0,attack_train,25,25,3675.529,0.9997,-108.726,-0.0114,9500,-31.568,-20927.372
2.0,14.0,attack_train,25,25,3676.536,1.0,-33.869,-0.0036,9500,-31.568,-20927.372
4.0,0.5,attack_train,25,25,1716.549,0.4669,-13709.371,-1.4431,9500,-31.568,-20927.372
4.0,0.75,attack_train,25,25,2033.079,0.553,-12562.761,-1.3224,9500,-31.568,-20927.372
4.0,1.0,attack_train,25,25,2278.612,0.6198,-11581.016,-1.2191,9500,-31.568,-20927.372
4.0,1.5,attack_train,25,25,2641.754,0.7185,-9876.457,-1.0396,9500,-31.568,-20927.372
4.0,2.0,attack_train,25,25,2907.117,0.7907,-8390.356,-0.8832,9500,-31.568,-20927.372
4.0,2.5,attack_train,25,25,3110.106,0.8459,-7075.195,-0.7448,9500,-31.568,-20927.372
4.0,3.0,attack_train,25,25,3264.725,0.888,-5915.442,-0.6227,9500,-31.568,-20927.372
4.0,4.0,attack_train,25,25,3462.713,0.9418,-3993.058,-0.4203,9500,-31.568,-20927.372
4.0,5.5,attack_train,25,25,3594.793,0.9778,-2013.608,-0.212,9500,-31.568,-20927.372
4.0,7.5,attack_train,25,25,3656.451,0.9945,-672.808,-0.0708,9500,-31.568,-20927.372
4.0,10.0,attack_train,25,25,3674.755,0.9995,-147.419,-0.0155,9500,-31.568,-20927.372
4.0,14.0,attack_train,25,25,3676.536,1.0,-35.023,-0.0037,9500,-31.568,-20927.372
8.0,0.5,attack_train,25,25,1390.049,0.3781,-15626.887,-1.6449,9500,-31.568,-20927.372
8.0,0.75,attack_train,25,25,1696.509,0.4614,-14476.364,-1.5238,9500,-31.568,-20927.372
8.0,1.0,attack_train,25,25,1947.381,0.5297,-13418.696,-1.4125,9500,-31.568,-20927.372
8.0,1.5,attack_train,25,25,2340.877,0.6367,-11495.4,-1.21,9500,-31.568,-20927.372
8.0,2.0,attack_train,25,25,2646.216,0.7198,-9779.197,-1.0294,9500,-31.568,-20927.372
8.0,2.5,attack_train,25,25,2891.548,0.7865,-8249.745,-0.8684,9500,-31.568,-20927.372
8.0,3.0,attack_train,25,25,3088.186,0.84,-6897.837,-0.7261,9500,-31.568,-20927.372
8.0,4.0,attack_train,25,25,3359.054,0.9136,-4655.104,-0.49,9500,-31.568,-20927.372
8.0,5.5,attack_train,25,25,3557.935,0.9677,-2345.363,-0.2469,9500,-31.568,-20927.372
8.0,7.5,attack_train,25,25,3649.261,0.9926,-780.528,-0.0822,9500,-31.568,-20927.372
8.0,10.0,attack_train,25,25,3674.282,0.9994,-167.32,-0.0176,9500,-31.568,-20927.372
8.0,14.0,attack_train,25,25,3676.536,1.0,-35.6,-0.0037,9500,-31.568,-20927.372
