alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,5196.766,0.6976,-6432.24,-0.9859,6524,-323.351,-18340.991
1.0,0.75,attack_train,25,25,5861.607,0.7868,-5133.629,-0.7869,6524,-323.351,-18340.991
1.0,1.0,attack_train,25,25,6304.585,0.8463,-4238.052,-0.6496,6524,-323.351,-18340.991
1.0,1.5,attack_train,25,25,6834.541,0.9174,-3053.061,-0.468,6524,-323.351,-18340.991
1.0,2.0,attack_train,25,25,7111.809,0.9546,-2294.871,-0.3518,6524,-323.351,-18340.991
1.0,2.5,attack_train,25,25,7261.508,0.9747,-1771.939,-0.2716,6524,-323.351,-18340.991
1.0,3.0,attack_train,25,25,7343.131,0.9857,-1392.553,-0.2135,6524,-323.351,-18340.991
1.0,4.0,attack_train,25,25,7410.969,0.9948,-904.345,-0.1386,6524,-323.351,-18340.991
1.0,5.5,attack_train,25,25,7439.487,0.9986,-544.602,-0.0835,6524,-323.351,-18340.991
1.0,7.5,attack_train,25,25,7447.333,0.9997,-366.514,-0.0562,6524,-323.351,-18340.991
1.0,10.0,attack_train,25,25,7449.496,1.0,-326.993,-0.0501,6524,-323.351,-18340.991
1.0,14.0,attack_train,25,25,7449.735,1.0,-313.309,-0.048,6524,-323.351,-18340.991
2.0,0.5,attack_train,25,25,4059.952,0.545,-9533.465,-1.4613,6524,-323.351,-18340.991
2.0,0.75,attack_train,25,25,4713.126,0.6327,-8359.073,-1.2813,6524,-323.351,-18340.991
2.0,1.0,attack_train,25,25,5199.919,0.698,-7459.667,-1.1434,6524,-323.351,-18340.991
2.0,1.5,attack_train,25,25,5890.164,0.7907,-6088.707,-0.9333,6524,-323.351,-18340.991
2.0,2.0,attack_train,25,25,6355.007,0.8531,-5042.363,-0.7729,6524,-323.351,-18340.991
2.0,2.5,attack_train,25,25,6682.523,0.897,-4196.031,-0.6432,6524,-323.351,-18340.991
2.0,3.0,attack_train,25,25,6915.837,0.9283,-3496.722,-0.536,6524,-323.351,-18340.991
2.0,4.0,attack_train,25,25,7193.146,0.9656,-2422.681,-0.3713,6524,-323.351,-18340.991
2.0,5.5,attack_train,25,25,7364.613,0.9886,-1397.464,-0.2142,6524,-323.351,-18340.991
2.0,7.5,attack_train,25,25,7428.509,0.9972,-696.482,-0.1068,6524,-323.351,-18340.991
2.0,10.0,attack_train,25,25,7445.919,0.9995,-411.278,-0.063,6524,-323.351,-18340.991
2.0,14.0,attack_train,25,25,7449.53,1.0,-314.735,-0.0482,6524,-323.351,-18340.991
4.0,0.5,attack_train,25,25,3107.527,0.4171,-12032.793,-1.8444,6524,-323.351,-18340.991
4.0,0.75,attack_train,25,25,3706.401,0.4975,-10960.668,-1.6801,6524,-323.351,-18340.991
4.0,1.0,attack_train,25,25,4188.653,0.5623,-10046.94,-1.54,6524,-323.351,-18340.991
4.0,1.5,attack_train,25,25,4943.6,0.6636,-8487.848,-1.301,6524,-323.351,-18340.991
4.0,2.0,attack_train,25,25,5517.727,0.7407,-7170.211,-1.0991,6524,-323.351,-18340.991
4.0,2.5,attack_train,25,25,5968.987,0.8012,-6033.744,-0.9249,6524,-323.351,-18340.991
4.0,3.0,attack_train,25,25,6326.051,0.8492,-5055.966,-0.775,6524,-323.351,-18340.991
4.0,4.0,attack_train,25,25,6822.904,0.9159,-3504.328,-0.5371,6524,-323.351,-18340.991
4.0,5.5,attack_train,25,25,7217.284,0.9688,-1977.503,-0.3031,6524,-323.351,-18340.991
4.0,7.5,attack_train,25,25,7398.988,0.9932,-907.543,-0.1391,6524,-323.351,-18340.991
4.0,10.0,attack_train,25,25,7442.769,0.9991,-467.337,-0.0716,6524,-323.351,-18340.991
4.0,14.0,attack_train,25,25,7449.317,0.9999,-317.37,-0.0486,6524,-323.351,-18340.991
8.0,0.5,attack_train,25,25,2397.926,0.3219,-13683.744,-2.0974,6524,-323.351,-18340.991
8.0,0.75,attack_train,25,25,2949.527,0.3959,-12604.072,-1.932,6524,-323.351,-18340.991
8.0,1.0,attack_train,25,25,3417.447,0.4587,-11620.438,-1.7812,6524,-323.351,-18340.991
8.0,1.5,attack_train,25,25,4186.811,0.562,-9866.787,-1.5124,6524,-323.351,-18340.991
8.0,2.0,attack_train,25,25,4804.819,0.645,-8350.408,-1.28,6524,-323.351,-18340.991
8.0,2.5,attack_train,25,25,5315.104,0.7135,-7031.532,-1.0778,6524,-323.351,-18340.991
8.0,3.0,attack_train,25,25,5739.525,0.7704,-5891.185,-0.903,6524,-323.351,-18340.991
8.0,4.0,attack_train,25,25,6383.153,0.8568,-4077.257,-0.625,6524,-323.351,-18340.991
8.0,5.5,attack_train,25,25,6984.606,0.9376,-2283.071,-0.3499,6524,-323.351,-18340.991
8.0,7.5,attack_train,25,25,7339.333,0.9852,-1016.426,-0.1558,6524,-323.351,-18340.991
8.0,10.0,attack_train,25,25,7437.612,0.9984,-496.819,-0.0762,6524,-323.351,-18340.991
8.0,14.0,attack_train,25,25,7449.204,0.9999,-318.791,-0.0489,6524,-323.351,-18340.991
