alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,3627.092,0.6981,-7386.352,-1.0178,7257,-184.44,-19695.336
1.0,0.75,attack_train,25,25,4080.479,0.7854,-5867.172,-0.8085,7257,-184.44,-19695.336
1.0,1.0,attack_train,25,25,4378.034,0.8427,-4816.186,-0.6637,7257,-184.44,-19695.336
1.0,1.5,attack_train,25,25,4734.847,0.9114,-3423.292,-0.4717,7257,-184.44,-19695.336
1.0,2.0,attack_train,25,25,4925.819,0.9481,-2531.094,-0.3488,7257,-184.44,-19695.336
1.0,2.5,attack_train,25,25,5032.614,0.9687,-1919.452,-0.2645,7257,-184.44,-19695.336
1.0,3.0,attack_train,25,25,5095.645,0.9808,-1486.09,-0.2048,7257,-184.44,-19695.336
1.0,4.0,attack_train,25,25,5155.252,0.9923,-917.02,-0.1264,7257,-184.44,-19695.336
1.0,5.5,attack_train,25,25,5182.053,0.9974,-486.107,-0.067,7257,-184.44,-19695.336
1.0,7.5,attack_train,25,25,5192.536,0.9994,-283.211,-0.039,7257,-184.44,-19695.336
1.0,10.0,attack_train,25,25,5194.856,0.9999,-206.439,-0.0284,7257,-184.44,-19695.336
1.0,14.0,attack_train,25,25,5195.271,1.0,-185.433,-0.0256,7257,-184.44,-19695.336
2.0,0.5,attack_train,25,25,2871.513,0.5527,-10503.463,-1.4474,7257,-184.44,-19695.336
2.0,0.75,attack_train,25,25,3324.467,0.6399,-9155.469,-1.2616,7257,-184.44,-19695.336
2.0,1.0,attack_train,25,25,3653.296,0.7032,-8130.939,-1.1204,7257,-184.44,-19695.336
2.0,1.5,attack_train,25,25,4108.46,0.7908,-6584.185,-0.9073,7257,-184.44,-19695.336
2.0,2.0,attack_train,25,25,4408.315,0.8485,-5407.623,-0.7452,7257,-184.44,-19695.336
2.0,2.5,attack_train,25,25,4615.376,0.8884,-4467.703,-0.6156,7257,-184.44,-19695.336
2.0,3.0,attack_train,25,25,4765.082,0.9172,-3709.15,-0.5111,7257,-184.44,-19695.336
2.0,4.0,attack_train,25,25,4957.519,0.9542,-2528.673,-0.3484,7257,-184.44,-19695.336
2.0,5.5,attack_train,25,25,5091.291,0.98,-1391.835,-0.1918,7257,-184.44,-19695.336
2.0,7.5,attack_train,25,25,5161.662,0.9935,-650.439,-0.0896,7257,-184.44,-19695.336
2.0,10.0,attack_train,25,25,5186.352,0.9983,-305.562,-0.0421,7257,-184.44,-19695.336
2.0,14.0,attack_train,25,25,5191.523,0.9993,-191.356,-0.0264,7257,-184.44,-19695.336
4.0,0.5,attack_train,25,25,2238.104,0.4308,-13011.221,-1.7929,7257,-184.44,-19695.336
4.0,0.75,attack_train,25,25,2665.215,0.513,-11814.305,-1.628,7257,-184.44,-19695.336
4.0,1.0,attack_train,25,25,3000.074,0.5774,-10805.28,-1.4889,7257,-184.44,-19695.336
4.0,1.5,attack_train,25,25,3508.338,0.6753,-9096.045,-1.2534,7257,-184.44,-19695.336
4.0,2.0,attack_train,25,25,3883.321,0.7475,-7647.358,-1.0538,7257,-184.44,-19695.336
4.0,2.5,attack_train,25,25,4168.203,0.8023,-6408.19,-0.883,7257,-184.44,-19695.336
4.0,3.0,attack_train,25,25,4391.542,0.8453,-5363.161,-0.739,7257,-184.44,-19695.336
4.0,4.0,attack_train,25,25,4708.455,0.9063,-3679.756,-0.5071,7257,-184.44,-19695.336
4.0,5.5,attack_train,25,25,4969.895,0.9566,-2007.443,-0.2766,7257,-184.44,-19695.336
4.0,7.5,attack_train,25,25,5118.929,0.9853,-887.288,-0.1223,7257,-184.44,-19695.336
4.0,10.0,attack_train,25,25,5176.767,0.9964,-366.397,-0.0505,7257,-184.44,-19695.336
4.0,14.0,attack_train,25,25,5188.8,0.9987,-193.919,-0.0267,7257,-184.44,-19695.336
8.0,0.5,attack_train,25,25,1771.935,0.3411,-14708.95,-2.0269,7257,-184.44,-19695.336
8.0,0.75,attack_train,25,25,2178.291,0.4193,-13530.386,-1.8645,7257,-184.44,-19695.336
8.0,1.0,attack_train,25,25,2514.636,0.484,-12462.09,-1.7173,7257,-184.44,-19695.336
8.0,1.5,attack_train,25,25,3052.613,0.5876,-10557.176,-1.4548,7257,-184.44,-19695.336
8.0,2.0,attack_train,25,25,3469.602,0.6678,-8896.11,-1.2259,7257,-184.44,-19695.336
8.0,2.5,attack_train,25,25,3800.151,0.7314,-7460.465,-1.028,7257,-184.44,-19695.336
8.0,3.0,attack_train,25,25,4069.99,0.7834,-6243.61,-0.8604,7257,-184.44,-19695.336
8.0,4.0,attack_train,25,25,4473.522,0.8611,-4281.041,-0.5899,7257,-184.44,-19695.336
8.0,5.5,attack_train,25,25,4837.318,0.9311,-2326.189,-0.3205,7257,-184.44,-19695.336
8.0,7.5,attack_train,25,25,5064.164,0.9747,-1009.928,-0.1392,7257,-184.44,-19695.336
8.0,10.0,attack_train,25,25,5162.351,0.9936,-397.929,-0.0548,7257,-184.44,-19695.336
8.0,14.0,attack_train,25,25,5185.549,0.9981,-195.159,-0.0269,7257,-184.44,-19695.336
