alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,4274.366,0.6182,-9960.697,-1.4584,6830,-43.892,-23868.75
1.0,0.75,attack_train,25,25,4948.237,0.7157,-7916.63,-1.1591,6830,-43.892,-23868.75
1.0,1.0,attack_train,25,25,5423.037,0.7844,-6488.602,-0.95,6830,-43.892,-23868.75
1.0,1.5,attack_train,25,25,6032.082,0.8725,-4598.006,-0.6732,6830,-43.892,-23868.75
1.0,2.0,attack_train,25,25,6384.471,0.9235,-3398.158,-0.4975,6830,-43.892,-23868.75
1.0,2.5,attack_train,25,25,6594.749,0.9539,-2568.526,-0.3761,6830,-43.892,-23868.75
1.0,3.0,attack_train,25,25,6722.301,0.9723,-1969.777,-0.2884,6830,-43.892,-23868.75
1.0,4.0,attack_train,25,25,6842.755,0.9897,-1183.909,-0.1733,6830,-43.892,-23868.75
1.0,5.5,attack_train,25,25,6895.664,0.9974,-557.196,-0.0816,6830,-43.892,-23868.75
1.0,7.5,attack_train,25,25,6910.382,0.9995,-211.555,-0.031,6830,-43.892,-23868.75
1.0,10.0,attack_train,25,25,6913.169,0.9999,-78.494,-0.0115,6830,-43.892,-23868.75
1.0,14.0,attack_train,25,25,6913.667,1.0,-46.921,-0.0069,6830,-43.892,-23868.75
2.0,0.5,attack_train,25,25,3423.545,0.4952,-13466.503,-1.9717,6830,-43.892,-23868.75
2.0,0.75,attack_train,25,25,4071.286,0.5889,-11745.763,-1.7197,6830,-43.892,-23868.75
2.0,1.0,attack_train,25,25,4564.835,0.6603,-10447.6,-1.5297,6830,-43.892,-23868.75
2.0,1.5,attack_train,25,25,5272.522,0.7626,-8511.111,-1.2461,6830,-43.892,-23868.75
2.0,2.0,attack_train,25,25,5754.216,0.8323,-7064.795,-1.0344,6830,-43.892,-23868.75
2.0,2.5,attack_train,25,25,6091.39,0.8811,-5898.32,-0.8636,6830,-43.892,-23868.75
2.0,3.0,attack_train,25,25,6331.79,0.9158,-4934.251,-0.7224,6830,-43.892,-23868.75
2.0,4.0,attack_train,25,25,6621.696,0.9578,-3428.158,-0.5019,6830,-43.892,-23868.75
2.0,5.5,attack_train,25,25,6803.943,0.9841,-1896.203,-0.2776,6830,-43.892,-23868.75
2.0,7.5,attack_train,25,25,6881.302,0.9953,-776.805,-0.1137,6830,-43.892,-23868.75
2.0,10.0,attack_train,25,25,6906.687,0.999,-229.149,-0.0336,6830,-43.892,-23868.75
2.0,14.0,attack_train,25,25,6913.328,1.0,-64.404,-0.0094,6830,-43.892,-23868.75
4.0,0.5,attack_train,25,25,2739.199,0.3962,-16275.576,-2.383,6830,-43.892,-23868.75
4.0,0.75,attack_train,25,25,3344.452,0.4837,-14849.946,-2.1742,6830,-43.892,-23868.75
4.0,1.0,attack_train,25,25,3834.222,0.5546,-13660.964,-2.0001,6830,-43.892,-23868.75
4.0,1.5,attack_train,25,25,4592.947,0.6643,-11650.168,-1.7057,6830,-43.892,-23868.75
4.0,2.0,attack_train,25,25,5160.487,0.7464,-9949.505,-1.4567,6830,-43.892,-23868.75
4.0,2.5,attack_train,25,25,5591.928,0.8088,-8461.058,-1.2388,6830,-43.892,-23868.75
4.0,3.0,attack_train,25,25,5923.354,0.8568,-7164.846,-1.049,6830,-43.892,-23868.75
4.0,4.0,attack_train,25,25,6366.747,0.9209,-5044.689,-0.7386,6830,-43.892,-23868.75
4.0,5.5,attack_train,25,25,6690.335,0.9677,-2808.189,-0.4112,6830,-43.892,-23868.75
4.0,7.5,attack_train,25,25,6845.848,0.9902,-1140.423,-0.167,6830,-43.892,-23868.75
4.0,10.0,attack_train,25,25,6899.215,0.9979,-321.599,-0.0471,6830,-43.892,-23868.75
4.0,14.0,attack_train,25,25,6913.019,0.9999,-74.719,-0.0109,6830,-43.892,-23868.75
8.0,0.5,attack_train,25,25,2238.442,0.3238,-18252.634,-2.6724,6830,-43.892,-23868.75
8.0,0.75,attack_train,25,25,2815.416,0.4072,-16926.425,-2.4782,6830,-43.892,-23868.75
8.0,1.0,attack_train,25,25,3304.82,0.478,-15713.676,-2.3007,6830,-43.892,-23868.75
8.0,1.5,attack_train,25,25,4100.165,0.5931,-13514.668,-1.9787,6830,-43.892,-23868.75
8.0,2.0,attack_train,25,25,4723.731,0.6832,-11578.28,-1.6952,6830,-43.892,-23868.75
8.0,2.5,attack_train,25,25,5215.678,0.7544,-9859.152,-1.4435,6830,-43.892,-23868.75
8.0,3.0,attack_train,25,25,5605.29,0.8108,-8353.472,-1.2231,6830,-43.892,-23868.75
8.0,4.0,attack_train,25,25,6154.749,0.8902,-5883.166,-0.8614,6830,-43.892,-23868.75
8.0,5.5,attack_train,25,25,6588.062,0.9529,-3273.46,-0.4793,6830,-43.892,-23868.75
8.0,7.5,attack_train,25,25,6813.843,0.9856,-1325.032,-0.194,6830,-43.892,-23868.75
8.0,10.0,attack_train,25,25,6892.698,0.997,-368.664,-0.054,6830,-43.892,-23868.75
8.0,14.0,attack_train,25,25,6912.833,0.9999,-79.742,-0.0117,6830,-43.892,-23868.75
