alpha,k,split,n_protected,n_ordinary,ordinary_split,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,neutral,2413.837,0.7811,-5857.684,-0.8992,6514,-94.502,-17056.288
1.0,0.75,attack_train,25,25,neutral,2634.708,0.8525,-4647.28,-0.7134,6514,-94.502,-17056.288
1.0,1.0,attack_train,25,25,neutral,2768.313,0.8958,-3816.512,-0.5859,6514,-94.502,-17056.288
1.0,1.5,attack_train,25,25,neutral,2913.202,0.9427,-2720.642,-0.4177,6514,-94.502,-17056.288
1.0,2.0,attack_train,25,25,neutral,2985.598,0.9661,-2021.229,-0.3103,6514,-94.502,-17056.288
1.0,2.5,attack_train,25,25,neutral,3025.792,0.9791,-1537.15,-0.236,6514,-94.502,-17056.288
1.0,3.0,attack_train,25,25,neutral,3049.583,0.9868,-1186.599,-0.1822,6514,-94.502,-17056.288
1.0,4.0,attack_train,25,25,neutral,3073.199,0.9944,-745.151,-0.1144,6514,-94.502,-17056.288
1.0,5.5,attack_train,25,25,neutral,3085.427,0.9984,-392.106,-0.0602,6514,-94.502,-17056.288
1.0,7.5,attack_train,25,25,neutral,3089.303,0.9996,-199.296,-0.0306,6514,-94.502,-17056.288
1.0,10.0,attack_train,25,25,neutral,3090.188,0.9999,-120.491,-0.0185,6514,-94.502,-17056.288
1.0,14.0,attack_train,25,25,neutral,3090.396,1.0,-96.865,-0.0149,6514,-94.502,-17056.288
2.0,0.5,attack_train,25,25,neutral,1967.134,0.6365,-8774.179,-1.347,6514,-94.502,-17056.288
2.0,0.75,attack_train,25,25,neutral,2214.8,0.7167,-7681.256,-1.1792,6514,-94.502,-17056.288
2.0,1.0,attack_train,25,25,neutral,2385.455,0.7719,-6850.973,-1.0517,6514,-94.502,-17056.288
2.0,1.5,attack_train,25,25,neutral,2604.434,0.8428,-5586.217,-0.8576,6514,-94.502,-17056.288
2.0,2.0,attack_train,25,25,neutral,2739.387,0.8864,-4619.944,-0.7092,6514,-94.502,-17056.288
2.0,2.5,attack_train,25,25,neutral,2830.629,0.9159,-3842.117,-0.5898,6514,-94.502,-17056.288
2.0,3.0,attack_train,25,25,neutral,2895.332,0.9369,-3200.608,-0.4913,6514,-94.502,-17056.288
2.0,4.0,attack_train,25,25,neutral,2978.116,0.9637,-2229.633,-0.3423,6514,-94.502,-17056.288
2.0,5.5,attack_train,25,25,neutral,3040.222,0.9838,-1270.226,-0.195,6514,-94.502,-17056.288
2.0,7.5,attack_train,25,25,neutral,3074.841,0.995,-599.736,-0.0921,6514,-94.502,-17056.288
2.0,10.0,attack_train,25,25,neutral,3086.686,0.9988,-247.141,-0.0379,6514,-94.502,-17056.288
2.0,14.0,attack_train,25,25,neutral,3089.878,0.9998,-111.544,-0.0171,6514,-94.502,-17056.288
4.0,0.5,attack_train,25,25,neutral,1553.442,0.5027,-11119.165,-1.707,6514,-94.502,-17056.288
4.0,0.75,attack_train,25,25,neutral,1798.193,0.5819,-10119.581,-1.5535,6514,-94.502,-17056.288
4.0,1.0,attack_train,25,25,neutral,1981.889,0.6413,-9276.384,-1.4241,6514,-94.502,-17056.288
4.0,1.5,attack_train,25,25,neutral,2244.72,0.7264,-7835.284,-1.2028,6514,-94.502,-17056.288
4.0,2.0,attack_train,25,25,neutral,2428.197,0.7857,-6613.718,-1.0153,6514,-94.502,-17056.288
4.0,2.5,attack_train,25,25,neutral,2567.684,0.8309,-5568.992,-0.8549,6514,-94.502,-17056.288
4.0,3.0,attack_train,25,25,neutral,2675.753,0.8658,-4674.467,-0.7176,6514,-94.502,-17056.288
4.0,4.0,attack_train,25,25,neutral,2828.13,0.9151,-3270.166,-0.502,6514,-94.502,-17056.288
4.0,5.5,attack_train,25,25,neutral,2957.901,0.9571,-1851.552,-0.2842,6514,-94.502,-17056.288
4.0,7.5,attack_train,25,25,neutral,3041.417,0.9842,-852.425,-0.1309,6514,-94.502,-17056.288
4.0,10.0,attack_train,25,25,neutral,3078.648,0.9962,-324.879,-0.0499,6514,-94.502,-17056.288
4.0,14.0,attack_train,25,25,neutral,3088.963,0.9995,-120.091,-0.0184,6514,-94.502,-17056.288
8.0,0.5,attack_train,25,25,neutral,1220.125,0.3948,-12659.051,-1.9434,6514,-94.502,-17056.288
8.0,0.75,attack_train,25,25,neutral,1449.763,0.4691,-11648.532,-1.7882,6514,-94.502,-17056.288
8.0,1.0,attack_train,25,25,neutral,1630.035,0.5275,-10739.913,-1.6487,6514,-94.502,-17056.288
8.0,1.5,attack_train,25,25,neutral,1904.445,0.6162,-9116.592,-1.3995,6514,-94.502,-17056.288
8.0,2.0,attack_train,25,25,neutral,2112.226,0.6835,-7708.316,-1.1833,6514,-94.502,-17056.288
8.0,2.5,attack_train,25,25,neutral,2280.025,0.7378,-6494.769,-0.997,6514,-94.502,-17056.288
8.0,3.0,attack_train,25,25,neutral,2417.566,0.7823,-5453.057,-0.8371,6514,-94.502,-17056.288
8.0,4.0,attack_train,25,25,neutral,2628.346,0.8505,-3816.147,-0.5858,6514,-94.502,-17056.288
8.0,5.5,attack_train,25,25,neutral,2833.961,0.917,-2153.873,-0.3307,6514,-94.502,-17056.288
8.0,7.5,attack_train,25,25,neutral,2984.092,0.9656,-978.326,-0.1502,6514,-94.502,-17056.288
8.0,10.0,attack_train,25,25,neutral,3061.507,0.9907,-363.73,-0.0558,6514,-94.502,-17056.288
8.0,14.0,attack_train,25,25,neutral,3087.38,0.999,-124.451,-0.0191,6514,-94.502,-17056.288
