pair,alpha,published_k,F,k_matched,nats_per_window,log10_factor
KL3M-520M,2.0,0.5,0.6873,0.9969,7.0515,3.0624
KL3M-520M,2.0,0.75,0.7758,1.4867,7.2814,3.1623
KL3M-520M,2.0,1.0,0.8356,1.9633,6.7703,2.9403
KL3M-520M,2.0,1.5,0.9094,2.8861,4.9562,2.1525
KL3M-520M,2.0,2.0,0.9493,3.8113,2.7446,1.192
KL3M-520M,2.0,2.5,0.9709,4.7906,0.7242,0.3145
KL3M-520M,2.0,3.0,0.9826,5.4499,-0.0602,-0.0261
KL3M-520M,2.0,4.0,0.9929,7.059,-1.0332,-0.4487
KL3M-520M,2.0,5.5,0.9976,8.8751,-0.5591,-0.2428
KL3M-520M,2.0,7.5,0.9994,10.8445,-0.1053,-0.0457
KL3M-520M,2.0,10.0,0.9999,13.6174,-0.0048,-0.0021
KL3M-520M,2.0,14.0,1.0,14.0,0.0429,0.0186
KL3M-520M,4.0,0.5,0.6873,1.7607,10.6729,4.6352
KL3M-520M,4.0,0.75,0.7758,2.4582,8.5863,3.729
KL3M-520M,4.0,1.0,0.8356,3.1054,6.1457,2.6691
KL3M-520M,4.0,1.5,0.9094,4.2709,1.9849,0.862
KL3M-520M,4.0,2.0,0.9493,5.2717,-0.7057,-0.3065
KL3M-520M,4.0,2.5,0.9709,6.305,-2.232,-0.9694
KL3M-520M,4.0,3.0,0.9826,7.0579,-2.6782,-1.1631
KL3M-520M,4.0,4.0,0.9929,8.4319,-2.1099,-0.9163
KL3M-520M,4.0,5.5,0.9976,9.7446,-0.9267,-0.4024
KL3M-520M,4.0,7.5,0.9994,12.4928,-0.2157,-0.0937
KL3M-520M,4.0,10.0,0.9999,13.8323,0.0005,0.0002
KL3M-520M,8.0,0.5,0.6873,2.4772,6.7303,2.923
KL3M-520M,8.0,0.75,0.7758,3.3345,2.9372,1.2756
KL3M-520M,8.0,1.0,0.8356,4.0084,0.1475,0.064
KL3M-520M,8.0,1.5,0.9094,5.2574,-3.3746,-1.4656
KL3M-520M,8.0,2.0,0.9493,6.4234,-4.9676,-2.1574
KL3M-520M,8.0,2.5,0.9709,7.2037,-5.1256,-2.226
KL3M-520M,8.0,3.0,0.9826,7.9863,-4.6248,-2.0085
KL3M-520M,8.0,4.0,0.9929,9.4059,-3.1816,-1.3818
KL3M-520M,8.0,5.5,0.9976,10.6208,-1.2862,-0.5586
KL3M-520M,8.0,7.5,0.9994,13.2461,-0.3467,-0.1506
KL3M-520M,8.0,10.0,0.9999,13.9576,-0.0139,-0.006
Phi-3.5-mini,2.0,0.5,0.6981,0.9801,5.6926,2.4723
Phi-3.5-mini,2.0,0.75,0.7854,1.4693,5.5953,2.43
Phi-3.5-mini,2.0,1.0,0.8427,1.9495,4.8936,2.1253
Phi-3.5-mini,2.0,1.5,0.9114,2.899,3.0251,1.3138
Phi-3.5-mini,2.0,2.0,0.9481,3.8353,1.3231,0.5746
Phi-3.5-mini,2.0,2.5,0.9687,4.842,-0.1995,-0.0867
Phi-3.5-mini,2.0,3.0,0.9808,5.6237,-0.9655,-0.4193
Phi-3.5-mini,2.0,4.0,0.9923,7.3178,-1.3714,-0.5956
Phi-3.5-mini,2.0,5.5,0.9974,9.5647,-0.8302,-0.3606
Phi-3.5-mini,4.0,0.5,0.6981,1.6583,8.6186,3.743
Phi-3.5-mini,4.0,0.75,0.7854,2.346,6.3566,2.7606
Phi-3.5-mini,4.0,1.0,0.8427,2.9698,4.2041,1.8258
