alpha,F,n_pairs,log10_lo,log10_hi,log10_spread
2.0,0.7,3,2.471,4.435,1.963
2.0,0.75,3,2.447,4.528,2.081
2.0,0.8,3,2.352,4.49,2.137
2.0,0.85,3,2.039,4.215,2.176
2.0,0.9,3,1.448,3.688,2.24
2.0,0.95,3,0.514,2.667,2.154
2.0,0.98,3,-0.397,1.319,1.717
2.0,0.99,3,-0.56,0.82,1.381
4.0,0.7,3,3.722,7.832,4.11
4.0,0.75,3,3.159,7.561,4.403
4.0,0.8,3,2.522,7.018,4.496
4.0,0.85,3,1.66,6.073,4.414
4.0,0.9,3,0.522,4.89,4.369
4.0,0.95,3,-0.762,2.847,3.609
4.0,0.98,3,-1.26,1.365,2.625
4.0,0.99,3,-1.108,0.67,1.778
8.0,0.7,3,2.438,8.748,6.31
8.0,0.75,3,1.581,8.129,6.548
8.0,0.8,3,0.672,7.241,6.57
8.0,0.85,3,-0.363,5.958,6.321
8.0,0.9,3,-1.399,4.403,5.802
8.0,0.95,3,-2.16,2.443,4.603
8.0,0.98,3,-2.057,0.988,3.045
8.0,0.99,3,-1.558,0.526,2.084
