candidate,alpha,n_pairs,spearman,exact_two_sided_p,exact,n_families,spearman_family,exact_two_sided_p_family
risky,2.0,10,0.503,0.14407,True,6,0.6,0.24167
risky,4.0,10,0.5394,0.11416,True,6,0.7714,0.10278
risky,8.0,10,0.6121,0.06689,True,6,0.8857,0.03333
anchor,2.0,10,-0.3576,0.31258,True,6,-0.2571,0.65833
anchor,4.0,10,-0.0061,1.0,True,6,0.0857,0.91944
anchor,8.0,10,0.0909,0.81083,True,6,0.1429,0.80278
gap,2.0,10,-0.3576,0.31258,True,6,-0.2571,0.65833
gap,4.0,10,-0.0061,1.0,True,6,0.0857,0.91944
gap,8.0,10,0.0909,0.81083,True,6,0.1429,0.80278
F,2.0,10,-0.1152,0.75862,True,6,-0.0857,0.91944
F,4.0,10,-0.4545,0.19136,True,6,-0.4286,0.41944
F,8.0,10,-0.4909,0.15517,True,6,-0.3714,0.49722
params,2.0,10,-0.3455,0.33021,True,6,-0.2,0.71389
params,4.0,10,-0.3212,0.3678,True,6,-0.3143,0.56389
params,8.0,10,-0.2121,0.56045,True,6,-0.1429,0.80278
ntok,2.0,10,-0.1273,0.73268,True,6,0.0857,0.91944
ntok,4.0,10,0.1273,0.733,True,6,0.3714,0.49722
ntok,8.0,10,0.2121,0.55993,True,6,0.5429,0.29722
