alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,4526.964,0.5992,-6371.132,-1.201,5305,-7.028,-16172.56
1.0,0.75,attack_train,25,25,5282.893,0.6993,-5029.779,-0.9481,5305,-7.028,-16172.56
1.0,1.0,attack_train,25,25,5820.994,0.7705,-4093.765,-0.7717,5305,-7.028,-16172.56
1.0,1.5,attack_train,25,25,6517.208,0.8626,-2859.152,-0.539,5305,-7.028,-16172.56
1.0,2.0,attack_train,25,25,6921.145,0.9161,-2079.774,-0.392,5305,-7.028,-16172.56
1.0,2.5,attack_train,25,25,7163.824,0.9482,-1545.443,-0.2913,5305,-7.028,-16172.56
1.0,3.0,attack_train,25,25,7311.912,0.9678,-1161.142,-0.2189,5305,-7.028,-16172.56
1.0,4.0,attack_train,25,25,7461.262,0.9876,-663.977,-0.1252,5305,-7.028,-16172.56
1.0,5.5,attack_train,25,25,7533.379,0.9971,-285.332,-0.0538,5305,-7.028,-16172.56
1.0,7.5,attack_train,25,25,7551.318,0.9995,-92.112,-0.0174,5305,-7.028,-16172.56
1.0,10.0,attack_train,25,25,7554.604,0.9999,-23.413,-0.0044,5305,-7.028,-16172.56
1.0,14.0,attack_train,25,25,7555.022,1.0,-7.587,-0.0014,5305,-7.028,-16172.56
2.0,0.5,attack_train,25,25,3621.84,0.4794,-8821.458,-1.6629,5305,-7.028,-16172.56
2.0,0.75,attack_train,25,25,4342.458,0.5748,-7657.005,-1.4434,5305,-7.028,-16172.56
2.0,1.0,attack_train,25,25,4894.007,0.6478,-6771.155,-1.2764,5305,-7.028,-16172.56
2.0,1.5,attack_train,25,25,5686.024,0.7526,-5444.259,-1.0263,5305,-7.028,-16172.56
2.0,2.0,attack_train,25,25,6218.903,0.8231,-4454.451,-0.8397,5305,-7.028,-16172.56
2.0,2.5,attack_train,25,25,6593.603,0.8727,-3666.466,-0.6911,5305,-7.028,-16172.56
2.0,3.0,attack_train,25,25,6861.903,0.9083,-3016.434,-0.5686,5305,-7.028,-16172.56
2.0,4.0,attack_train,25,25,7196.723,0.9526,-2016.527,-0.3801,5305,-7.028,-16172.56
2.0,5.5,attack_train,25,25,7429.541,0.9834,-1044.449,-0.1969,5305,-7.028,-16172.56
2.0,7.5,attack_train,25,25,7526.221,0.9962,-392.117,-0.0739,5305,-7.028,-16172.56
2.0,10.0,attack_train,25,25,7551.591,0.9995,-96.969,-0.0183,5305,-7.028,-16172.56
2.0,14.0,attack_train,25,25,7555.021,1.0,-11.198,-0.0021,5305,-7.028,-16172.56
4.0,0.5,attack_train,25,25,2901.161,0.384,-10788.512,-2.0336,5305,-7.028,-16172.56
4.0,0.75,attack_train,25,25,3571.881,0.4728,-9785.324,-1.8445,5305,-7.028,-16172.56
4.0,1.0,attack_train,25,25,4115.863,0.5448,-8939.653,-1.6851,5305,-7.028,-16172.56
4.0,1.5,attack_train,25,25,4956.558,0.6561,-7509.913,-1.4156,5305,-7.028,-16172.56
4.0,2.0,attack_train,25,25,5578.161,0.7383,-6313.634,-1.1901,5305,-7.028,-16172.56
4.0,2.5,attack_train,25,25,6053.135,0.8012,-5289.079,-0.997,5305,-7.028,-16172.56
4.0,3.0,attack_train,25,25,6419.843,0.8497,-4402.473,-0.8299,5305,-7.028,-16172.56
4.0,4.0,attack_train,25,25,6919.531,0.9159,-2982.512,-0.5622,5305,-7.028,-16172.56
4.0,5.5,attack_train,25,25,7308.508,0.9674,-1556.753,-0.2935,5305,-7.028,-16172.56
4.0,7.5,attack_train,25,25,7492.15,0.9917,-583.706,-0.11,5305,-7.028,-16172.56
4.0,10.0,attack_train,25,25,7546.786,0.9989,-141.872,-0.0267,5305,-7.028,-16172.56
4.0,14.0,attack_train,25,25,7554.841,1.0,-13.284,-0.0025,5305,-7.028,-16172.56
8.0,0.5,attack_train,25,25,2376.453,0.3146,-12149.199,-2.2901,5305,-7.028,-16172.56
8.0,0.75,attack_train,25,25,3015.25,0.3991,-11186.345,-2.1086,5305,-7.028,-16172.56
8.0,1.0,attack_train,25,25,3558.332,0.471,-10304.172,-1.9424,5305,-7.028,-16172.56
8.0,1.5,attack_train,25,25,4440.551,0.5878,-8721.093,-1.6439,5305,-7.028,-16172.56
8.0,2.0,attack_train,25,25,5127.399,0.6787,-7351.753,-1.3858,5305,-7.028,-16172.56
8.0,2.5,attack_train,25,25,5671.65,0.7507,-6165.408,-1.1622,5305,-7.028,-16172.56
8.0,3.0,attack_train,25,25,6104.237,0.808,-5134.202,-0.9678,5305,-7.028,-16172.56
8.0,4.0,attack_train,25,25,6713.343,0.8886,-3479.167,-0.6558,5305,-7.028,-16172.56
8.0,5.5,attack_train,25,25,7212.028,0.9546,-1815.754,-0.3423,5305,-7.028,-16172.56
8.0,7.5,attack_train,25,25,7462.483,0.9878,-679.871,-0.1282,5305,-7.028,-16172.56
8.0,10.0,attack_train,25,25,7542.225,0.9983,-164.359,-0.031,5305,-7.028,-16172.56
8.0,14.0,attack_train,25,25,7554.635,0.9999,-14.328,-0.0027,5305,-7.028,-16172.56
