W,arm,pair,cert,cert_kind,cert_over_Sw,level,lat,dominated_by,pareto,best_dominator,level_margin,margin_lo95,margin_hi95
1,sel_n1,anchor only,0.0,pathwise,0.0,0.4535,2.4092,,YES,,,,
1,sel_n8,anchor only,2.0794,pathwise,0.013,0.5115,2.4922,,YES,,,,
1,sel_n64,anchor only,4.1589,pathwise,0.026,0.555,3.0883,,YES,,,,
1,anchor,anchor only,0.0,none needed,0.0,0.4385,2.3712,,YES,,,,
1,met_k0.5,8B,100.0,KL budget,0.6257,0.4355,6.0037,sel_n1 sel_n8 sel_n64 anchor,no,sel_n64,0.1195,0.0975,0.1425
1,met_k1,8B,200.0,KL budget,1.2513,0.4555,6.0037,sel_n8 sel_n64,no,sel_n64,0.0995,0.0755,0.1245
1,met_k3,8B,600.0,KL budget,3.754,0.4745,6.0037,sel_n8 sel_n64,no,sel_n64,0.0805,0.0555,0.1065
1,met_k5,8B,1000.0,KL budget,6.2566,0.4875,6.0037,sel_n8 sel_n64,no,sel_n64,0.0675,0.043,0.0935
1,met_k10,8B,2000.0,KL budget,12.5133,0.4895,6.0037,sel_n8 sel_n64,no,sel_n64,0.0655,0.041,0.092
1,met_k20,8B,4000.0,KL budget,25.0266,0.4895,6.0037,sel_n8 sel_n64 met_k10,no,sel_n64,0.0655,0.041,0.092
1,met70_k0.5,70B,100.0,KL budget,0.6257,0.4285,14.837,sel_n1 sel_n8 sel_n64 anchor met_k0.5,no,sel_n64,0.1265,0.1035,0.15
1,met70_k1,70B,200.0,KL budget,1.2513,0.4325,14.837,sel_n1 sel_n8 sel_n64 anchor met_k0.5 met_k1,no,sel_n64,0.1225,0.101,0.1445
1,met70_k20,70B,4000.0,KL budget,25.0266,0.451,14.837,sel_n1 sel_n8 sel_n64 met_k1 met_k3 met_k5 met_k10 met_k20,no,sel_n64,0.104,0.081,0.1275
1,risky8b,8B,inf,none,inf,0.5,3.1947,sel_n8 sel_n64,no,,,,
1,risky70b,70B,inf,none,inf,0.451,12.1893,sel_n1 sel_n8 sel_n64 met_k1 met_k3 met_k5 met_k10 met_k20 risky8b,no,sel_n64,0.104,0.081,0.1275
8,sel_n1,anchor only,0.0,pathwise,0.0,0.4535,0.3364,,YES,,,,
8,sel_n8,anchor only,2.0794,pathwise,0.013,0.5115,0.4123,,YES,,,,
8,sel_n64,anchor only,4.1589,pathwise,0.026,0.555,1.4622,,YES,,,,
8,anchor,anchor only,0.0,none needed,0.0,0.4385,0.3274,,YES,,,,
8,met_k0.5,8B,100.0,KL budget,0.6257,0.4355,0.8655,sel_n1 sel_n8 anchor,no,sel_n8,0.076,0.0545,0.098
8,met_k1,8B,200.0,KL budget,1.2513,0.4555,0.8655,sel_n8,no,sel_n8,0.056,0.0325,0.081
8,met_k3,8B,600.0,KL budget,3.754,0.4745,0.8655,sel_n8,no,sel_n8,0.037,0.012,0.0635
8,met_k5,8B,1000.0,KL budget,6.2566,0.4875,0.8655,sel_n8,no,sel_n8,0.024,-0.001,0.0495
8,met_k10,8B,2000.0,KL budget,12.5133,0.4895,0.8655,sel_n8,no,sel_n8,0.022,-0.002,0.048
8,met_k20,8B,4000.0,KL budget,25.0266,0.4895,0.8655,sel_n8 met_k10,no,sel_n8,0.022,-0.002,0.048
8,met70_k0.5,70B,100.0,KL budget,0.6257,0.4285,2.093,sel_n1 sel_n8 sel_n64 anchor met_k0.5,no,sel_n64,0.1265,0.1035,0.15
8,met70_k1,70B,200.0,KL budget,1.2513,0.4325,2.093,sel_n1 sel_n8 sel_n64 anchor met_k0.5 met_k1,no,sel_n64,0.1225,0.101,0.1445
8,met70_k20,70B,4000.0,KL budget,25.0266,0.451,2.093,sel_n1 sel_n8 sel_n64 met_k1 met_k3 met_k5 met_k10 met_k20,no,sel_n64,0.104,0.081,0.1275
8,risky8b,8B,inf,none,inf,0.5,0.4617,sel_n8,no,,,,
8,risky70b,70B,inf,none,inf,0.451,1.7442,sel_n1 sel_n8 sel_n64 met_k1 met_k3 met_k5 met_k10 met_k20 risky8b,no,sel_n64,0.104,0.081,0.1275
