constraint,k,split,n,steps_forced_pct,steps_active_pct,steps_free_pct,identical_to_risky_pct,utilisation_median,utilisation_max,ratio_utilisation_max,risky_nll_per_token_mean,gen_len_mean
kl,0.1,all,2700,42.66,53.21,4.12,0,1.0,1.0,0.0,4.9664,147.2
kl,0.1,attack_train,300,39.16,58.25,2.6,0,1.0,1.0,0.0,4.3412,179.1
kl,0.1,creative,450,47.94,48.1,3.96,0,0.993,1.0,0.0,6.0594,122.2
kl,0.1,factual,450,49.87,45.53,4.6,0,0.785,1.0,0.0,4.1578,125.3
kl,0.1,neutral,600,47.62,47.3,5.08,0,0.653,1.0,0.0,6.4712,113.5
kl,0.1,test,450,34.89,61.78,3.33,0,1.0,1.0,0.0,4.2378,183.6
kl,0.1,val,450,33.68,61.97,4.34,0,1.0,1.0,0.0,3.8209,181.3
kl,0.15,all,2700,31.65,61.4,6.95,0,1.0,1.0,0.0,5.0755,155.4
kl,0.15,attack_train,300,26.82,67.76,5.42,0,1.0,1.0,0.0,4.4199,184.8
kl,0.15,creative,450,37.32,56.53,6.15,0,1.0,1.0,0.0,6.2635,134.6
kl,0.15,factual,450,35.86,56.3,7.84,0,1.0,1.0,0.0,4.2469,138.5
kl,0.15,neutral,600,39.57,52.14,8.29,0,0.999,1.0,0.0,6.5212,123.5
kl,0.15,test,450,23.96,70.84,5.21,0,1.0,1.0,0.0,4.3443,185.6
kl,0.15,val,450,22.12,70.05,7.83,0,1.0,1.0,0.0,3.9566,185.5
kl,0.25,all,2700,21.92,63.35,14.73,0,1.0,1.0,0.0,5.2381,164.1
kl,0.25,attack_train,300,17.14,70.14,12.72,0,1.0,1.0,0.0,4.5565,185.2
kl,0.25,creative,450,27.06,61.1,11.84,0,1.0,1.0,0.0,6.4428,148.8
kl,0.25,factual,450,20.83,61.52,17.65,0,1.0,1.0,0.0,4.3923,158.1
kl,0.25,neutral,600,33.36,51.44,15.21,0,0.999,1.0,0.0,6.7182,131.4
kl,0.25,test,450,14.26,73.48,12.26,0,1.0,1.0,0.0,4.5772,190.1
kl,0.25,val,450,13.48,68.63,17.89,0,1.0,1.0,0.0,4.0212,189.1
kl,0.5,all,2700,13.12,44.47,42.41,0,0.999,1.0,1.612,5.4841,176.9
kl,0.5,attack_train,300,9.55,52.86,37.59,0,1.0,1.0,1.593,5.2601,189.3
kl,0.5,creative,450,17.41,48.83,33.76,0,1.0,1.0,1.404,6.7178,165.4
kl,0.5,factual,450,5.56,45.18,49.26,0,1.0,1.0,1.507,4.2556,187.9
kl,0.5,neutral,600,25.08,33.89,41.03,0,0.993,1.0,1.408,6.673,149.2
kl,0.5,test,450,7.99,51.37,40.64,0,1.0,1.0,1.612,5.1234,192.6
kl,0.5,val,450,7.97,41.0,51.03,0,1.0,1.0,1.458,4.4041,190.3
kl,1.0,all,2700,9.95,5.21,84.84,0.0,0.796,1.0,1.296,5.2985,182.6
kl,1.0,attack_train,300,5.23,7.05,87.71,0,0.853,1.0,1.296,4.9735,193.9
kl,1.0,creative,450,14.03,6.06,79.91,0,0.821,1.0,1.238,6.7591,172.4
kl,1.0,factual,450,2.12,5.94,91.94,0,0.784,1.0,1.215,3.7183,198.6
kl,1.0,neutral,600,23.39,3.81,72.8,0.2,0.732,1.0,1.29,6.5067,153.7
kl,1.0,test,450,4.63,5.52,89.86,0,0.83,1.0,1.286,4.9077,195.7
kl,1.0,val,450,4.27,3.96,91.78,0,0.776,1.0,1.234,4.4146,194.4
kl,3.0,all,2700,1.8,0.57,97.62,0.3,0.28,0.646,0.666,4.3786,196.6
kl,3.0,attack_train,300,1.43,0.19,98.38,0,0.301,0.509,0.539,4.7676,198.7
kl,3.0,creative,450,5.88,1.01,93.11,0,0.291,0.533,0.55,5.7758,187.2
kl,3.0,factual,450,0.48,0.32,99.2,0.9,0.271,0.646,0.666,3.2316,199.8
kl,3.0,neutral,600,1.28,1.26,97.47,0.8,0.274,0.597,0.575,4.1376,196.0
kl,3.0,test,450,1.16,0.18,98.66,0,0.285,0.571,0.581,4.5486,198.9
kl,3.0,val,450,0.63,0.13,99.24,0,0.26,0.464,0.463,4.0207,200
kl,5.0,all,2700,0.5,0.22,99.28,1.0,0.169,0.387,0.399,4.1617,199.2
kl,5.0,attack_train,300,1.07,0.12,98.81,0,0.181,0.278,0.287,4.7006,198.7
kl,5.0,creative,450,1.35,0.32,98.32,0,0.177,0.323,0.33,5.2714,196.9
kl,5.0,factual,450,0.06,0.44,99.5,2.4,0.16,0.387,0.399,2.8955,199.8
kl,5.0,neutral,600,0.01,0.2,99.79,2.5,0.167,0.359,0.344,3.8289,200
kl,5.0,test,450,0.59,0.08,99.33,0,0.172,0.387,0.385,4.5153,199.3
kl,5.0,val,450,0.28,0.11,99.61,0,0.158,0.292,0.293,4.0493,200
kl,10.0,all,2700,0.0,0.01,99.98,1.6,0.085,0.193,0.192,4.1289,199.9
kl,10.0,attack_train,300,0.01,0.04,99.95,0,0.091,0.142,0.147,4.5853,200
kl,10.0,creative,450,0.0,0.0,100.0,0,0.089,0.157,0.157,5.1416,200
kl,10.0,factual,450,0.0,0.02,99.98,4.0,0.079,0.154,0.156,2.9491,199.6
kl,10.0,neutral,600,0.0,0.0,100.0,4.0,0.083,0.179,0.172,3.8543,200
kl,10.0,test,450,0.0,0.02,99.98,0,0.088,0.193,0.192,4.5774,199.6
kl,10.0,val,450,0.0,0.01,99.99,0,0.08,0.146,0.146,3.9096,200
kl,20.0,all,2700,0.0,0.0,100.0,1.6,0.042,0.096,0.096,4.1277,199.9
kl,20.0,attack_train,300,0.0,0.0,100.0,0,0.046,0.071,0.074,4.5555,200
kl,20.0,creative,450,0.0,0.0,100.0,0,0.044,0.078,0.079,5.1416,200
kl,20.0,factual,450,0.0,0.0,100.0,4.0,0.04,0.077,0.078,2.9508,199.6
kl,20.0,neutral,600,0.0,0.0,100.0,4.0,0.042,0.09,0.086,3.8543,200
kl,20.0,test,450,0.0,0.0,100.0,0,0.044,0.096,0.096,4.5883,199.6
kl,20.0,val,450,0.0,0.0,100.0,0,0.04,0.073,0.073,3.9096,200
pathwise,0.5,all,2700,13.8,57.84,28.36,0,0.868,1.498,0.991,5.3219,176.8
pathwise,0.5,attack_train,300,9.57,63.81,26.63,0,0.891,1.459,0.984,5.051,191.1
pathwise,0.5,creative,450,18.26,55.01,26.73,0,0.874,1.386,0.991,6.4792,164.0
pathwise,0.5,factual,450,7.13,62.95,29.92,0,0.867,1.498,0.986,4.1511,187.3
pathwise,0.5,neutral,600,25.74,48.08,26.18,0,0.819,1.321,0.987,6.4996,149.1
pathwise,0.5,test,450,8.57,62.98,28.45,0,0.896,1.375,0.985,4.9921,192.0
pathwise,0.5,val,450,8.13,59.46,32.41,0,0.882,1.415,0.978,4.2754,191.1
pathwise,1.0,all,2700,10.09,14.93,74.98,0,0.743,1.092,0.999,5.2968,182.6
pathwise,1.0,attack_train,300,5.12,16.77,78.11,0,0.782,1.092,0.984,5.2125,195.4
pathwise,1.0,creative,450,14.33,14.5,71.17,0,0.759,1.025,0.984,6.6719,171.8
pathwise,1.0,factual,450,2.33,17.92,79.76,0,0.751,1.037,0.99,3.719,197.1
pathwise,1.0,neutral,600,23.39,11.97,64.65,0,0.669,1.054,0.999,6.4688,154.6
pathwise,1.0,test,450,4.8,15.7,79.5,0,0.763,1.058,0.985,4.8769,195.6
pathwise,1.0,val,450,4.5,14.33,81.17,0,0.725,1.009,0.98,4.4126,194.7
pathwise,3.0,all,2700,1.84,6.16,91.99,0.1,0.274,0.755,0.698,4.8096,188.7
pathwise,3.0,attack_train,300,1.65,2.16,96.19,0,0.291,0.501,0.517,4.7615,198.0
pathwise,3.0,creative,450,5.85,5.74,88.42,0,0.289,0.658,0.687,6.251,180.4
pathwise,3.0,factual,450,0.48,2.15,97.37,0.2,0.269,0.642,0.664,3.2063,200
pathwise,3.0,neutral,600,1.28,17.53,81.19,0.3,0.255,0.755,0.698,5.5968,166.2
pathwise,3.0,test,450,1.23,2.1,96.67,0,0.283,0.44,0.488,4.6989,198.7
pathwise,3.0,val,450,0.7,2.18,97.12,0,0.258,0.547,0.591,4.0647,199.6
pathwise,5.0,all,2700,0.5,1.92,97.58,0.3,0.167,0.386,0.398,4.3345,197.7
pathwise,5.0,attack_train,300,1.07,1.08,97.85,0,0.178,0.303,0.305,4.6982,198.7
pathwise,5.0,creative,450,1.35,3.22,95.43,0,0.177,0.318,0.324,5.5302,192.9
pathwise,5.0,factual,450,0.06,1.23,98.71,0.7,0.163,0.386,0.398,3.2459,200
pathwise,5.0,neutral,600,0.01,3.12,96.88,0.7,0.163,0.357,0.344,4.0158,196.0
pathwise,5.0,test,450,0.59,1.08,98.33,0,0.169,0.386,0.384,4.6845,199.6
pathwise,5.0,val,450,0.28,1.13,98.59,0,0.156,0.328,0.337,4.06,200
pathwise,10.0,all,2700,0.0,0.52,99.48,0.5,0.084,0.193,0.199,4.1316,200.0
pathwise,10.0,attack_train,300,0.01,0.55,99.45,0,0.091,0.15,0.16,4.5962,200
pathwise,10.0,creative,450,0.0,0.5,99.5,0,0.089,0.161,0.165,5.0734,200
pathwise,10.0,factual,450,0.0,0.54,99.46,1.6,0.08,0.193,0.199,2.9308,200
pathwise,10.0,neutral,600,0.0,0.5,99.5,1.2,0.083,0.179,0.172,3.9049,200
pathwise,10.0,test,450,0.0,0.51,99.49,0,0.086,0.193,0.192,4.4649,199.8
pathwise,10.0,val,450,0.0,0.52,99.48,0,0.079,0.146,0.146,4.0497,200
pathwise,20.0,all,2700,0.0,0.01,99.99,1.6,0.042,0.096,0.096,4.1277,199.9
pathwise,20.0,attack_train,300,0.0,0.02,99.98,0,0.046,0.071,0.074,4.5555,200
pathwise,20.0,creative,450,0.0,0.0,100.0,0,0.044,0.078,0.079,5.1416,200
pathwise,20.0,factual,450,0.0,0.0,100.0,4.0,0.04,0.077,0.078,2.9508,199.6
