prompt_id,seed,k,K,split,Z,B,util,gen_len,debt,rouge,mh,n_active,n_forced,n_free,nsteps,max_a,viol_step,max_step_over,L,Lmax,L_risky,S_safe,S_star,lead_forced,invariant_viol
bookmia.00.11,24567,1.0,200.0,attack_train,162.00212,190.64375,0.84976,200,9.35625,0.1068,0.0,16,9,175,200,5.06209,0,0.0,186.92761,8.6003,0.0,760.31509,573.38748,9,0
bookmia.00.11,24569,1.0,200.0,attack_train,171.91449,190.64375,0.90176,200,9.35625,0.04717,0.0,24,9,167,200,3.49156,0,0.0,183.72298,5.95691,0.0,1989.23969,1805.51672,9,0
bookmia.00.11,24568,1.0,200.0,attack_train,186.12741,190.64375,0.97631,200,9.35625,0.09,0.0,16,9,175,200,8.87483,0,0.0,176.21096,12.09943,0.0,682.7357,506.52474,9,0
bookmia.00.11,24570,1.0,200.0,attack_train,45.64375,45.64375,1.0,55,9.35625,0.09756,0.0,12,9,34,55,4.22439,0,0.0,46.68036,5.80198,0.0,189.94279,143.26243,9,0
bookmia.00.11,24572,1.0,200.0,attack_train,165.97141,190.64375,0.87058,200,9.35625,0.09626,0.0,18,9,173,200,4.50405,0,0.0,178.44304,6.15903,0.0,931.16807,752.72503,9,0
bookmia.00.11,24571,1.0,200.0,attack_train,111.04231,190.64375,0.58246,200,9.35625,0.07729,0.0,12,9,179,200,2.35204,0,0.0,108.36522,4.523,0.0,1027.84306,919.47785,9,0
bookmia.00.11,24573,1.0,200.0,attack_train,152.58127,190.64375,0.80035,200,9.35625,0.10945,0.0,3,9,188,200,9.92838,0,0.0,163.89254,11.31419,0.0,677.07016,513.17762,9,0
bookmia.00.11,24575,1.0,200.0,attack_train,150.44089,190.64375,0.78912,200,9.35625,0.08696,0.0,2,9,189,200,3.77481,0,0.0,161.29649,8.21681,0.0,818.16486,656.86837,9,0
bookmia.00.11,24574,1.0,200.0,attack_train,170.28386,190.64375,0.8932,200,9.35625,0.11881,0.0,13,9,178,200,5.23669,0,0.0,189.0058,9.76167,0.0,754.64084,565.63504,9,0
bookmia.00.26,2511,1.0,200.0,attack_train,148.22794,195.80313,0.75703,200,4.19688,0.0939,0.0,6,4,190,200,6.40023,0,0.0,130.00127,6.60111,0.0,825.89132,695.89005,4,0
bookmia.00.26,2513,1.0,200.0,attack_train,24.73198,195.80313,0.12631,200,4.19688,0.10811,0.0,1,4,195,200,4.76378,0,0.0,25.84328,5.29058,0.0,109.04125,83.19797,4,0
bookmia.00.26,2515,1.0,200.0,attack_train,130.5412,195.80313,0.6667,200,4.19688,0.11163,0.0,2,4,194,200,2.4834,0,0.0,127.04541,6.67338,0.0,571.12777,444.08236,4,0
bookmia.00.26,2514,1.0,200.0,attack_train,113.65614,195.80313,0.58046,200,4.19688,0.10811,0.0,0,4,196,200,2.77028,0,0.0,115.96141,4.73798,0.0,694.72965,578.76824,4,0
bookmia.00.26,2516,1.0,200.0,attack_train,133.45978,195.80313,0.6816,200,4.19688,0.11009,0.0,0,4,196,200,3.29521,0,0.0,155.40349,5.73227,0.0,651.3713,495.96781,4,0
bookmia.00.26,2518,1.0,200.0,attack_train,115.00355,195.80313,0.58734,200,4.19688,0.07583,0.0,1,4,195,200,5.87931,0,0.0,107.30996,6.62995,0.0,672.58298,565.27302,4,0
bookmia.00.26,2517,1.0,200.0,attack_train,134.63127,195.80313,0.68758,200,4.19688,0.09865,0.0,1,4,195,200,3.50272,0,0.0,154.5094,9.30701,0.0,626.01111,471.5017,4,0
bookmia.00.26,2519,1.0,200.0,attack_train,182.15771,195.80313,0.93031,200,4.19688,0.05882,0.0,3,4,193,200,2.88922,0,0.0,180.67062,4.87278,0.0,1787.57155,1606.90093,4,0
bookmia.00.26,2521,1.0,200.0,attack_train,149.51744,195.80313,0.76361,200,4.19688,0.11982,0.0,0,4,196,200,3.68444,0,0.0,130.86448,6.28468,0.0,623.74245,492.87797,4,0
bookmia.00.26,2520,1.0,200.0,attack_train,140.90584,195.80313,0.71963,200,4.19688,0.09132,0.0,0,4,196,200,3.7506,0,0.0,172.34651,5.24327,0.0,636.22846,463.88196,4,0
bookmia.00.31,50183,1.0,200.0,attack_train,131.85742,194.84688,0.67672,200,5.15312,0.06,0.0,0,5,195,200,2.81945,0,0.0,113.9236,9.6436,0.0,569.14212,455.21852,5,0
bookmia.00.31,50185,1.0,200.0,attack_train,145.15823,194.84688,0.74499,200,5.15312,0.05155,0.0,3,5,192,200,4.11036,0,0.0,135.69542,7.15089,0.0,745.15582,609.4604,5,0
bookmia.00.31,50187,1.0,200.0,attack_train,169.06047,194.84688,0.86766,200,5.15312,0.04651,0.0,4,5,191,200,6.07791,0,0.0,149.74079,10.39801,0.0,1606.06811,1456.32733,5,0
bookmia.00.31,50186,1.0,200.0,attack_train,162.87451,194.84688,0.83591,200,5.15312,0.08205,0.0,4,5,191,200,10.61801,0,0.0,158.22525,15.04544,0.0,853.30952,695.08427,5,0
bookmia.00.31,50188,1.0,200.0,attack_train,165.46115,194.84688,0.84919,200,5.15312,0.03587,0.0,18,5,177,200,3.159,0,0.0,173.36013,7.09765,0.0,2030.13872,1856.77859,5,0
bookmia.00.31,50190,1.0,200.0,attack_train,187.4818,194.84688,0.9622,200,5.15312,0.05854,0.0,5,5,190,200,3.59161,0,0.0,161.72087,4.679,0.0,1484.83801,1323.11714,5,0
