pair,k,mode,n,n_leaked,score,auc,frac_leaked_with_r_le_k,frac_leaked_with_r_gt_k
TinyComma-1.8B + mem. Llama-3.1-8B,1.5,single,100,0,-r(x),,0.0,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,1.5,single,100,0,-s_safe(x),,0.0,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,1.5,single,100,0,s_risky(x),,0.0,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,2.0,single,100,0,-r(x),,0.0,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,2.0,single,100,0,-s_safe(x),,0.0,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,2.0,single,100,0,s_risky(x),,0.0,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,2.6,single,100,0,-r(x),,0.0,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,2.6,single,100,0,-s_safe(x),,0.0,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,2.6,single,100,0,s_risky(x),,0.0,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,3.2,single,100,4,-r(x),0.609375,0.043478260869565216,0.03225806451612903
TinyComma-1.8B + mem. Llama-3.1-8B,3.2,single,100,4,-s_safe(x),0.6536458333333334,0.043478260869565216,0.03225806451612903
TinyComma-1.8B + mem. Llama-3.1-8B,3.2,single,100,4,s_risky(x),0.4192708333333333,0.043478260869565216,0.03225806451612903
TinyComma-1.8B + mem. Llama-3.1-8B,3.8,single,100,9,-r(x),0.5457875457875457,0.09,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,3.8,single,100,9,-s_safe(x),0.5604395604395604,0.09,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,3.8,single,100,9,s_risky(x),0.4468864468864469,0.09,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,4.5,single,100,12,-r(x),0.6107954545454546,0.12,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,4.5,single,100,12,-s_safe(x),0.5928030303030303,0.12,0.0
TinyComma-1.8B + mem. Llama-3.1-8B,4.5,single,100,12,s_risky(x),0.5643939393939394,0.12,0.0
Comma-7B + mem. Comma-7B,1.5,single,100,0,-r(x),,0.0,0.0
Comma-7B + mem. Comma-7B,1.5,single,100,0,-s_safe(x),,0.0,0.0
Comma-7B + mem. Comma-7B,1.5,single,100,0,s_risky(x),,0.0,0.0
Comma-7B + mem. Comma-7B,2.0,single,100,1,-r(x),0.6767676767676768,0.0,0.011363636363636364
Comma-7B + mem. Comma-7B,2.0,single,100,1,-s_safe(x),0.8888888888888888,0.0,0.011363636363636364
Comma-7B + mem. Comma-7B,2.0,single,100,1,s_risky(x),0.08080808080808081,0.0,0.011363636363636364
Comma-7B + mem. Comma-7B,2.4,single,100,3,-r(x),0.7422680412371134,0.04054054054054054,0.0
Comma-7B + mem. Comma-7B,2.4,single,100,3,-s_safe(x),0.9037800687285223,0.04054054054054054,0.0
Comma-7B + mem. Comma-7B,2.4,single,100,3,s_risky(x),0.35738831615120276,0.04054054054054054,0.0
Comma-7B + mem. Comma-7B,2.8,single,100,4,-r(x),0.7864583333333334,0.04,0.0
Comma-7B + mem. Comma-7B,2.8,single,100,4,-s_safe(x),0.9036458333333334,0.04,0.0
Comma-7B + mem. Comma-7B,2.8,single,100,4,s_risky(x),0.3958333333333333,0.04,0.0
Comma-7B + mem. Comma-7B,3.2,single,100,7,-r(x),0.7342549923195084,0.07,0.0
Comma-7B + mem. Comma-7B,3.2,single,100,7,-s_safe(x),0.8095238095238095,0.07,0.0
Comma-7B + mem. Comma-7B,3.2,single,100,7,s_risky(x),0.45314900153609833,0.07,0.0
Comma-7B + mem. Comma-7B,4.0,single,100,13,-r(x),0.717948717948718,0.13,0.0
Comma-7B + mem. Comma-7B,4.0,single,100,13,-s_safe(x),0.6954022988505747,0.13,0.0
Comma-7B + mem. Comma-7B,4.0,single,100,13,s_risky(x),0.618921308576481,0.13,0.0
