model,corpus,s_protected,s_proxy,ratio,err_proxy,err_constant,err_cuse
PleIAs/Pleias-350m-Preview,commoncorpus,0.8731,0.7727,1.13,0.0098,0.0638,0.0086
PleIAs/Pleias-1.2b-Preview,commoncorpus,0.7954,0.6884,1.1554,0.0108,0.1501,0.155
PleIAs/Pleias-3b-Preview,commoncorpus,0.7877,0.6865,1.1473,0.0046,0.1587,0.1615
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,commonpile,0.7784,0.6773,1.1492,0.0059,0.1691,0.1389
common-pile/comma-v0.1-1t,commonpile,0.7013,0.5597,1.2529,0.0694,0.2547,0.2043
common-pile/comma-v0.1-2t,commonpile,0.6848,0.532,1.2872,0.0862,0.273,0.2427
alea-institute/kl3m-002-170m,kl3m,1.275,1.1933,1.0685,0.0966,0.3828,1.0824
alea-institute/kl3m-002-520m,kl3m,1.2354,1.1346,1.0888,0.0662,0.3387,0.9137
alea-institute/kl3m-003-1.7b,kl3m,1.1029,1.0403,1.0602,0.0938,0.1915,0.5867
alea-institute/kl3m-003-3.7b,kl3m,1.0711,0.9974,1.0739,0.0748,0.1562,0.5258
