source,work,kind,n_tokens,S,S_per_tok,nv_recall,lcs_word
gutenberg,Alice's Adventures in Wonderland,opening,100,257.25,2.5725,,
gutenberg,Alice's Adventures in Wonderland,deep,100,267.21,2.6721,,
gutenberg,Alice's Adventures in Wonderland,anchor_greedy_recall,100,,,0.0,1
gutenberg,Alice's Adventures in Wonderland,anchor_sampled_recall,100,,,0.0,2
gutenberg,Pride and Prejudice,opening,100,317.19,3.1719,,
gutenberg,Pride and Prejudice,deep,100,394.36,3.9436,,
gutenberg,Pride and Prejudice,anchor_greedy_recall,100,,,0.0,2
gutenberg,Pride and Prejudice,anchor_sampled_recall,100,,,0.0,2
gutenberg,Moby-Dick,opening,100,403.16,4.0316,,
gutenberg,Moby-Dick,deep,100,327.62,3.2762,,
gutenberg,Moby-Dick,anchor_greedy_recall,100,,,0.0,1
gutenberg,Moby-Dick,anchor_sampled_recall,100,,,0.0,1
gutenberg,A Tale of Two Cities,opening,100,121.36,1.2136,,
gutenberg,A Tale of Two Cities,deep,100,353.17,3.5317,,
gutenberg,A Tale of Two Cities,anchor_greedy_recall,100,,,0.0,0
gutenberg,A Tale of Two Cities,anchor_sampled_recall,100,,,0.0,0
gutenberg,The Adventures of Sherlock Holmes,opening,100,119.64,1.1964,,
gutenberg,The Adventures of Sherlock Holmes,deep,100,277.69,2.7769,,
gutenberg,The Adventures of Sherlock Holmes,anchor_greedy_recall,100,,,0.0,4
gutenberg,The Adventures of Sherlock Holmes,anchor_sampled_recall,100,,,0.0,2
gutenberg,Frankenstein,opening,100,310.66,3.1066,,
gutenberg,Frankenstein,deep,100,379.43,3.7943,,
gutenberg,Frankenstein,anchor_greedy_recall,100,,,0.0,2
gutenberg,Frankenstein,anchor_sampled_recall,100,,,0.0,2
gutenberg,Dracula,opening,100,417.27,4.1727,,
gutenberg,Dracula,deep,100,316.04,3.1604,,
gutenberg,Dracula,anchor_greedy_recall,100,,,0.0,1
gutenberg,Dracula,anchor_sampled_recall,100,,,0.0,1
