arm,scorer_b,n,cost_vs_metered,nats_certified,gain,lo95,hi95,n_prompts,separates
sel05b_n2,0.494,2,0.46,0.6931,0.009,-0.006,0.024,500,False
sel05b_n4,0.494,4,0.92,1.3863,0.0055,-0.0135,0.024,500,False
sel05b_n8,0.494,8,1.841,2.0794,0.025,0.005,0.0445,500,True
sel05b_n16,0.494,16,3.682,2.7726,0.039,0.02,0.058,500,True
sel05b_n32,0.494,32,7.364,3.4657,0.034,0.013,0.055,500,True
sel05b_n64,0.494,64,14.728,4.1589,0.023,0.001,0.0445,500,True
sel15b_n2,1.5437,2,0.675,0.6931,0.023,0.0095,0.037,500,True
sel15b_n4,1.5437,4,1.349,1.3863,0.024,0.0055,0.042,500,True
sel15b_n8,1.5437,8,2.699,2.0794,0.0475,0.028,0.067,500,True
sel15b_n16,1.5437,16,5.398,2.7726,0.0675,0.0465,0.0885,500,True
sel15b_n32,1.5437,32,10.795,3.4657,0.082,0.0605,0.103,500,True
sel15b_n64,1.5437,64,21.59,4.1589,0.093,0.0715,0.1145,500,True
sel3b_n2,3.0859,2,0.99,0.6931,0.011,-0.003,0.025,500,False
sel3b_n4,3.0859,4,1.98,1.3863,0.0175,-0.0005,0.0355,500,False
sel3b_n8,3.0859,8,3.959,2.0794,0.0495,0.03,0.069,500,True
sel3b_n16,3.0859,16,7.918,2.7726,0.064,0.042,0.0855,500,True
sel3b_n32,3.0859,32,15.837,3.4657,0.0855,0.0645,0.106,500,True
sel3b_n64,3.0859,64,31.673,4.1589,0.097,0.074,0.1195,500,True
sel7b_n2,7.6156,2,1.915,0.6931,0.0195,0.0045,0.0345,500,True
sel7b_n4,7.6156,4,3.831,1.3863,0.0245,0.006,0.0435,500,True
sel7b_n8,7.6156,8,7.661,2.0794,0.036,0.016,0.0565,500,True
sel7b_n16,7.6156,16,15.322,2.7726,0.062,0.0395,0.0845,500,True
sel7b_n32,7.6156,32,30.644,3.4657,0.0915,0.069,0.115,500,True
sel7b_n64,7.6156,64,61.289,4.1589,0.1065,0.083,0.1285,500,True
metered_k10,,,1.0,2000.0,0.04,0.0135,0.0665,500,True
