band,quantity,value,lo95,hi95,reading
G0 replication of feat-116 within +/-0.04,sel7b_n64 +0.1065 vs +0.1075; sel05b_n64 +0.0230 vs +0.0220; metered_k10 +0.0400 vs +0.0400,,,,REPLICATES
"G1 terminal drop, 0.494B scorer",sel05b_n64 - sel05b_n16,-0.016,-0.034,0.001,FLAT
"G1 terminal drop, 1.5437B scorer",sel15b_n64 - sel15b_n16,0.0255,0.007,0.044,RISES
"G1 terminal drop, 3.0859B scorer",sel3b_n64 - sel3b_n16,0.033,0.0155,0.0505,RISES
"G1 terminal drop, 7.6156B scorer",sel7b_n64 - sel7b_n16,0.0445,0.027,0.062,RISES
"G2 shape, 0.494B scorer","Spearman(gain, log n); peak at n=16, peak-relative drop -0.0160 (secondary)",0.5429,,,NOT MONOTONE
"G2 shape, 1.5437B scorer","Spearman(gain, log n); peak at n=64, peak-relative drop +0.0000 (secondary)",1.0,,,MONOTONE
"G2 shape, 3.0859B scorer","Spearman(gain, log n); peak at n=64, peak-relative drop +0.0000 (secondary)",1.0,,,MONOTONE
"G2 shape, 7.6156B scorer","Spearman(gain, log n); peak at n=64, peak-relative drop +0.0000 (secondary)",1.0,,,MONOTONE
G3 the scorer-scale boundary,no scorer reads TURNS OVER under its interval,,,,NO TURNOVER FOUND
"G4 terminal gain, 1.5437B over 0.494B",sel15b_n64 - sel05b_n64,0.07,0.05,0.09,SEPARATES
"G4 terminal gain, 3.0859B over 1.5437B",sel3b_n64 - sel15b_n64,0.004,-0.0145,0.0225,-
"G4 terminal gain, 7.6156B over 3.0859B",sel7b_n64 - sel3b_n64,0.0095,-0.009,0.0285,-
G4 terminal gain by scale (descriptive),0.494B +0.0230; 1.5437B +0.0930; 3.0859B +0.0970; 7.6156B +0.1065,,,,four points carry no law and none is claimed
