pair,label,seed_tokens,seed_chars,seed_words,s_x,k_crit,k_crit_over_s,onset,ratio,ratio_lo,ratio_hi,no_crossing_pct,onset_nv,ratio_nv,ratio_lo_nv,ratio_hi_nv,no_crossing_pct_nv,onset_over_k_crit,pred_ratio_K,pred_ratio_null,pred_hit
Pleias-1.2B,Pleias-1.2B seed 20 (control),20,77.5,13.7,3.2094,4.9422,1.5399,2.7797,0.8661,0.7169,0.9453,0.1,2.8192,0.8784,0.7891,0.96,0.1,0.5624,0.8661,0.8661,
Pleias-1.2B,Pleias-1.2B seed 10 (Arm B),10,39.2,6.7,3.2586,5.916,1.8155,3.2719,1.0041,0.9892,1.229,0.9,3.2909,1.0099,0.9916,1.2426,1.8,0.5531,1.0211,0.8661,True
KL3M-520M,KL3M-520M seed 10,10,23.6,4,2.4237,4.2348,1.7472,2.82,1.1635,1.1269,1.3277,0.5,3.0108,1.2422,1.1303,1.3254,0.6,0.6659,1.1486,1.0321,True
KL3M-520M,KL3M-520M seed 20 (control),20,42.9,7.3,2.4147,3.7912,1.57,2.4923,1.0321,1.0068,1.2259,0.0,2.5432,1.0532,1.0163,1.2436,0.0,0.6574,1.0321,1.0321,
KL3M-520M,KL3M-520M seed 40 (Arm A),40,80.8,14.3,2.3982,3.514,1.4652,2.2526,0.9393,0.8829,1.169,0.1,2.2542,0.94,0.9137,1.1844,0.1,0.641,0.9633,1.0321,True
KL3M-520M,KL3M-520M seed 80,80,157.5,28.4,2.3872,3.4345,1.4387,2.5206,1.0559,0.7819,1.1265,2.1,2.5477,1.0672,0.9761,1.1368,3.9,0.7339,0.9458,1.0321,True
KL3M-1.7B,KL3M-1.7B seed 20 (control),20,42.9,7.3,2.2112,3.6439,1.6479,2.5536,1.1549,1.1364,1.3901,3.4,2.5779,1.1659,1.1397,1.4136,4.3,0.7008,1.1548,1.1549,
KL3M-520M tau,KL3M-520M tau 1.0 (control),20,42.9,7.3,2.4147,3.7912,1.57,2.4923,1.0321,1.0068,1.2259,0.0,2.5432,1.0532,1.0163,1.2436,0.0,0.6574,1.0321,1.0321,
KL3M-520M tau,KL3M-520M tau 0.4,20,42.9,7.3,4.0343,6.9775,1.7296,3.6034,0.8932,0.7618,0.9528,0.0,3.6629,0.9079,0.8635,0.9693,0.0,0.5164,1.137,1.0321,False
Pleias-1.2B tau,Pleias-1.2B tau 1.0 (control),20,77.5,13.7,3.2094,4.9422,1.5399,2.7797,0.8661,0.7169,0.9453,0.1,2.8192,0.8784,0.7891,0.96,0.1,0.5624,0.8661,0.8661,
Pleias-1.2B tau,Pleias-1.2B tau 0.4,20,77.5,13.7,5.1999,9.0023,1.7312,3.7397,0.7192,0.6472,0.8487,0.0,4.4081,0.8477,0.7048,0.9001,0.0,0.4154,0.9737,0.8661,False
