prompt_id,rank,seed,prompt_class,n_tokens,logp_total,logp_per_token,shown_second,verdict,outcome
1nzes2,0,3320184832,creative,62,-228.4962,-3.685422,0,B,loss
1nzes2,1,3320184833,creative,52,-189.8167,-3.650321,1,B,win
1nzes2,2,3320184834,creative,27,-133.8517,-4.957472,1,B,win
1nzes2,3,3320184835,creative,2,-4.1297,-2.064837,0,B,loss
1nzes2,4,3320184836,creative,187,-720.0748,-3.850668,0,B,loss
1nzes2,5,3320184837,creative,57,-148.4882,-2.605056,0,B,loss
1nzes2,6,3320184838,creative,94,-238.2211,-2.534267,0,B,loss
1nzes2,7,3320184839,creative,74,-206.1472,-2.785773,1,B,win
2786lw,0,3320184832,creative,81,-413.5218,-5.105208,0,A,win
2786lw,1,3320184833,creative,111,-446.3271,-4.020964,1,A,loss
2786lw,2,3320184834,creative,35,-73.9507,-2.112876,1,B,win
2786lw,3,3320184835,creative,200,-651.8512,-3.259256,0,B,loss
2786lw,4,3320184836,creative,0,0.0,0.0,1,A,loss
2786lw,5,3320184837,creative,177,-435.0038,-2.457648,0,A,win
2786lw,6,3320184838,creative,60,-218.9874,-3.64979,0,A,win
2786lw,7,3320184839,creative,122,-529.9609,-4.343942,1,B,win
2ov45h,0,3320184832,creative,173,-613.7813,-3.547869,1,A,loss
2ov45h,1,3320184833,creative,182,-602.0212,-3.307809,1,B,win
2ov45h,2,3320184834,creative,204,-1104.7078,-5.415234,1,A,loss
2ov45h,3,3320184835,creative,166,-845.978,-5.096253,1,A,loss
2ov45h,4,3320184836,creative,4,-10.7273,-2.681814,0,B,loss
2ov45h,5,3320184837,creative,89,-151.668,-1.704135,1,A,loss
2ov45h,6,3320184838,creative,31,-135.2514,-4.36295,0,B,loss
2ov45h,7,3320184839,creative,91,-218.58,-2.401978,1,A,loss
49u4dh,0,3320184832,creative,1,-1.0941,-1.094051,0,B,loss
49u4dh,1,3320184833,creative,98,-350.2427,-3.573905,1,A,loss
49u4dh,2,3320184834,creative,12,-70.3491,-5.862424,0,B,loss
49u4dh,3,3320184835,creative,76,-351.0121,-4.61858,1,A,loss
49u4dh,4,3320184836,creative,1,-1.0941,-1.094051,0,B,loss
49u4dh,5,3320184837,creative,68,-258.6736,-3.804023,0,B,loss
49u4dh,6,3320184838,creative,123,-479.6635,-3.899703,1,A,loss
49u4dh,7,3320184839,creative,176,-461.8748,-2.624289,1,A,loss
4iorz7,0,3320184832,creative,45,-198.5614,-4.412476,1,A,loss
4iorz7,1,3320184833,creative,13,-54.416,-4.185843,0,B,loss
4iorz7,2,3320184834,creative,17,-106.4487,-6.26169,1,Tie,tie
4iorz7,3,3320184835,creative,28,-117.9984,-4.214229,0,B,loss
4iorz7,4,3320184836,creative,35,-105.4046,-3.01156,1,B,win
4iorz7,5,3320184837,creative,75,-155.5171,-2.073562,0,B,loss
4iorz7,6,3320184838,creative,1,-1.6827,-1.682699,1,Tie,tie
4iorz7,7,3320184839,creative,201,-879.9275,-4.377749,1,Tie,tie
4xzr87,0,3320184832,creative,204,-836.9631,-4.10276,1,A,loss
4xzr87,1,3320184833,creative,24,-97.6923,-4.070511,1,A,loss
4xzr87,2,3320184834,creative,204,-758.733,-3.71928,1,A,loss
4xzr87,3,3320184835,creative,190,-731.2795,-3.84884,0,B,loss
4xzr87,4,3320184836,creative,32,-144.5247,-4.516396,1,B,win
4xzr87,5,3320184837,creative,204,-829.8796,-4.068037,0,A,win
4xzr87,6,3320184838,creative,203,-966.5303,-4.761233,1,A,loss
4xzr87,7,3320184839,creative,204,-759.8157,-3.724587,0,A,win
53rqr9,0,3320184832,creative,203,-743.2297,-3.66123,0,B,loss
53rqr9,1,3320184833,creative,71,-205.6587,-2.896602,0,B,loss
53rqr9,2,3320184834,creative,16,-72.0999,-4.506242,1,A,loss
53rqr9,3,3320184835,creative,37,-121.7679,-3.291024,1,A,loss
53rqr9,4,3320184836,creative,202,-770.2709,-3.813222,1,A,loss
53rqr9,5,3320184837,creative,204,-766.812,-3.758882,1,B,win
53rqr9,6,3320184838,creative,181,-701.6741,-3.876653,0,B,loss
53rqr9,7,3320184839,creative,167,-598.2607,-3.582399,1,A,loss
5apkek,0,3320184832,creative,112,-495.7101,-4.425983,1,B,win
5apkek,1,3320184833,creative,195,-872.601,-4.474877,0,B,loss
5apkek,2,3320184834,creative,50,-202.7255,-4.05451,1,A,loss
5apkek,3,3320184835,creative,2,-7.8154,-3.907715,0,B,loss
5apkek,4,3320184836,creative,133,-648.4231,-4.875362,1,B,win
5apkek,5,3320184837,creative,87,-361.9858,-4.160756,1,B,win
5apkek,6,3320184838,creative,202,-745.4639,-3.690415,1,B,win
5apkek,7,3320184839,creative,11,-54.7824,-4.980221,1,A,loss
5e6rcz,0,3320184832,creative,199,-784.5415,-3.94242,0,Tie,tie
5e6rcz,1,3320184833,creative,54,-104.0019,-1.925961,1,B,win
5e6rcz,2,3320184834,creative,199,-835.55,-4.198744,0,B,loss
5e6rcz,3,3320184835,creative,69,-89.559,-1.297956,1,Tie,tie
5e6rcz,4,3320184836,creative,199,-964.1348,-4.844898,0,B,loss
5e6rcz,5,3320184837,creative,94,-353.3199,-3.758722,0,B,loss
5e6rcz,6,3320184838,creative,157,-761.3103,-4.84911,1,B,win
5e6rcz,7,3320184839,creative,25,-94.7453,-3.789813,0,B,loss
5ec7q2,0,3320184832,creative,201,-838.4352,-4.171319,0,B,loss
5ec7q2,1,3320184833,creative,201,-839.4795,-4.176515,1,A,loss
5ec7q2,2,3320184834,creative,57,-193.4555,-3.393956,1,A,loss
5ec7q2,3,3320184835,creative,105,-408.5189,-3.890656,1,A,loss
5ec7q2,4,3320184836,creative,110,-396.2191,-3.601992,1,A,loss
5ec7q2,5,3320184837,creative,31,-93.419,-3.013515,1,B,win
5ec7q2,6,3320184838,creative,33,-160.5584,-4.865406,0,B,loss
5ec7q2,7,3320184839,creative,199,-409.577,-2.058176,0,B,loss
5f5p86,0,3320184832,creative,204,-618.0118,-3.02947,1,A,loss
5f5p86,1,3320184833,creative,30,-154.4465,-5.148216,0,B,loss
5f5p86,2,3320184834,creative,89,-420.0231,-4.71936,0,B,loss
5f5p86,3,3320184835,creative,121,-336.4642,-2.780696,0,B,loss
5f5p86,4,3320184836,creative,20,-88.5329,-4.426646,1,A,loss
5f5p86,5,3320184837,creative,14,-47.0277,-3.359124,0,B,loss
5f5p86,6,3320184838,creative,204,-648.8234,-3.180507,0,B,loss
5f5p86,7,3320184839,creative,17,-66.4701,-3.910005,1,A,loss
5fqwjc,0,3320184832,creative,201,-724.1224,-3.602599,0,B,loss
5fqwjc,1,3320184833,creative,113,-361.4067,-3.198289,1,B,win
5fqwjc,2,3320184834,creative,26,-109.37,-4.206539,1,B,win
5fqwjc,3,3320184835,creative,1,-0.9329,-0.932874,0,B,loss
5fqwjc,4,3320184836,creative,167,-589.3421,-3.528995,0,B,loss
5fqwjc,5,3320184837,creative,15,-42.8467,-2.856448,0,B,loss
5fqwjc,6,3320184838,creative,82,-346.2859,-4.222999,1,A,loss
5fqwjc,7,3320184839,creative,8,-39.6122,-4.951527,1,B,win
5g58dz,0,3320184832,creative,202,-896.8676,-4.439938,1,A,loss
5g58dz,1,3320184833,creative,24,-105.0624,-4.3776,1,A,loss
5g58dz,2,3320184834,creative,94,-123.7538,-1.31653,1,A,loss
5g58dz,3,3320184835,creative,46,-207.4968,-4.510801,1,A,loss
5g58dz,4,3320184836,creative,29,-149.2059,-5.145032,0,B,loss
5g58dz,5,3320184837,creative,80,-212.6926,-2.658658,1,B,win
5g58dz,6,3320184838,creative,202,-587.4255,-2.908047,0,B,loss
5g58dz,7,3320184839,creative,85,-331.9968,-3.905844,0,B,loss
5gq4jc,0,3320184832,creative,200,-915.2366,-4.576183,1,A,loss
5gq4jc,1,3320184833,creative,14,-52.4045,-3.743176,0,B,loss
5gq4jc,2,3320184834,creative,0,0.0,0.0,1,Tie,tie
5gq4jc,3,3320184835,creative,66,-266.0513,-4.031081,1,A,loss
5gq4jc,4,3320184836,creative,86,-219.2747,-2.549705,1,Tie,tie
5gq4jc,5,3320184837,creative,118,-457.6065,-3.878021,1,Tie,tie
5gq4jc,6,3320184838,creative,200,-745.8251,-3.729125,1,A,loss
5gq4jc,7,3320184839,creative,200,-917.5336,-4.587668,1,A,loss
5j7ypk,0,3320184832,creative,24,-13.033,-0.543042,0,B,loss
5j7ypk,1,3320184833,creative,17,-69.0315,-4.060677,0,B,loss
5j7ypk,2,3320184834,creative,49,-199.6711,-4.07492,0,B,loss
5j7ypk,3,3320184835,creative,1,-3.4455,-3.44554,0,B,loss
5j7ypk,4,3320184836,creative,32,-62.4882,-1.952757,1,A,loss
5j7ypk,5,3320184837,creative,28,-141.8612,-5.066473,0,B,loss
5j7ypk,6,3320184838,creative,17,-63.2643,-3.721429,0,B,loss
