prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1,recall_n8,lcs_n8,rouge_n8,recall_n64,lcs_n64,rouge_n64
ml.fr.notre_dame_de_paris.000,notre_dame_de_paris,0.8636,0.9235,0.0,0.0,0.0,2,0.1818,0.0,2,0.1148,0.0,3,0.1593
ml.fr.notre_dame_de_paris.001,notre_dame_de_paris,0.8478,0.9118,0.0,0.0,0.0,2,0.1513,0.0,2,0.1561,0.0,3,0.1617
ml.fr.notre_dame_de_paris.002,notre_dame_de_paris,0.5977,0.8121,0.0,0.0,0.0,2,0.118,0.0,2,0.1295,0.0,2,0.1359
ml.fr.notre_dame_de_paris.003,notre_dame_de_paris,0.3459,0.5449,0.0,0.0,0.0,2,0.1077,0.0,3,0.1524,0.0,2,0.159
ml.fr.notre_dame_de_paris.005,notre_dame_de_paris,0.8646,0.9111,0.0,0.0,0.0,2,0.1161,0.0,1,0.03,0.0,1,0.03
ml.fr.notre_dame_de_paris.006,notre_dame_de_paris,0.9483,0.9676,0.0,0.0,0.0,2,0.1288,0.0,2,0.1672,0.0,2,0.1357
ml.fr.notre_dame_de_paris.007,notre_dame_de_paris,0.644,0.7701,0.0,0.0,0.0,3,0.1287,0.0,2,0.1429,0.0,3,0.1681
ml.fr.notre_dame_de_paris.008,notre_dame_de_paris,0.7566,0.8192,0.0,0.0,0.0,2,0.1412,0.0,2,0.0921,0.0,2,0.1447
ml.fr.notre_dame_de_paris.010,notre_dame_de_paris,0.8204,0.9013,0.0,0.0,0.0,2,0.1206,0.0,2,0.1563,0.0,2,0.141
ml.fr.notre_dame_de_paris.011,notre_dame_de_paris,0.8402,0.9132,0.0,0.0,0.0,1,0.01,0.0,2,0.1333,0.0,2,0.0991
ml.fr.notre_dame_de_paris.012,notre_dame_de_paris,0.9516,0.9752,0.0,0.0,0.0,2,0.0996,0.0,2,0.1565,0.0,2,0.1581
ml.fr.notre_dame_de_paris.013,notre_dame_de_paris,0.3109,0.4568,0.0,0.0,0.0,2,0.1751,0.0,2,0.1321,0.0,2,0.1321
ml.fr.notre_dame_de_paris.015,notre_dame_de_paris,0.8871,0.9402,0.0,0.0,0.0,1,0.0269,0.0,2,0.1782,0.0,2,0.0987
ml.fr.notre_dame_de_paris.016,notre_dame_de_paris,0.0,0.2507,0.0,0.0,0.0,2,0.1263,0.0,2,0.1548,0.0,3,0.188
ml.fr.notre_dame_de_paris.017,notre_dame_de_paris,0.3011,0.5349,0.0,0.0,0.0,2,0.1137,0.0,1,0.0152,0.0,1,0.027
ml.fr.notre_dame_de_paris.018,notre_dame_de_paris,0.9189,0.9551,0.0,0.0,0.0,2,0.1549,0.0,2,0.1062,0.0,2,0.1525
ml.fr.notre_dame_de_paris.020,notre_dame_de_paris,0.9775,0.9858,0.0,0.0,0.0,2,0.1529,0.0,3,0.1506,0.0,2,0.1304
ml.fr.notre_dame_de_paris.021,notre_dame_de_paris,0.8913,0.9398,0.0,0.0,0.0,2,0.1557,0.0,2,0.1429,0.0,2,0.1628
ml.fr.notre_dame_de_paris.022,notre_dame_de_paris,0.8649,0.9275,0.0,0.0,0.0,2,0.1373,0.0,2,0.135,0.0,2,0.1543
ml.fr.notre_dame_de_paris.023,notre_dame_de_paris,0.9882,0.9882,0.0,0.0,0.0,2,0.1768,0.0,2,0.1534,0.0,2,0.1639
ml.fr.notre_dame_de_paris.025,notre_dame_de_paris,0.8994,0.9471,0.0,0.0,0.0,2,0.1216,0.0,2,0.1216,0.0,1,0.0827
ml.fr.notre_dame_de_paris.026,notre_dame_de_paris,0.6752,0.8061,0.0,0.0,0.0,2,0.1149,0.0,2,0.1575,0.0,2,0.1127
ml.fr.notre_dame_de_paris.027,notre_dame_de_paris,0.4819,0.5889,0.0,0.0,0.0,2,0.1273,0.0,3,0.1569,0.0,2,0.1481
ml.fr.notre_dame_de_paris.028,notre_dame_de_paris,0.7701,0.8249,0.0,0.0,0.0,2,0.1834,0.0,2,0.1834,0.0,2,0.1834
ml.fr.notre_dame_de_paris.030,notre_dame_de_paris,0.9714,0.9855,0.0,0.0,0.0,2,0.1053,0.0,3,0.2169,0.0,2,0.1631
ml.fr.notre_dame_de_paris.031,notre_dame_de_paris,0.1215,0.3055,0.0,0.0,0.0,2,0.1388,0.0,2,0.1508,0.0,2,0.1508
ml.fr.notre_dame_de_paris.032,notre_dame_de_paris,0.9118,0.9387,0.0,0.0,0.0,3,0.1481,0.0,3,0.1524,0.0,2,0.2056
ml.fr.notre_dame_de_paris.033,notre_dame_de_paris,0.9762,0.988,0.0,0.0,0.0,2,0.1364,0.0,2,0.1395,0.0,2,0.1549
