prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1,recall_n8,lcs_n8,rouge_n8,recall_n64,lcs_n64,rouge_n64,recall_n256,lcs_n256,rouge_n256
bookmia.00.11,1984,0.802,0.8901,0.0,0.0,0.0,2,0.0909,0.0,2,0.1037,0.0,2,0.1226,0.0,1,0.0464
bookmia.00.26,1984,0.7014,0.8675,0.0,0.0,0.0,3,0.1224,0.0,2,0.1228,0.0,2,0.1228,0.0,2,0.1122
bookmia.00.31,1984,0.0,0.0985,0.0,0.0,0.0,1,0.0467,0.0,2,0.1101,0.0,2,0.1094,0.0,2,0.121
bookmia.00.40,1984,0.2892,0.4266,0.0,0.0,0.0,1,0.0611,0.0,1,0.1124,0.0,2,0.0966,0.0,2,0.0966
bookmia.00.46,1984,0.0,0.1605,0.0,0.0,0.0,2,0.1219,0.0,2,0.1236,0.0,2,0.1587,0.0,2,0.1484
bookmia.00.48,1984,0.77,0.8372,0.0,0.0,0.0,2,0.0973,0.0,2,0.0973,0.0,2,0.0973,0.0,1,0.1038
bookmia.00.64,1984,0.0,0.1449,0.0,0.0,0.0,4,0.081,0.0,2,0.0969,0.0,4,0.1697,0.0,4,0.1697
bookmia.00.71,1984,0.3897,0.5291,0.0,0.0,0.0,2,0.0996,0.0,2,0.1309,0.0,1,0.0815,0.0,1,0.0815
bookmia.01.00,a_game_of_thrones,0.0,0.1848,0.0,0.0,0.0,1,0.0179,0.0,2,0.1358,0.0,2,0.0633,0.0,2,0.1522
bookmia.01.01,a_game_of_thrones,0.2488,0.3827,0.0,0.0,0.0,0,0.0,0.0,2,0.1442,0.0,2,0.1383,0.0,2,0.1415
bookmia.01.02,a_game_of_thrones,0.7424,0.8464,0.0,0.0,0.0,2,0.1216,0.0,1,0.1027,0.0,2,0.1149,0.0,1,0.0846
bookmia.01.03,a_game_of_thrones,0.2778,0.3631,0.0,0.0,0.0,1,0.0681,0.0,2,0.1264,0.0,2,0.0513,0.0,1,0.0928
bookmia.01.04,a_game_of_thrones,0.2754,0.4132,0.0,0.0,0.0,2,0.082,0.0,3,0.114,0.0,2,0.084,0.0,2,0.084
bookmia.01.07,a_game_of_thrones,0.5352,0.6508,0.0,0.0,0.0,1,0.0424,0.0,2,0.1024,0.0,2,0.1237,0.0,2,0.1237
bookmia.01.10,a_game_of_thrones,0.0,0.2222,0.0,0.0,0.0,1,0.0191,0.0,2,0.1319,0.0,2,0.0805,0.0,2,0.0805
bookmia.01.11,a_game_of_thrones,0.7642,0.861,0.0,0.0,0.0,4,0.125,0.0,1,0.0829,0.0,2,0.117,0.0,1,0.0888
bookmia.01.12,a_game_of_thrones,0.1033,0.2818,0.0,0.0,0.0,2,0.118,0.0,2,0.0922,0.0,2,0.0947,0.0,1,0.116
bookmia.01.14,a_game_of_thrones,0.7487,0.8539,0.0,0.0,0.0,1,0.0383,0.0,2,0.1346,0.0,1,0.114,0.0,2,0.0901
bookmia.01.20,a_game_of_thrones,0.1281,0.3529,0.0,0.0,0.0,0,0.0,0.0,2,0.0882,0.0,1,0.0839,0.0,1,0.0839
bookmia.01.22,a_game_of_thrones,0.6965,0.8046,0.0,0.0,0.0,2,0.0744,0.0,2,0.1326,0.0,2,0.1247,0.0,2,0.1319
bookmia.01.23,a_game_of_thrones,0.2663,0.3853,0.0,0.0,0.0,1,0.0296,0.0,2,0.0705,0.0,2,0.0881,0.0,2,0.1106
bookmia.01.26,a_game_of_thrones,0.285,0.4478,0.0,0.0,0.0,1,0.029,0.0,2,0.112,0.0,2,0.0944,0.0,2,0.097
bookmia.01.27,a_game_of_thrones,0.6649,0.7439,0.0,0.0,0.0,1,0.1083,0.0,1,0.1083,0.0,1,0.1083,0.0,2,0.1146
bookmia.01.31,a_game_of_thrones,0.2359,0.3561,0.0,0.0,0.0,1,0.0963,0.0,2,0.0958,0.0,2,0.0914,0.0,2,0.1076
bookmia.01.32,a_game_of_thrones,0.0,0.1808,0.0,0.0,0.0,1,0.0105,0.0,2,0.0991,0.0,2,0.0789,0.0,1,0.0852
bookmia.01.33,a_game_of_thrones,0.7158,0.8257,0.0,0.0,0.0,2,0.087,0.0,2,0.1326,0.0,1,0.1053,0.0,1,0.1053
bookmia.01.36,a_game_of_thrones,0.6946,0.7933,0.0,0.0,0.0,2,0.0435,0.0,2,0.1023,0.0,2,0.1173,0.0,2,0.1173
bookmia.01.37,a_game_of_thrones,0.6649,0.7602,0.0,0.0,0.0,2,0.0889,0.0,2,0.0825,0.0,2,0.0825,0.0,2,0.1104
bookmia.01.39,a_game_of_thrones,0.24,0.3429,0.0,0.0,0.0,1,0.019,0.0,2,0.0897,0.0,2,0.0904,0.0,1,0.0618
bookmia.01.41,a_game_of_thrones,0.0,0.1453,0.0,0.0,0.0,2,0.1262,0.0,2,0.1262,0.0,2,0.0993,0.0,2,0.0993
bookmia.01.42,a_game_of_thrones,0.0,0.1862,0.0,0.0,0.0,1,0.0273,0.0,2,0.076,0.0,1,0.0896,0.0,1,0.1122
bookmia.01.43,a_game_of_thrones,0.0,0.1448,0.0,0.0,0.0,2,0.0424,0.0,2,0.0947,0.0,2,0.1132,0.0,2,0.1215
bookmia.01.44,a_game_of_thrones,0.1923,0.337,0.0,0.0,0.0,2,0.1144,0.0,2,0.114,0.0,2,0.1114,0.0,2,0.1622
bookmia.01.46,a_game_of_thrones,0.1465,0.2727,0.0,0.0,0.0,1,0.0372,0.0,2,0.1203,0.0,1,0.0857,0.0,1,0.0857
bookmia.01.49,a_game_of_thrones,0.3366,0.468,0.0,0.0,0.0,2,0.0538,0.0,1,0.0214,0.0,1,0.0649,0.0,1,0.0649
bookmia.01.51,a_game_of_thrones,0.75,0.8464,0.0,0.0,0.0,1,0.1099,0.0,2,0.0769,0.0,2,0.0822,0.0,2,0.0822
bookmia.01.52,a_game_of_thrones,0.6812,0.8103,0.0,0.0,0.0,1,0.0093,0.0,1,0.0909,0.0,1,0.1459,0.0,1,0.1108
bookmia.01.58,a_game_of_thrones,0.0,0.1468,0.0,0.0,0.0,1,0.0205,0.0,2,0.0881,0.0,2,0.117,0.0,1,0.0321
bookmia.01.59,a_game_of_thrones,0.3615,0.5108,0.0,0.0,0.0,1,0.0431,0.0,2,0.1083,0.0,2,0.0901,0.0,2,0.1024
bookmia.01.60,a_game_of_thrones,0.0,0.1616,0.0,0.0,0.0,2,0.0968,0.0,2,0.0968,0.0,2,0.1146,0.0,1,0.0287
bookmia.01.62,a_game_of_thrones,0.6543,0.7576,0.0,0.0,0.0,1,0.0622,0.0,2,0.0814,0.0,2,0.1318,0.0,1,0.1111
bookmia.01.69,a_game_of_thrones,0.4975,0.6067,0.0,0.0,0.0,2,0.0838,0.0,2,0.0992,0.0,1,0.0252,0.0,1,0.0489
bookmia.01.71,a_game_of_thrones,0.0,0.1589,0.0,0.0,0.0,2,0.0678,0.0,2,0.1167,0.0,2,0.1141,0.0,2,0.1514
bookmia.01.73,a_game_of_thrones,0.1925,0.32,0.0,0.0,0.0,2,0.0562,0.0,2,0.119,0.0,2,0.1033,0.0,2,0.0274
bookmia.01.74,a_game_of_thrones,0.0,0.1369,0.0,0.0,0.0,1,0.0628,0.0,1,0.1224,0.0,1,0.1183,0.0,0,0.0
bookmia.01.75,a_game_of_thrones,0.1474,0.2389,0.0,0.0,0.0,0,0.0,0.0,2,0.1329,0.0,2,0.1329,0.0,1,0.0153
bookmia.01.76,a_game_of_thrones,0.0,0.1512,0.0,0.0,0.0,2,0.0744,0.0,2,0.0952,0.0,2,0.1303,0.0,1,0.1083
bookmia.01.77,a_game_of_thrones,0.0,0.1843,0.0,0.0,0.0,2,0.1131,0.0,1,0.0615,0.0,2,0.1176,0.0,2,0.1254
bookmia.01.78,a_game_of_thrones,0.768,0.8596,0.0,0.0,0.0,3,0.1158,0.0,3,0.0819,0.0,3,0.0819,0.0,4,0.1033
bookmia.01.79,a_game_of_thrones,0.2982,0.4674,0.0,0.0,0.0,2,0.0977,0.0,3,0.1079,0.0,3,0.1159,0.0,3,0.1485
bookmia.01.81,a_game_of_thrones,0.2255,0.3456,0.0,0.0,0.0,2,0.1246,0.0,2,0.1093,0.0,2,0.1453,0.0,2,0.1351
bookmia.01.82,a_game_of_thrones,0.7799,0.8763,0.0,0.0,0.0,1,0.1239,0.0,1,0.1239,0.0,2,0.0851,0.0,2,0.0851
