prompt_id,rank,prompt_class,n_words,reward
1nzes2,0,creative,68,-28.375
1nzes2,1,creative,83,-28.9375
1nzes2,2,creative,91,-28.25
1nzes2,3,creative,87,-27.875
1nzes2,4,creative,74,-27.9375
1nzes2,5,creative,68,-27.9375
1nzes2,6,creative,86,-28.0
1nzes2,7,creative,82,-26.8125
2786lw,0,creative,78,-26.375
2786lw,1,creative,80,-27.4375
2786lw,2,creative,61,-29.0625
2786lw,3,creative,82,-28.125
2786lw,4,creative,76,-28.5625
2786lw,5,creative,79,-28.125
2786lw,6,creative,81,-29.3125
2786lw,7,creative,88,-27.5
2ov45h,0,creative,69,-29.75
2ov45h,1,creative,69,-29.375
2ov45h,2,creative,65,-29.9375
2ov45h,3,creative,76,-29.0625
2ov45h,4,creative,46,-30.0625
2ov45h,5,creative,72,-30.5
2ov45h,6,creative,68,-29.1875
2ov45h,7,creative,69,-28.0
49u4dh,0,creative,83,-26.0625
49u4dh,1,creative,85,-26.5625
49u4dh,2,creative,81,-29.0
49u4dh,3,creative,83,-27.75
49u4dh,4,creative,78,-27.375
49u4dh,5,creative,83,-27.1875
49u4dh,6,creative,74,-28.0625
49u4dh,7,creative,77,-29.25
4iorz7,0,creative,83,-28.75
4iorz7,1,creative,14,-23.0
4iorz7,2,creative,59,-25.25
4iorz7,3,creative,74,-29.5
4iorz7,4,creative,71,-29.25
4iorz7,5,creative,67,-28.9375
4iorz7,6,creative,77,-29.75
4iorz7,7,creative,76,-28.0625
4xzr87,0,creative,80,-29.3125
4xzr87,1,creative,77,-29.125
4xzr87,2,creative,74,-29.0625
4xzr87,3,creative,76,-29.0
4xzr87,4,creative,87,-25.75
4xzr87,5,creative,72,-30.1875
4xzr87,6,creative,75,-29.4375
4xzr87,7,creative,81,-29.4375
53rqr9,0,creative,66,-29.0625
53rqr9,1,creative,78,-27.9375
53rqr9,2,creative,73,-28.75
53rqr9,3,creative,78,-28.5625
53rqr9,4,creative,48,-28.5
53rqr9,5,creative,68,-29.0
53rqr9,6,creative,88,-29.375
53rqr9,7,creative,72,-28.0625
5apkek,0,creative,85,-28.875
5apkek,1,creative,87,-24.875
5apkek,2,creative,74,-28.875
5apkek,3,creative,42,-28.3125
5apkek,4,creative,77,-26.4375
5apkek,5,creative,63,-27.25
5apkek,6,creative,79,-27.625
5apkek,7,creative,77,-28.75
5e6rcz,0,creative,80,-27.5
5e6rcz,1,creative,83,-29.8125
5e6rcz,2,creative,70,-30.1875
5e6rcz,3,creative,73,-29.3125
5e6rcz,4,creative,79,-28.6875
5e6rcz,5,creative,75,-27.0625
5e6rcz,6,creative,68,-29.0
5e6rcz,7,creative,69,-29.3125
5ec7q2,0,creative,74,-29.125
5ec7q2,1,creative,80,-29.8125
5ec7q2,2,creative,53,-30.125
5ec7q2,3,creative,28,-28.875
5ec7q2,4,creative,78,-28.875
5ec7q2,5,creative,78,-29.3125
5ec7q2,6,creative,81,-29.5
5ec7q2,7,creative,82,-29.0
5f5p86,0,creative,85,-27.75
5f5p86,1,creative,100,-25.9375
5f5p86,2,creative,94,-26.625
5f5p86,3,creative,79,-27.625
5f5p86,4,creative,78,-25.8125
5f5p86,5,creative,74,-28.125
5f5p86,6,creative,87,-27.6875
5f5p86,7,creative,90,-27.6875
5fqwjc,0,creative,54,-30.3125
5fqwjc,1,creative,71,-28.25
5fqwjc,2,creative,83,-28.5625
5fqwjc,3,creative,75,-28.875
5fqwjc,4,creative,71,-28.375
5fqwjc,5,creative,70,-30.0625
5fqwjc,6,creative,70,-29.25
5fqwjc,7,creative,79,-29.625
5g58dz,0,creative,66,-30.375
5g58dz,1,creative,71,-29.1875
5g58dz,2,creative,67,-29.0
5g58dz,3,creative,67,-28.6875
5g58dz,4,creative,77,-29.5
5g58dz,5,creative,59,-30.4375
5g58dz,6,creative,77,-29.5625
5g58dz,7,creative,29,-30.3125
5gq4jc,0,creative,64,-28.5625
5gq4jc,1,creative,71,-29.0
5gq4jc,2,creative,77,-28.0625
5gq4jc,3,creative,71,-28.125
5gq4jc,4,creative,76,-27.8125
5gq4jc,5,creative,68,-27.75
5gq4jc,6,creative,71,-29.0
5gq4jc,7,creative,72,-29.375
5j7ypk,0,creative,74,-28.125
5j7ypk,1,creative,79,-29.25
5j7ypk,2,creative,75,-29.75
5j7ypk,3,creative,73,-28.25
5j7ypk,4,creative,74,-29.8125
5j7ypk,5,creative,74,-29.0
5j7ypk,6,creative,73,-28.75
5j7ypk,7,creative,82,-27.375
5je6l4,0,creative,85,-28.5625
5je6l4,1,creative,89,-27.9375
5je6l4,2,creative,80,-27.25
5je6l4,3,creative,88,-27.625
5je6l4,4,creative,86,-28.75
5je6l4,5,creative,86,-21.5
5je6l4,6,creative,81,-27.875
5je6l4,7,creative,83,-26.8125
5nc21f,0,creative,88,-26.625
5nc21f,1,creative,79,-28.875
5nc21f,2,creative,78,-29.375
5nc21f,3,creative,86,-28.0625
5nc21f,4,creative,87,-29.125
5nc21f,5,creative,88,-28.0
5nc21f,6,creative,80,-28.125
5nc21f,7,creative,84,-28.8125
5nzsq6,0,creative,78,-28.9375
5nzsq6,1,creative,83,-28.9375
5nzsq6,2,creative,86,-24.5
5nzsq6,3,creative,90,-28.75
5nzsq6,4,creative,82,-28.0
5nzsq6,5,creative,62,-26.0625
5nzsq6,6,creative,83,-26.375
5nzsq6,7,creative,79,-28.5
