judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.404,0.369,0.439,0.0,0.0,0.0,92.6,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.447,0.415,0.482,0.043,0.014,0.073,88.3,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.46,0.424,0.495,0.056,0.021,0.093,83.2,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.489,0.452,0.523,0.085,0.046,0.125,83.2,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.512,0.478,0.547,0.108,0.071,0.15,87.5,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.563,0.528,0.599,0.159,0.118,0.202,96.5,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.586,0.551,0.62,0.182,0.136,0.228,105.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.453,0.412,0.497,0.0,0.0,0.0,92.6,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.518,0.476,0.562,0.065,0.032,0.099,88.3,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.534,0.489,0.578,0.081,0.041,0.121,83.2,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.557,0.514,0.6,0.104,0.058,0.148,83.2,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.551,0.505,0.595,0.098,0.051,0.147,87.5,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.579,0.535,0.622,0.126,0.075,0.176,96.5,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.618,0.574,0.662,0.165,0.113,0.219,105.0,0.9643
