judge,prompt_id,u_n1,u_n2,u_n4,u_n8
Phi-3.5-mini-instruct,alpaca_0000,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0001,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0002,0.5,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0003,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0004,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0005,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0006,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0007,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0008,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0009,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0010,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0011,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0012,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0013,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0014,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0015,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0016,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0017,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0018,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0019,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0020,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0021,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0022,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0023,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0024,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0025,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0026,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0027,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0028,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0029,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0030,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0031,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0032,0.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0033,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0034,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0035,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0036,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0037,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0038,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0039,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0040,0.5,0.5,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0041,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0042,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0043,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0044,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0045,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0046,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0047,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0048,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0049,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0050,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0051,1.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0052,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0053,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0054,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0055,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0056,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0057,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0058,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0059,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0060,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0061,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0062,1.0,0.5,0.5,1.0
