judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64
Phi-3.5-mini-instruct,gutenberg.pg1023.00,0.5,0.5,0.5,0.5,0.5,1.0,0.5
Phi-3.5-mini-instruct,gutenberg.pg1023.01,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,gutenberg.pg1023.02,1.0,0.5,1.0,1.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,gutenberg.pg1023.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,gutenberg.pg1023.04,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,gutenberg.pg1023.05,0.5,0.5,0.0,0.0,0.0,0.5,1.0
Phi-3.5-mini-instruct,gutenberg.pg1023.06,0.0,0.5,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,gutenberg.pg1023.07,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,gutenberg.pg1023.08,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,gutenberg.pg1023.09,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,gutenberg.pg1023.10,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,gutenberg.pg1023.11,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,gutenberg.pg105.00,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,gutenberg.pg105.01,1.0,1.0,1.0,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,gutenberg.pg105.02,1.0,1.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,gutenberg.pg105.03,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,gutenberg.pg105.04,0.5,0.5,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,gutenberg.pg105.05,0.5,0.0,0.5,0.5,0.5,0.5,0.5
