judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64
Phi-3.5-mini-instruct,alpaca_0000,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0002,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0003,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0004,0.0,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0006,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0007,0.0,0.0,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0008,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0009,1.0,0.0,0.0,0.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0011,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0012,0.0,0.0,1.0,0.5,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0016,0.0,0.5,0.5,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0018,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0019,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0020,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0021,0.5,0.5,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0022,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0023,1.0,1.0,0.5,0.5,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0024,0.0,0.0,0.5,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0025,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0028,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0032,0.5,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0034,0.0,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0035,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0037,0.0,1.0,1.0,1.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0038,0.0,0.0,0.0,1.0,1.0,0.0,0.0
