judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.371,0.337,0.404,0.0,0.0,0.0,128.3,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.409,0.378,0.442,0.038,0.009,0.068,131.2,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.429,0.395,0.461,0.058,0.019,0.097,130.1,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.432,0.399,0.466,0.061,0.02,0.102,128.5,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.46,0.428,0.493,0.089,0.047,0.132,124.9,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.473,0.44,0.506,0.102,0.06,0.143,125.9,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.479,0.449,0.511,0.108,0.067,0.148,126.3,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.283,0.244,0.323,0.0,0.0,0.0,128.3,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.346,0.304,0.386,0.063,0.034,0.096,131.2,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.383,0.341,0.426,0.1,0.062,0.137,130.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.395,0.355,0.437,0.112,0.072,0.154,128.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.437,0.394,0.483,0.154,0.11,0.199,124.9,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.479,0.437,0.523,0.196,0.149,0.243,125.9,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.492,0.451,0.534,0.209,0.161,0.257,126.3,1.0
