arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.226,0.19,0.262,0.0,0.0,0.0,0.991
majority vote (self-consistency),2,0.6931,500,0.226,0.19,0.264,0.0,0.0,0.0,0.991
majority vote (self-consistency),4,1.3863,500,0.276,0.238,0.316,0.05,0.026,0.074,0.991
majority vote (self-consistency),8,2.0794,500,0.35,0.308,0.392,0.124,0.09,0.158,0.991
majority vote (self-consistency),16,2.7726,500,0.378,0.334,0.422,0.152,0.112,0.192,0.991
majority vote (self-consistency),32,3.4657,500,0.396,0.354,0.44,0.17,0.13,0.21,0.991
majority vote (self-consistency),64,4.1589,500,0.4,0.358,0.442,0.174,0.134,0.216,0.991
pointwise reward (Qwen2.5-7B),1,0.0,500,0.226,0.19,0.262,0.0,0.0,0.0,1.0
pointwise reward (Qwen2.5-7B),2,0.6931,500,0.234,0.198,0.27,0.008,-0.02,0.036,1.0
pointwise reward (Qwen2.5-7B),4,1.3863,500,0.242,0.206,0.282,0.016,-0.018,0.05,1.0
pointwise reward (Qwen2.5-7B),8,2.0794,500,0.258,0.22,0.296,0.032,-0.006,0.072,1.0
pointwise reward (Qwen2.5-7B),16,2.7726,500,0.262,0.224,0.302,0.036,-0.004,0.076,1.0
pointwise reward (Qwen2.5-7B),32,3.4657,500,0.264,0.226,0.304,0.038,-0.004,0.08,1.0
pointwise reward (Qwen2.5-7B),64,4.1589,500,0.286,0.246,0.326,0.06,0.02,0.102,1.0
"risky model alone, k=-1 (greedy)",1,,500,0.784,0.748,0.82,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.722,0.682,0.762,,,,
