arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.32,0.28,0.362,0.0,0.0,0.0,0.955
majority vote (self-consistency),2,0.6931,500,0.32,0.28,0.36,0.0,0.0,0.0,0.955
majority vote (self-consistency),4,1.3863,500,0.392,0.35,0.436,0.072,0.044,0.1,0.955
majority vote (self-consistency),8,2.0794,500,0.466,0.422,0.51,0.146,0.11,0.184,0.955
majority vote (self-consistency),16,2.7726,500,0.5,0.456,0.544,0.18,0.142,0.22,0.955
majority vote (self-consistency),32,3.4657,500,0.546,0.504,0.59,0.226,0.184,0.27,0.955
majority vote (self-consistency),64,4.1589,500,0.542,0.5,0.586,0.222,0.182,0.264,0.955
pointwise reward (Qwen2.5-14B),1,0.0,500,0.32,0.28,0.362,0.0,0.0,0.0,1.0
pointwise reward (Qwen2.5-14B),2,0.6931,500,0.366,0.324,0.408,0.046,0.018,0.076,1.0
pointwise reward (Qwen2.5-14B),4,1.3863,500,0.372,0.33,0.416,0.052,0.016,0.088,1.0
pointwise reward (Qwen2.5-14B),8,2.0794,500,0.412,0.368,0.454,0.092,0.052,0.132,1.0
pointwise reward (Qwen2.5-14B),16,2.7726,500,0.448,0.404,0.492,0.128,0.086,0.172,1.0
pointwise reward (Qwen2.5-14B),32,3.4657,500,0.498,0.456,0.542,0.178,0.13,0.226,1.0
pointwise reward (Qwen2.5-14B),64,4.1589,500,0.534,0.49,0.578,0.214,0.168,0.262,1.0
"risky model alone, k=-1 (greedy)",1,,500,0.786,0.75,0.822,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.726,0.686,0.766,,,,
