arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.3496,0.3148,0.3847,0.0,0.0,0.0,0.7388
majority vote (self-consistency),2,0.6931,500,0.3496,0.3154,0.3852,0.0,0.0,0.0,0.7388
majority vote (self-consistency),4,1.3863,500,0.3622,0.3268,0.3976,0.0126,-0.0116,0.0364,0.7388
majority vote (self-consistency),8,2.0794,500,0.3859,0.3496,0.424,0.0363,0.0067,0.0663,0.7388
majority vote (self-consistency),16,2.7726,500,0.3653,0.3292,0.4027,0.0157,-0.0162,0.0471,0.7388
majority vote (self-consistency),32,3.4657,500,0.3777,0.3419,0.4144,0.0281,-0.0051,0.0618,0.7388
majority vote (self-consistency),64,4.1589,500,0.3726,0.3348,0.4095,0.023,-0.011,0.0568,0.7388
pointwise reward (Qwen2.5-72B),1,0.0,500,0.3496,0.3148,0.3847,0.0,0.0,0.0,0.9643
pointwise reward (Qwen2.5-72B),2,0.6931,500,0.3458,0.3104,0.3821,-0.0038,-0.0305,0.0231,0.9643
pointwise reward (Qwen2.5-72B),4,1.3863,500,0.3603,0.3251,0.395,0.0108,-0.0215,0.0437,0.9643
pointwise reward (Qwen2.5-72B),8,2.0794,500,0.3787,0.3443,0.413,0.0291,-0.0064,0.0644,0.9643
pointwise reward (Qwen2.5-72B),16,2.7726,500,0.3965,0.3622,0.4311,0.0469,0.0089,0.0836,0.9643
pointwise reward (Qwen2.5-72B),32,3.4657,500,0.4034,0.369,0.4374,0.0538,0.0167,0.0906,0.9643
pointwise reward (Qwen2.5-72B),64,4.1589,500,0.4111,0.3776,0.4445,0.0616,0.0226,0.1005,0.9643
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
