arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.4291,0.3943,0.4646,0.0,0.0,0.0,0.8829
majority vote (self-consistency),2,0.6931,500,0.4291,0.3944,0.464,0.0,0.0,0.0,0.8829
majority vote (self-consistency),4,1.3863,500,0.4385,0.4028,0.4748,0.0094,-0.012,0.0309,0.8829
majority vote (self-consistency),8,2.0794,500,0.4521,0.4158,0.489,0.023,-0.004,0.0498,0.8829
majority vote (self-consistency),16,2.7726,500,0.4644,0.427,0.5005,0.0353,0.0075,0.0637,0.8829
majority vote (self-consistency),32,3.4657,500,0.4528,0.4167,0.4896,0.0237,-0.0057,0.0534,0.8829
majority vote (self-consistency),64,4.1589,500,0.4575,0.4204,0.4945,0.0284,-0.0012,0.0576,0.8829
pointwise reward (Qwen2.5-72B),1,0.0,500,0.4291,0.3943,0.4646,0.0,0.0,0.0,0.75
pointwise reward (Qwen2.5-72B),2,0.6931,500,0.4112,0.3771,0.4465,-0.0179,-0.0391,0.0031,0.75
pointwise reward (Qwen2.5-72B),4,1.3863,500,0.4165,0.3822,0.4509,-0.0126,-0.0405,0.0159,0.75
pointwise reward (Qwen2.5-72B),8,2.0794,500,0.4163,0.3829,0.45,-0.0128,-0.0434,0.0178,0.75
pointwise reward (Qwen2.5-72B),16,2.7726,500,0.4361,0.4027,0.4692,0.007,-0.0278,0.042,0.75
pointwise reward (Qwen2.5-72B),32,3.4657,500,0.4431,0.4094,0.4766,0.014,-0.0219,0.0506,0.75
pointwise reward (Qwen2.5-72B),64,4.1589,500,0.4557,0.4217,0.4891,0.0266,-0.0097,0.0623,0.75
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
