arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.4562,0.4209,0.4922,0.0,0.0,0.0,-0.1622
majority vote (self-consistency),2,0.6931,500,0.4562,0.4207,0.4933,0.0,0.0,0.0,-0.1622
majority vote (self-consistency),4,1.3863,500,0.4564,0.4206,0.4921,0.0002,-0.0202,0.0209,-0.1622
majority vote (self-consistency),8,2.0794,500,0.4548,0.4181,0.4907,-0.0014,-0.0283,0.0256,-0.1622
majority vote (self-consistency),16,2.7726,500,0.4534,0.4169,0.4891,-0.0028,-0.0309,0.0252,-0.1622
majority vote (self-consistency),32,3.4657,500,0.4636,0.4281,0.4998,0.0075,-0.0213,0.0364,-0.1622
majority vote (self-consistency),64,4.1589,500,0.4551,0.4183,0.4916,-0.0011,-0.0306,0.0298,-0.1622
pointwise reward (Qwen2.5-14B),1,0.0,500,0.4562,0.4209,0.4922,0.0,0.0,0.0,-0.75
pointwise reward (Qwen2.5-14B),2,0.6931,500,0.4086,0.3742,0.4429,-0.0476,-0.0717,-0.0237,-0.75
pointwise reward (Qwen2.5-14B),4,1.3863,500,0.3618,0.3285,0.3963,-0.0944,-0.1266,-0.0618,-0.75
pointwise reward (Qwen2.5-14B),8,2.0794,500,0.3141,0.2818,0.3467,-0.142,-0.1777,-0.1065,-0.75
pointwise reward (Qwen2.5-14B),16,2.7726,500,0.2991,0.2684,0.3308,-0.157,-0.1954,-0.1177,-0.75
pointwise reward (Qwen2.5-14B),32,3.4657,500,0.3138,0.2819,0.3465,-0.1424,-0.1832,-0.1012,-0.75
pointwise reward (Qwen2.5-14B),64,4.1589,500,0.3262,0.2935,0.3584,-0.1299,-0.1707,-0.089,-0.75
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.4384,0.4859,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.466,0.4409,0.4911,,,,
