arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.0879,0.0717,0.1051,0.0,0.0,0.0,-0.955
majority vote (self-consistency),2,0.6931,500,0.0879,0.072,0.1049,0.0,0.0,0.0,-0.955
majority vote (self-consistency),4,1.3863,500,0.063,0.0492,0.078,-0.0249,-0.0373,-0.0134,-0.955
majority vote (self-consistency),8,2.0794,500,0.0481,0.0351,0.0629,-0.0398,-0.0553,-0.0251,-0.955
majority vote (self-consistency),16,2.7726,500,0.0352,0.0241,0.0477,-0.0527,-0.0689,-0.0367,-0.955
majority vote (self-consistency),32,3.4657,500,0.0314,0.0205,0.044,-0.0565,-0.0738,-0.0399,-0.955
majority vote (self-consistency),64,4.1589,500,0.0318,0.0205,0.0443,-0.0561,-0.0732,-0.0396,-0.955
pointwise reward (Qwen2.5-7B),1,0.0,500,0.0879,0.0717,0.1051,0.0,0.0,0.0,-0.9643
pointwise reward (Qwen2.5-7B),2,0.6931,500,0.0812,0.0652,0.0987,-0.0066,-0.0217,0.0084,-0.9643
pointwise reward (Qwen2.5-7B),4,1.3863,500,0.0599,0.0454,0.0756,-0.028,-0.0463,-0.0099,-0.9643
pointwise reward (Qwen2.5-7B),8,2.0794,500,0.0597,0.0448,0.0753,-0.0282,-0.0479,-0.0086,-0.9643
pointwise reward (Qwen2.5-7B),16,2.7726,500,0.0548,0.0406,0.0705,-0.033,-0.0524,-0.0136,-0.9643
pointwise reward (Qwen2.5-7B),32,3.4657,500,0.049,0.0358,0.063,-0.0389,-0.0583,-0.02,-0.9643
pointwise reward (Qwen2.5-7B),64,4.1589,500,0.0501,0.036,0.0652,-0.0378,-0.0584,-0.0178,-0.9643
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
