prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.802,0.8901,0.2614,0.4802,0.6467,0,239,0.3366,68,0.5101,0.3366,0.5101,0.4703,95,0.6397,0.4703,0.6397,0.4703,95,0.6397,0.4703,0.6397,0.4703,95,0.6397,0.4802,0.6467
bookmia.00.26,1984,0.7014,0.8675,0.3074,0.4882,0.654,0,228,0.0,10,0.2129,0.0,0.2129,0.4882,103,0.654,0.4882,0.654,0.4882,103,0.654,0.4882,0.654,0.4882,103,0.654,0.4882,0.654
bookmia.00.31,1984,0.0,0.0985,0.2311,0.5158,0.6713,0,244,0.4105,76,0.5684,0.4105,0.5684,0.4105,76,0.5684,0.4105,0.5833,0.4158,79,0.6644,0.4158,0.6644,0.5053,96,0.6713,0.5158,0.6713
bookmia.00.40,1984,0.2892,0.4266,0.2601,0.4706,0.64,0,230,0.3039,62,0.4605,0.3039,0.4605,0.4706,94,0.6312,0.4706,0.6312,0.4706,96,0.64,0.4706,0.64,0.4706,96,0.64,0.4706,0.64
bookmia.00.46,1984,0.0,0.1605,0.2964,0.4907,0.6478,0,244,0.271,58,0.4367,0.271,0.4367,0.3879,83,0.5786,0.3879,0.5786,0.472,101,0.6392,0.486,0.6395,0.472,101,0.6392,0.4907,0.6478
bookmia.00.48,1984,0.77,0.8372,0.2642,0.5164,0.677,0,157,0.4883,104,0.648,0.4883,0.648,0.5117,109,0.677,0.5117,0.677,0.5117,109,0.677,0.5164,0.677,0.5117,109,0.677,0.5164,0.677
bookmia.00.64,1984,0.0,0.1449,0.3182,0.4977,0.6626,0,214,0.3226,70,0.5723,0.3226,0.5723,0.4977,108,0.6626,0.4977,0.6626,0.4977,108,0.6626,0.4977,0.6626,0.4977,108,0.6626,0.4977,0.6626
bookmia.00.71,1984,0.3897,0.5291,0.0045,0.2207,0.3859,0,9,0.0,12,0.2271,0.0,0.2271,0.0,12,0.2271,0.0,0.2271,0.0,6,0.1284,0.0,0.2405,0.2207,45,0.3859,0.2207,0.3859
bookmia.01.00,a_game_of_thrones,0.0,0.1848,0.0636,0.1502,0.3598,0,125,0.0,3,0.1447,0.0,0.1447,0.1502,32,0.3232,0.1502,0.3272,0.1502,32,0.3529,0.1502,0.3529,0.1502,32,0.3481,0.1502,0.3598
bookmia.01.01,a_game_of_thrones,0.2488,0.3827,0.3532,0.4424,0.6134,0,248,0.3364,73,0.5367,0.3364,0.5367,0.4424,96,0.6134,0.4424,0.6134,0.4424,96,0.6134,0.4424,0.6134,0.4424,96,0.6134,0.4424,0.6134
bookmia.01.02,a_game_of_thrones,0.7424,0.8464,0.1387,0.4899,0.6554,0,208,0.1566,31,0.3046,0.1566,0.3046,0.1919,38,0.3668,0.1919,0.3668,0.3535,38,0.527,0.3535,0.527,0.4899,97,0.6554,0.4899,0.6554
bookmia.01.03,a_game_of_thrones,0.2778,0.3631,0.1587,0.5707,0.7267,0,219,0.2273,45,0.3458,0.2273,0.3458,0.2273,45,0.3458,0.2273,0.3673,0.5707,113,0.7267,0.5707,0.7267,0.5707,113,0.7267,0.5707,0.7267
bookmia.01.04,a_game_of_thrones,0.2754,0.4132,0.1967,0.5459,0.7062,0,189,0.1063,15,0.2548,0.1063,0.2548,0.3237,44,0.5,0.3237,0.5,0.5459,90,0.7,0.5459,0.7,0.5459,113,0.7062,0.5459,0.7062
bookmia.01.07,a_game_of_thrones,0.5352,0.6508,0.0006,0.1502,0.2994,0,1,0.0,4,0.1592,0.0,0.1592,0.0,2,0.118,0.0,0.183,0.0,4,0.1661,0.0,0.2603,0.0,12,0.1812,0.1502,0.2994
bookmia.01.10,a_game_of_thrones,0.0,0.2222,0.3712,0.5545,0.7111,0,233,0.5545,112,0.7111,0.5545,0.7111,0.5545,112,0.7111,0.5545,0.7111,0.5545,112,0.7111,0.5545,0.7111,0.5545,112,0.7111,0.5545,0.7111
