prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.3168,0.4213,0.3051,0.3911,0.5571,0,226,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3861,0.5571,0.3911,63,0.5552,0.3911,0.5571,0.3911,63,0.5552,0.3911,0.5571
bookmia.00.26,1984,0.8246,0.8779,0.3014,0.3602,0.5347,0,241,0.3602,76,0.5296,0.3602,0.5296,0.3602,76,0.5296,0.3602,0.5296,0.3602,76,0.5296,0.3602,0.5347,0.3602,76,0.5296,0.3602,0.5347
bookmia.00.31,1984,0.1211,0.2156,0.2903,0.3842,0.5551,0,237,0.2105,40,0.3371,0.2105,0.3371,0.3789,72,0.5475,0.3789,0.5475,0.3789,72,0.5475,0.3789,0.5475,0.3789,72,0.5475,0.3842,0.5551
bookmia.00.40,1984,0.2892,0.4247,0.2745,0.3725,0.5429,0,217,0.2402,49,0.4043,0.2402,0.4043,0.3725,76,0.5429,0.3725,0.5429,0.3725,76,0.5429,0.3725,0.5429,0.3725,76,0.5429,0.3725,0.5429
bookmia.00.46,1984,0.7383,0.8564,0.2646,0.3551,0.519,0,216,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3551,0.519,0.3505,75,0.519,0.3551,0.519
bookmia.00.48,1984,0.1643,0.3194,0.2871,0.3521,0.5157,0,234,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3521,0.5157,0.3474,74,0.5157,0.3521,0.5157
bookmia.00.64,1984,0.0,0.1755,0.3027,0.3594,0.522,0,239,0.3548,77,0.522,0.3548,0.522,0.3548,77,0.522,0.3548,0.522,0.3548,77,0.522,0.3548,0.522,0.3548,77,0.522,0.3594,0.522
bookmia.00.71,1984,0.2911,0.4831,0.1238,0.3474,0.5157,0,108,0.1127,24,0.2491,0.1127,0.2491,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157
bookmia.01.00,a_game_of_thrones,0.0,0.224,0.2729,0.3474,0.5157,0,233,0.3427,73,0.5157,0.3427,0.5157,0.3427,73,0.5157,0.3474,0.5157,0.3427,73,0.5157,0.3474,0.5157,0.3474,55,0.5035,0.3474,0.5157
bookmia.01.01,a_game_of_thrones,0.7005,0.8076,0.2288,0.3134,0.4755,0,214,0.3088,67,0.4718,0.3088,0.4718,0.3088,67,0.4718,0.3088,0.4718,0.3088,67,0.4718,0.3088,0.4718,0.3088,67,0.4718,0.3134,0.4755
