mechanism,n,scorer,seq_tokens,cost_bparam_tokens,ratio_vs_metered,note
"metered decoder, k=10",,--,217,2126.6,1.0,anchor and risky model at prefill and at every decode step
selection anchoring,1,Qwen2.5-7B,217,1909.6,0.9,n anchor generations + n scoring prefills
selection anchoring,2,Qwen2.5-7B,217,3819.2,1.8,n anchor generations + n scoring prefills
selection anchoring,4,Qwen2.5-7B,217,7638.4,3.59,n anchor generations + n scoring prefills
selection anchoring,8,Qwen2.5-7B,217,15276.8,7.18,n anchor generations + n scoring prefills
selection anchoring,16,Qwen2.5-7B,217,30553.6,14.37,n anchor generations + n scoring prefills
selection anchoring,32,Qwen2.5-7B,217,61107.2,28.73,n anchor generations + n scoring prefills
selection anchoring,64,Qwen2.5-7B,217,122214.4,57.47,n anchor generations + n scoring prefills
selection anchoring (counterfactual scorer),8,"0.5B, NOT RUN",217,3992.8,1.88,arithmetic only; no arm was run with a 0.5B scorer
selection anchoring (counterfactual scorer),64,"0.5B, NOT RUN",217,31942.4,15.02,arithmetic only; no arm was run with a 0.5B scorer
