arm_dir,arm,g_token_ids,bind_rate,mass_on_g,n
gsize_w10s0,tokenswap,39,0.0232,0.039649,100
gsize_w10s1,tokenswap,40,0.01295,0.033682,100
gsize_w110s0,tokenswap,426,0.2962,0.374594,100
gsize_w25s0,tokenswap,98,0.07785,0.125814,100
gsize_w25s1,tokenswap,99,0.07375,0.119914,100
gsize_w44s0,tokenswap,174,0.14215,0.202086,100
gsize_w44s1,tokenswap,170,0.13685,0.185021,100
gsize_w65s0,tokenswap,254,0.21685,0.280672,100
gsize_w65s1,tokenswap,251,0.2168,0.279694,100
gsize_w85s0,tokenswap,327,0.25075,0.328654,100
gsize_w85s1,tokenswap,330,0.251411,0.312992,100
leak_distilgpt2,tokenswap,426,0.2946,0.37316,100
leak_kl3m170m,tokenswap,171,0.01785,0.010128,100
leak_pleias350m,tokenswap,397,0.27795,0.384796,100
leakage,tokenswap,431,0.25275,0.374492,100
leakage,-1,431,0.0002,0.371859,100
util_distilgpt2,tokenswap,426,0.288908,0.277457,850
util_kl3m170m,tokenswap,171,0.030721,0.013672,850
util_pleias350m,tokenswap,397,0.25265,0.281837,850
utility,tokenswap,431,0.179006,0.287806,850
utility,-1,431,2.4e-05,0.287607,850
