decoder,constraint,k,n,active_step_pct,distinct3,n_judged,win_pct,loss_pct,judge_picked_first_pct,retention_pct
KL,kl,0.5,1500,48.049,0.8558,180,33.3,57.2,33.9,42.8
KL,kl,1.0,1500,5.428,0.86,180,28.9,59.4,40.4,40.6
KL,kl,3.0,1500,0.349,0.9595,180,37.2,49.5,45.7,50.5
KL,kl,5.0,1500,0.243,0.9808,180,42.8,46.7,43.9,53.3
KL,kl,10.0,1500,0.008,0.9849,180,41.7,46.1,35.7,53.9
KL,kl,20.0,1500,0.0,0.9849,180,46.1,45.0,45.8,55.0
anchor only,kl,0.0,1500,0.0,0.8378,180,30.5,61.7,31.9,38.3
pathwise,pathwise,0.5,1500,63.314,0.8484,180,28.3,60.0,35.3,40.0
pathwise,pathwise,1.0,1500,16.075,0.8579,180,34.5,53.3,34.3,46.7
pathwise,pathwise,3.0,1500,2.079,0.8934,180,37.8,53.9,36.7,46.1
pathwise,pathwise,5.0,1500,1.153,0.9689,180,31.7,53.9,39.4,46.1
pathwise,pathwise,10.0,1500,0.513,0.986,180,46.1,46.7,43.3,53.3
pathwise,pathwise,20.0,1500,0.002,0.9849,180,46.7,38.9,40.9,61.1
renyi a=1,renyi:1.0,3.0,150,0.378,0.9381,150,36.7,53.4,43.8,46.6
renyi a=2,renyi:2,3.0,150,2.504,0.9328,150,38.0,57.3,39.1,42.7
renyi a=8,renyi:8,3.0,150,99.457,0.9082,150,30.7,65.3,42.3,34.7
risky only,kl,-1.0,1500,0.0,0.9852,0,,,,
risky only (null),kl,-1.0,500,0.0,0.9852,180,42.2,41.7,43.1,58.3
