prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.9754,0.8864,0.0,0.0,0.1181,0,0,0.0,2,0.1181,0.0,0.1181
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.3,0.3595,0.0,0.0,0.1017,0,0,0.0,1,0.1017,0.0,0.1017
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1558,0.0,0.0,0.1414,0,0,0.0,2,0.1414,0.0,0.1414
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1866,0.0,0.0,0.1242,0,0,0.0,2,0.1242,0.0,0.1242
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,1.0,0.9319,0.0,0.0,0.1271,0,0,0.0,2,0.1271,0.0,0.1271
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1042,0.0,0.0,0.0741,0,0,0.0,1,0.0741,0.0,0.0741
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1533,0.0,0.0,0.0628,0,0,0.0,1,0.0628,0.0,0.0628
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1324,0.0,0.0,0.0972,0,0,0.0,2,0.0972,0.0,0.0972
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.1694,0.2566,0.0,0.0,0.0633,0,0,0.0,2,0.0633,0.0,0.0633
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.2482,0.3368,0.0,0.0,0.1262,0,0,0.0,3,0.1262,0.0,0.1262
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.6391,0.662,0.0,0.0,0.102,0,0,0.0,2,0.102,0.0,0.102
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.2714,0.3724,0.0,0.0,0.0879,0,0,0.0,2,0.0879,0.0,0.0879
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1405,0.0,0.0,0.12,0,0,0.0,1,0.12,0.0,0.12
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1181,0.0,0.0,0.0836,0,0,0.0,2,0.0836,0.0,0.0836
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.2215,0.0,0.0,0.1419,0,0,0.0,2,0.1419,0.0,0.1419
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.2148,0.3192,0.0,0.0,0.1438,0,0,0.0,2,0.1438,0.0,0.1438
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.3083,0.3333,0.0,0.0,0.1131,0,0,0.0,2,0.1131,0.0,0.1131
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1701,0.0,0.0,0.1103,0,0,0.0,1,0.1103,0.0,0.1103
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.0857,0.0,0.0,0.0977,0,0,0.0,2,0.0977,0.0,0.0977
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.2128,0.2818,0.0,0.0,0.0836,0,0,0.0,2,0.0836,0.0,0.0836
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.3214,0.0,0.0,0.1208,0,0,0.0,2,0.1208,0.0,0.1208
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.251,0.0,0.0,0.1172,0,0,0.0,2,0.1172,0.0,0.1172
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.2791,0.3439,0.0,0.0,0.1122,0,0,0.0,2,0.1122,0.0,0.1122
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.1609,0.0,0.0,0.1011,0,0,0.0,2,0.1011,0.0,0.1011
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.1838,0.338,0.0,0.0,0.1365,0,0,0.0,2,0.1365,0.0,0.1365
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.1495,0.0,0.0,0.1022,0,0,0.0,2,0.1022,0.0,0.1022
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.5436,0.5831,0.0,0.0,0.1053,0,0,0.0,2,0.1053,0.0,0.1053
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.1324,0.0,0.0,0.0704,0,0,0.0,2,0.0704,0.0,0.0704
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.4656,0.5193,0.0,0.0,0.1362,0,0,0.0,2,0.1362,0.0,0.1362
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,1.0,0.92,0.0,0.0,0.125,0,0,0.0,2,0.125,0.0,0.125
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.9928,0.9444,0.0,0.0,0.1,0,0,0.0,1,0.1,0.0,0.1
