prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1086,0.0,0.0,0.1538,0,0,0.0,1,0.1116,0.0,0.1116,0.0,2,0.0922,0.0,0.1238,0.0,2,0.0922,0.0,0.1538
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1434,0.0,0.0,0.1765,0,0,0.0,2,0.1106,0.0,0.1106,0.0,2,0.1223,0.0,0.1586,0.0,3,0.1475,0.0,0.1765
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1296,0.0,0.0,0.1532,0,0,0.0,2,0.103,0.0,0.103,0.0,3,0.1223,0.0,0.1306,0.0,1,0.0633,0.0,0.1532
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1154,0.0,0.0,0.1506,0,0,0.0,1,0.1411,0.0,0.1411,0.0,2,0.1167,0.0,0.1411,0.0,2,0.1321,0.0,0.1506
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1043,0.0,0.0,0.1589,0,0,0.0,2,0.125,0.0,0.125,0.0,2,0.1058,0.0,0.1478,0.0,1,0.0408,0.0,0.1589
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1044,0.0,0.0,0.1702,0,0,0.0,2,0.1102,0.0,0.1102,0.0,2,0.1293,0.0,0.1304,0.0,1,0.1036,0.0,0.1702
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.0956,0.0,0.0,0.1488,0,0,0.0,2,0.135,0.0,0.135,0.0,1,0.1176,0.0,0.135,0.0,2,0.1053,0.0,0.1488
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1401,0.0,0.0,0.1696,0,0,0.0,3,0.1327,0.0,0.1327,0.0,2,0.114,0.0,0.1481,0.0,2,0.1416,0.0,0.1696
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.0811,0.0,0.0,0.1215,0,0,0.0,2,0.1127,0.0,0.1127,0.0,1,0.0748,0.0,0.1127,0.0,2,0.0853,0.0,0.1215
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1395,0.0,0.0,0.1966,0,0,0.0,1,0.1385,0.0,0.1385,0.0,1,0.0795,0.0,0.1518,0.0,1,0.0909,0.0,0.1966
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1739,0.0,0.0,0.2072,0,0,0.0,2,0.1176,0.0,0.1176,0.0,2,0.1176,0.0,0.1754,0.0,2,0.1532,0.0,0.2072
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.081,0.0,0.0,0.16,0,0,0.0,2,0.1277,0.0,0.1277,0.0,2,0.1416,0.0,0.1571,0.0,1,0.0758,0.0,0.16
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1308,0.0,0.0,0.1472,0,0,0.0,2,0.0992,0.0,0.0992,0.0,2,0.0992,0.0,0.1417,0.0,2,0.1349,0.0,0.1472
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0669,0.0,0.0,0.1132,0,0,0.0,2,0.0807,0.0,0.0807,0.0,2,0.0807,0.0,0.0822,0.0,1,0.0588,0.0,0.1132
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1374,0.0,0.0,0.1624,0,0,0.0,1,0.1186,0.0,0.1186,0.0,1,0.1228,0.0,0.1266,0.0,1,0.1502,0.0,0.1624
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1129,0.0,0.0,0.1565,0,0,0.0,2,0.0885,0.0,0.0885,0.0,2,0.1266,0.0,0.1379,0.0,2,0.1058,0.0,0.1565
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.08,0.0,0.0,0.1176,0,0,0.0,2,0.1127,0.0,0.1127,0.0,2,0.1111,0.0,0.1127,0.0,1,0.0238,0.0,0.1176
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1217,0.0,0.0,0.1622,0,0,0.0,2,0.1207,0.0,0.1207,0.0,2,0.1156,0.0,0.1441,0.0,2,0.1538,0.0,0.1622
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.0687,0.0,0.0,0.1268,0,0,0.0,1,0.1014,0.0,0.1014,0.0,2,0.0842,0.0,0.1048,0.0,3,0.0829,0.0,0.1268
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.1157,0.0,0.0,0.1842,0,0,0.0,2,0.1057,0.0,0.1057,0.0,3,0.122,0.0,0.1405,0.0,2,0.1145,0.0,0.1842
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.1496,0.0,0.0,0.1581,0,0,0.0,2,0.1121,0.0,0.1121,0.0,2,0.1311,0.0,0.1509,0.0,2,0.1397,0.0,0.1581
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.1245,0.0,0.0,0.1574,0,0,0.0,2,0.1187,0.0,0.1187,0.0,3,0.1404,0.0,0.1518,0.0,3,0.0536,0.0,0.1574
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.1181,0.0,0.0,0.1422,0,0,0.0,2,0.1135,0.0,0.1135,0.0,2,0.0773,0.0,0.1261,0.0,3,0.134,0.0,0.1422
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.1089,0.0,0.0,0.1327,0,0,0.0,2,0.0901,0.0,0.0901,0.0,2,0.1127,0.0,0.1156,0.0,2,0.1033,0.0,0.1327
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1097,0.0,0.0,0.1316,0,0,0.0,2,0.1288,0.0,0.1288,0.0,1,0.0944,0.0,0.129,0.0,1,0.0642,0.0,0.1316
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.1231,0.0,0.0,0.1645,0,0,0.0,2,0.1043,0.0,0.1043,0.0,3,0.1137,0.0,0.1466,0.0,2,0.115,0.0,0.1645
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.1128,0.0,0.0,0.1557,0,0,0.0,2,0.0984,0.0,0.0984,0.0,3,0.136,0.0,0.136,0.0,2,0.0732,0.0,0.1557
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.0902,0.0,0.0,0.1228,0,0,0.0,2,0.0944,0.0,0.0944,0.0,2,0.0724,0.0,0.1071,0.0,3,0.0826,0.0,0.1228
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.1172,0.0,0.0,0.1603,0,0,0.0,2,0.1215,0.0,0.1215,0.0,1,0.1032,0.0,0.1603,0.0,2,0.1034,0.0,0.1603
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.1048,0.0,0.0,0.1625,0,0,0.0,3,0.1441,0.0,0.1441,0.0,2,0.1111,0.0,0.1441,0.0,2,0.1013,0.0,0.1625
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.1306,0.0,0.0,0.1638,0,0,0.0,2,0.1013,0.0,0.1013,0.0,2,0.1013,0.0,0.1478,0.0,2,0.1116,0.0,0.1638
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.1456,0.0,0.0,0.1847,0,0,0.0,1,0.0885,0.0,0.0885,0.0,2,0.1478,0.0,0.1518,0.0,2,0.1459,0.0,0.1847
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.1484,0.0,0.0,0.1695,0,0,0.0,2,0.1395,0.0,0.1395,0.0,2,0.098,0.0,0.1538,0.0,2,0.1007,0.0,0.1695
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.0,0.1176,0.0,0.0,0.1452,0,0,0.0,2,0.0909,0.0,0.0909,0.0,2,0.1204,0.0,0.1204,0.0,1,0.0345,0.0,0.1452
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.0,0.0696,0.0,0.0,0.1256,0,0,0.0,2,0.1223,0.0,0.1223,0.0,1,0.0697,0.0,0.1223,0.0,1,0.0789,0.0,0.1256
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.114,0.0,0.0,0.1444,0,0,0.0,1,0.127,0.0,0.127,0.0,2,0.067,0.0,0.127,0.0,2,0.129,0.0,0.1444
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.0,0.0938,0.0,0.0,0.1345,0,0,0.0,2,0.0786,0.0,0.0786,0.0,2,0.1116,0.0,0.1176,0.0,1,0.1028,0.0,0.1345
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.0,0.1221,0.0,0.0,0.1525,0,0,0.0,2,0.1172,0.0,0.1172,0.0,2,0.0968,0.0,0.1435,0.0,2,0.1089,0.0,0.1525
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.0,0.1308,0.0,0.0,0.193,0,0,0.0,2,0.1466,0.0,0.1466,0.0,2,0.1277,0.0,0.1518,0.0,2,0.0855,0.0,0.193
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.0,0.1067,0.0,0.0,0.1705,0,0,0.0,2,0.1038,0.0,0.1038,0.0,2,0.1395,0.0,0.1395,0.0,2,0.1028,0.0,0.1705
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.1271,0.0,0.0,0.1567,0,0,0.0,2,0.1244,0.0,0.1244,0.0,2,0.117,0.0,0.127,0.0,4,0.1238,0.0,0.1567
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,0.0,0.0678,0.0,0.0,0.1182,0,0,0.0,1,0.0615,0.0,0.0615,0.0,2,0.1019,0.0,0.1096,0.0,1,0.0766,0.0,0.1182
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1275,0.0,0.0,0.1696,0,0,0.0,2,0.1351,0.0,0.1351,0.0,2,0.1157,0.0,0.1351,0.0,2,0.0893,0.0,0.1696
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.1013,0.0,0.0,0.1379,0,0,0.0,2,0.1033,0.0,0.1033,0.0,1,0.1033,0.0,0.1215,0.0,3,0.0991,0.0,0.1379
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.0,0.1015,0.0,0.0,0.1456,0,0,0.0,1,0.046,0.0,0.046,0.0,2,0.0773,0.0,0.1313,0.0,1,0.0966,0.0,0.1456
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.0853,0.0,0.0,0.1304,0,0,0.0,1,0.1193,0.0,0.1193,0.0,2,0.0721,0.0,0.1193,0.0,2,0.0821,0.0,0.1304
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.0,0.0412,0.0,0.0,0.12,0,0,0.0,2,0.0909,0.0,0.0909,0.0,1,0.0745,0.0,0.0909,0.0,1,0.0745,0.0,0.12
