prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1145,0.0,0.0,0.1481,0,0,0.0,1,0.0897,0.0,0.0897,0.0,1,0.104,0.0,0.104,0.0,1,0.0808,0.0,0.1481
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1641,0.0,0.0,0.1699,0,0,0.0,2,0.1362,0.0,0.1362,0.0,2,0.1423,0.0,0.1538,0.0,2,0.1423,0.0,0.1699
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1358,0.0,0.0,0.1467,0,0,0.0,3,0.1115,0.0,0.1115,0.0,1,0.1245,0.0,0.1467,0.0,1,0.1245,0.0,0.1467
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1061,0.0,0.0,0.1456,0,0,0.0,2,0.1203,0.0,0.1203,0.0,2,0.1203,0.0,0.1417,0.0,1,0.0536,0.0,0.1456
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.122,0.0,0.0,0.1399,0,0,0.0,3,0.1339,0.0,0.1339,0.0,2,0.0896,0.0,0.1339,0.0,2,0.0305,0.0,0.1399
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.0833,0.0,0.0,0.1515,0,0,0.0,2,0.1143,0.0,0.1143,0.0,2,0.1044,0.0,0.1374,0.0,4,0.1125,0.0,0.1515
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.0977,0.0,0.0,0.1532,0,0,0.0,2,0.0909,0.0,0.0909,0.0,2,0.0806,0.0,0.129,0.0,3,0.104,0.0,0.1532
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1615,0.0,0.0,0.1753,0,0,0.0,1,0.1034,0.0,0.1034,0.0,2,0.1525,0.0,0.1525,0.0,2,0.1293,0.0,0.1753
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.0741,0.0,0.0,0.112,0,0,0.0,2,0.0996,0.0,0.0996,0.0,2,0.0699,0.0,0.0996,0.0,2,0.048,0.0,0.112
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1479,0.0,0.0,0.187,0,0,0.0,2,0.1182,0.0,0.1182,0.0,2,0.1475,0.0,0.1475,0.0,2,0.0577,0.0,0.187
