prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.0656,0.0,0.0,0.125,0,0,0.0,1,0.0957,0.0,0.0957,0.0,1,0.0265,0.0,0.125,0.0,0,0.0,0.0,0.125
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1364,0.0,0.0,0.1373,0,0,0.0,2,0.1034,0.0,0.1034,0.0,1,0.0903,0.0,0.1212,0.0,2,0.1209,0.0,0.1373
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1166,0.0,0.0,0.14,0,0,0.0,2,0.0966,0.0,0.0966,0.0,1,0.0625,0.0,0.1327,0.0,1,0.0926,0.0,0.14
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.0822,0.0,0.0,0.1481,0,0,0.0,2,0.1063,0.0,0.1063,0.0,2,0.1152,0.0,0.1209,0.0,1,0.1205,0.0,0.1481
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.066,0.0,0.0,0.1346,0,0,0.0,2,0.0788,0.0,0.0788,0.0,2,0.0788,0.0,0.1146,0.0,2,0.0829,0.0,0.1346
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.0939,0.0,0.0,0.146,0,0,0.0,2,0.0905,0.0,0.0905,0.0,2,0.0984,0.0,0.1058,0.0,2,0.0847,0.0,0.146
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.0881,0.0,0.0,0.1357,0,0,0.0,1,0.0841,0.0,0.0841,0.0,2,0.1194,0.0,0.1194,0.0,2,0.082,0.0,0.1357
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1063,0.0,0.0,0.1677,0,0,0.0,2,0.107,0.0,0.107,0.0,2,0.0962,0.0,0.1171,0.0,1,0.0288,0.0,0.1677
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.1117,0.0,0.0,0.1274,0,0,0.0,1,0.0488,0.0,0.0488,0.0,2,0.1169,0.0,0.1274,0.0,2,0.0753,0.0,0.1274
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1357,0.0,0.0,0.1587,0,0,0.0,2,0.1341,0.0,0.1341,0.0,2,0.1037,0.0,0.1407,0.0,1,0.1048,0.0,0.1587
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1033,0.0,0.0,0.15,0,0,0.0,2,0.0857,0.0,0.0857,0.0,2,0.0857,0.0,0.1457,0.0,2,0.1299,0.0,0.15
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.1322,0.0,0.0,0.1467,0,0,0.0,2,0.1302,0.0,0.1302,0.0,3,0.1029,0.0,0.1467,0.0,2,0.0901,0.0,0.1467
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1456,0.0,0.0,0.1765,0,0,0.0,2,0.1023,0.0,0.1023,0.0,2,0.1206,0.0,0.1206,0.0,2,0.1206,0.0,0.1765
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0642,0.0,0.0,0.1078,0,0,0.0,1,0.07,0.0,0.07,0.0,2,0.0693,0.0,0.098,0.0,1,0.0702,0.0,0.1078
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1504,0.0,0.0,0.2,0,0,0.0,1,0.1205,0.0,0.1205,0.0,2,0.1562,0.0,0.1562,0.0,2,0.1373,0.0,0.2
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1209,0.0,0.0,0.1508,0,0,0.0,1,0.0941,0.0,0.0941,0.0,2,0.1019,0.0,0.1319,0.0,2,0.1157,0.0,0.1508
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0909,0.0,0.0,0.1134,0,0,0.0,2,0.0778,0.0,0.0778,0.0,3,0.0838,0.0,0.0968,0.0,1,0.0576,0.0,0.1134
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.0909,0.0,0.0,0.1297,0,0,0.0,2,0.1297,0.0,0.1297,0.0,1,0.0882,0.0,0.1297,0.0,2,0.0887,0.0,0.1297
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.0766,0.0,0.0,0.1489,0,0,0.0,1,0.0814,0.0,0.0814,0.0,2,0.0884,0.0,0.1088,0.0,2,0.1026,0.0,0.1489
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.1171,0.0,0.0,0.1648,0,0,0.0,2,0.0878,0.0,0.0878,0.0,1,0.1241,0.0,0.1241,0.0,2,0.1064,0.0,0.1648
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.1422,0.0,0.0,0.1366,0,0,0.0,2,0.1198,0.0,0.1198,0.0,2,0.1015,0.0,0.132,0.0,2,0.0938,0.0,0.1366
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.1297,0.0,0.0,0.186,0,0,0.0,2,0.1361,0.0,0.1361,0.0,1,0.1393,0.0,0.1546,0.0,2,0.1724,0.0,0.186
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.0952,0.0,0.0,0.1277,0,0,0.0,1,0.0894,0.0,0.0894,0.0,2,0.1263,0.0,0.1263,0.0,1,0.0889,0.0,0.1277
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.0804,0.0,0.0,0.1489,0,0,0.0,1,0.0842,0.0,0.0842,0.0,1,0.1067,0.0,0.1067,0.0,1,0.0175,0.0,0.1489
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1182,0.0,0.0,0.1361,0,0,0.0,1,0.0856,0.0,0.0856,0.0,1,0.0606,0.0,0.093,0.0,1,0.0513,0.0,0.1361
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.1096,0.0,0.0,0.1164,0,0,0.0,1,0.0865,0.0,0.0865,0.0,1,0.0674,0.0,0.1164,0.0,2,0.0957,0.0,0.1164
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.1004,0.0,0.0,0.1767,0,0,0.0,2,0.1302,0.0,0.1302,0.0,3,0.1429,0.0,0.1429,0.0,0,0.0,0.0,0.1767
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.0777,0.0,0.0,0.125,0,0,0.0,1,0.0865,0.0,0.0865,0.0,1,0.0882,0.0,0.125,0.0,1,0.0463,0.0,0.125
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.0909,0.0,0.0,0.1509,0,0,0.0,2,0.1036,0.0,0.1036,0.0,2,0.1064,0.0,0.1443,0.0,2,0.0662,0.0,0.1509
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.1096,0.0,0.0,0.1488,0,0,0.0,2,0.0676,0.0,0.0676,0.0,1,0.0833,0.0,0.1017,0.0,1,0.0833,0.0,0.1488
