prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1076,0.0,0.0,0.1351,0,0,0.0,2,0.0929,0.0,0.0929,0.0,1,0.0417,0.0,0.1137,0.0,1,0.0382,0.0,0.1351
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1437,0.0,0.0,0.1688,0,0,0.0,1,0.099,0.0,0.099,0.0,2,0.1223,0.0,0.1392,0.0,3,0.147,0.0,0.1688
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.118,0.0,0.0,0.1651,0,0,0.0,2,0.0619,0.0,0.0619,0.0,2,0.109,0.0,0.1311,0.0,2,0.0875,0.0,0.1651
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1354,0.0,0.0,0.1608,0,0,0.0,2,0.1104,0.0,0.1104,0.0,2,0.1303,0.0,0.1514,0.0,2,0.0839,0.0,0.1608
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1143,0.0,0.0,0.172,0,0,0.0,2,0.1433,0.0,0.1433,0.0,2,0.172,0.0,0.172,0.0,2,0.172,0.0,0.172
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1037,0.0,0.0,0.157,0,0,0.0,2,0.1316,0.0,0.1316,0.0,2,0.1235,0.0,0.1423,0.0,1,0.0221,0.0,0.157
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1032,0.0,0.0,0.1386,0,0,0.0,2,0.1206,0.0,0.1206,0.0,2,0.0909,0.0,0.1206,0.0,2,0.099,0.0,0.1386
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1411,0.0,0.0,0.1656,0,0,0.0,2,0.1222,0.0,0.1222,0.0,2,0.146,0.0,0.165,0.0,1,0.0415,0.0,0.1656
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.11,0.0,0.0,0.1362,0,0,0.0,2,0.1119,0.0,0.1119,0.0,2,0.11,0.0,0.1119,0.0,1,0.0711,0.0,0.1362
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1037,0.0,0.0,0.1742,0,0,0.0,2,0.1258,0.0,0.1258,0.0,2,0.172,0.0,0.172,0.0,2,0.172,0.0,0.1742
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1525,0.0,0.0,0.1698,0,0,0.0,0,0.0,0.0,0.0,0.0,2,0.1346,0.0,0.1574,0.0,2,0.1493,0.0,0.1698
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.1176,0.0,0.0,0.1508,0,0,0.0,3,0.0974,0.0,0.0974,0.0,1,0.1236,0.0,0.1236,0.0,1,0.1236,0.0,0.1508
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1129,0.0,0.0,0.1379,0,0,0.0,2,0.1234,0.0,0.1234,0.0,2,0.0912,0.0,0.1234,0.0,2,0.0912,0.0,0.1379
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.094,0.0,0.0,0.1429,0,0,0.0,3,0.1074,0.0,0.1074,0.0,3,0.1074,0.0,0.1208,0.0,2,0.1189,0.0,0.1429
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1098,0.0,0.0,0.1511,0,0,0.0,2,0.1206,0.0,0.1206,0.0,2,0.0991,0.0,0.1206,0.0,2,0.1119,0.0,0.1511
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1325,0.0,0.0,0.1818,0,0,0.0,2,0.132,0.0,0.132,0.0,2,0.1356,0.0,0.1548,0.0,4,0.121,0.0,0.1818
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.1077,0.0,0.0,0.1382,0,0,0.0,2,0.1189,0.0,0.1189,0.0,2,0.1083,0.0,0.1233,0.0,1,0.0423,0.0,0.1382
