prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.0836,0.0,0.0,0.1505,0,0,0.0,1,0.0565,0.0,0.0565,0.0,2,0.1274,0.0,0.1321,0.0,2,0.1204,0.0,0.1505
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1354,0.0,0.0,0.2013,0,0,0.0,2,0.1263,0.0,0.1263,0.0,3,0.1371,0.0,0.1641,0.0,2,0.1304,0.0,0.2013
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1273,0.0,0.0,0.1657,0,0,0.0,2,0.1313,0.0,0.1313,0.0,2,0.1391,0.0,0.1657,0.0,3,0.1657,0.0,0.1657
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1191,0.0,0.0,0.1647,0,0,0.0,2,0.1333,0.0,0.1333,0.0,2,0.1333,0.0,0.1602,0.0,3,0.1548,0.0,0.1647
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.142,0.0,0.0,0.1622,0,0,0.0,2,0.1538,0.0,0.1538,0.0,2,0.1238,0.0,0.1538,0.0,2,0.08,0.0,0.1622
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.142,0.0,0.0,0.1677,0,0,0.0,2,0.0889,0.0,0.0889,0.0,2,0.1543,0.0,0.1543,0.0,1,0.069,0.0,0.1677
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.073,0.0,0.0,0.1484,0,0,0.0,2,0.1268,0.0,0.1268,0.0,1,0.1053,0.0,0.1484,0.0,1,0.1053,0.0,0.1484
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1155,0.0,0.0,0.1642,0,0,0.0,2,0.1337,0.0,0.1337,0.0,3,0.1466,0.0,0.1466,0.0,2,0.1361,0.0,0.1642
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.1083,0.0,0.0,0.1437,0,0,0.0,1,0.0779,0.0,0.0779,0.0,1,0.0779,0.0,0.1224,0.0,2,0.1032,0.0,0.1437
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.0985,0.0,0.0,0.1877,0,0,0.0,2,0.0968,0.0,0.0968,0.0,3,0.1877,0.0,0.1877,0.0,3,0.1184,0.0,0.1877
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1634,0.0,0.0,0.1988,0,0,0.0,2,0.1656,0.0,0.1656,0.0,4,0.1988,0.0,0.1988,0.0,2,0.1161,0.0,0.1988
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.1101,0.0,0.0,0.1687,0,0,0.0,2,0.1183,0.0,0.1183,0.0,1,0.1015,0.0,0.1404,0.0,3,0.1365,0.0,0.1687
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1261,0.0,0.0,0.1584,0,0,0.0,2,0.1053,0.0,0.1053,0.0,1,0.0798,0.0,0.1287,0.0,2,0.1365,0.0,0.1584
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0886,0.0,0.0,0.1538,0,0,0.0,2,0.1066,0.0,0.1066,0.0,2,0.1424,0.0,0.1447,0.0,2,0.1184,0.0,0.1538
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1215,0.0,0.0,0.1742,0,0,0.0,2,0.1416,0.0,0.1416,0.0,2,0.1416,0.0,0.1416,0.0,2,0.1036,0.0,0.1742
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1069,0.0,0.0,0.1801,0,0,0.0,2,0.1687,0.0,0.1687,0.0,4,0.1749,0.0,0.1749,0.0,6,0.099,0.0,0.1801
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.1121,0.0,0.0,0.1494,0,0,0.0,1,0.0697,0.0,0.0697,0.0,2,0.0912,0.0,0.1303,0.0,1,0.0121,0.0,0.1494
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1622,0.0,0.0,0.1841,0,0,0.0,4,0.1279,0.0,0.1279,0.0,4,0.1279,0.0,0.1818,0.0,4,0.1279,0.0,0.1841
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.1034,0.0,0.0,0.1338,0,0,0.0,2,0.0858,0.0,0.0858,0.0,2,0.0779,0.0,0.1325,0.0,2,0.0779,0.0,0.1338
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.0903,0.0,0.0,0.1584,0,0,0.0,2,0.067,0.0,0.067,0.0,3,0.1574,0.0,0.1574,0.0,2,0.1236,0.0,0.1584
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.1205,0.0,0.0,0.1863,0,0,0.0,1,0.0515,0.0,0.0515,0.0,2,0.0985,0.0,0.1519,0.0,3,0.1337,0.0,0.1863
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.125,0.0,0.0,0.1625,0,0,0.0,2,0.1198,0.0,0.1198,0.0,1,0.1169,0.0,0.1242,0.0,2,0.1375,0.0,0.1625
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.1342,0.0,0.0,0.1908,0,0,0.0,2,0.1053,0.0,0.1053,0.0,2,0.1346,0.0,0.1908,0.0,4,0.1489,0.0,0.1908
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.1208,0.0,0.0,0.1497,0,0,0.0,2,0.0878,0.0,0.0878,0.0,2,0.1146,0.0,0.1497,0.0,2,0.0927,0.0,0.1497
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1111,0.0,0.0,0.1458,0,0,0.0,3,0.1411,0.0,0.1411,0.0,2,0.0946,0.0,0.1458,0.0,2,0.1115,0.0,0.1458
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.1091,0.0,0.0,0.2385,0,0,0.0,3,0.0776,0.0,0.0776,0.0,3,0.0933,0.0,0.1433,0.0,3,0.0852,0.0,0.2385
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.1053,0.0,0.0,0.1512,0,0,0.0,2,0.0898,0.0,0.0898,0.0,1,0.0505,0.0,0.1512,0.0,1,0.0505,0.0,0.1512
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.0619,0.0,0.0,0.1132,0,0,0.0,2,0.0898,0.0,0.0898,0.0,2,0.0898,0.0,0.1104,0.0,2,0.0898,0.0,0.1132
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.1636,0.0,0.0,0.2236,0,0,0.0,2,0.0591,0.0,0.0591,0.0,1,0.0917,0.0,0.203,0.0,2,0.0793,0.0,0.2236
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.1261,0.0,0.0,0.1813,0,0,0.0,3,0.1212,0.0,0.1212,0.0,2,0.1288,0.0,0.1321,0.0,2,0.1208,0.0,0.1813
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.1043,0.0,0.0,0.1534,0,0,0.0,2,0.1111,0.0,0.1111,0.0,2,0.0814,0.0,0.1274,0.0,2,0.1338,0.0,0.1534
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.1273,0.0,0.0,0.178,0,0,0.0,2,0.1462,0.0,0.1462,0.0,3,0.1627,0.0,0.1627,0.0,2,0.1479,0.0,0.178
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.1416,0.0,0.0,0.1553,0,0,0.0,2,0.1091,0.0,0.1091,0.0,2,0.1491,0.0,0.1491,0.0,3,0.1395,0.0,0.1553
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.0,0.118,0.0,0.0,0.1497,0,0,0.0,4,0.1296,0.0,0.1296,0.0,2,0.1094,0.0,0.1497,0.0,2,0.0343,0.0,0.1497
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.0,0.0991,0.0,0.0,0.1371,0,0,0.0,3,0.1083,0.0,0.1083,0.0,2,0.0955,0.0,0.1371,0.0,2,0.0955,0.0,0.1371
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.1316,0.0,0.0,0.1498,0,0,0.0,4,0.1229,0.0,0.1229,0.0,2,0.1347,0.0,0.1347,0.0,2,0.1083,0.0,0.1498
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.0,0.1269,0.0,0.0,0.1534,0,0,0.0,2,0.1257,0.0,0.1257,0.0,2,0.0918,0.0,0.1257,0.0,2,0.1296,0.0,0.1534
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.0,0.1318,0.0,0.0,0.1691,0,0,0.0,2,0.1373,0.0,0.1373,0.0,3,0.0994,0.0,0.1387,0.0,2,0.1313,0.0,0.1691
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.0,0.0877,0.0,0.0,0.1614,0,0,0.0,2,0.1287,0.0,0.1287,0.0,3,0.1221,0.0,0.1357,0.0,2,0.1069,0.0,0.1614
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.0,0.1014,0.0,0.0,0.1767,0,0,0.0,2,0.0997,0.0,0.0997,0.0,4,0.1316,0.0,0.1333,0.0,3,0.0791,0.0,0.1767
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.1063,0.0,0.0,0.1818,0,0,0.0,2,0.0897,0.0,0.0897,0.0,2,0.1222,0.0,0.1409,0.0,1,0.0253,0.0,0.1818
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,0.0,0.0906,0.0,0.0,0.1311,0,0,0.0,1,0.1074,0.0,0.1074,0.0,2,0.1233,0.0,0.1233,0.0,1,0.0822,0.0,0.1311
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1121,0.0,0.0,0.1514,0,0,0.0,2,0.1088,0.0,0.1088,0.0,2,0.0964,0.0,0.1459,0.0,3,0.1406,0.0,0.1514
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.1615,0.0,0.0,0.1872,0,0,0.0,3,0.0881,0.0,0.0881,0.0,3,0.0881,0.0,0.1543,0.0,3,0.1437,0.0,0.1872
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.0,0.1308,0.0,0.0,0.1886,0,0,0.0,2,0.0741,0.0,0.0741,0.0,5,0.1505,0.0,0.1725,0.0,2,0.1137,0.0,0.1886
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.0958,0.0712,0.4142,0.5176,0,12,0.0,2,0.1312,0.0,0.1312,0.0,2,0.1312,0.4024,0.4688,0.0,2,0.106,0.4142,0.5176
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.0,0.0962,0.0,0.0,0.1459,0,0,0.0,2,0.0787,0.0,0.0787,0.0,2,0.1,0.0,0.1397,0.0,2,0.0796,0.0,0.1459
bookmia.17.95,harry_potter_and_the_sorcerer's_stone,0.0,0.1262,0.0,0.0,0.1558,0,0,0.0,2,0.1329,0.0,0.1329,0.0,2,0.1254,0.0,0.1329,0.0,2,0.087,0.0,0.1558
bookmia.17.97,harry_potter_and_the_sorcerer's_stone,0.0,0.0864,0.0,0.0,0.1635,0,0,0.0,3,0.1076,0.0,0.1076,0.0,4,0.1342,0.0,0.1342,0.0,2,0.0725,0.0,0.1635
bookmia.17.98,harry_potter_and_the_sorcerer's_stone,0.0,0.116,0.0,0.0,0.1365,0,0,0.0,1,0.0842,0.0,0.0842,0.0,3,0.0976,0.0,0.1045,0.0,3,0.0976,0.0,0.1365
