prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1303,0.0,0.0,0.1419,0,0,0.0,1,0.1069,0.0,0.1069,0.0,2,0.135,0.0,0.135,0.0,1,0.0924,0.0,0.1419
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1101,0.0,0.0,0.1686,0,0,0.0,2,0.1306,0.0,0.1306,0.0,2,0.1306,0.0,0.1437,0.0,2,0.079,0.0,0.1686
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1684,0.0,0.0,0.1818,0,0,0.0,2,0.1193,0.0,0.1193,0.0,4,0.1616,0.0,0.1719,0.0,2,0.137,0.0,0.1818
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1543,0.0,0.0,0.1849,0,0,0.0,2,0.142,0.0,0.142,0.0,2,0.1522,0.0,0.1706,0.0,2,0.1281,0.0,0.1849
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1093,0.0,0.0,0.1667,0,0,0.0,2,0.1394,0.0,0.1394,0.0,1,0.029,0.0,0.1475,0.0,2,0.1186,0.0,0.1667
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1239,0.0,0.0,0.1775,0,0,0.0,2,0.1602,0.0,0.1602,0.0,2,0.1176,0.0,0.1775,0.0,2,0.0361,0.0,0.1775
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1381,0.0,0.0,0.1558,0,0,0.0,2,0.1313,0.0,0.1313,0.0,2,0.1447,0.0,0.1472,0.0,3,0.1558,0.0,0.1558
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1585,0.0,0.0,0.1977,0,0,0.0,2,0.1623,0.0,0.1623,0.0,3,0.1746,0.0,0.1746,0.0,3,0.1686,0.0,0.1977
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.127,0.0,0.0,0.175,0,0,0.0,3,0.1191,0.0,0.1191,0.0,2,0.0915,0.0,0.1191,0.0,2,0.1254,0.0,0.175
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1394,0.0,0.0,0.1958,0,0,0.0,2,0.1507,0.0,0.1507,0.0,3,0.1399,0.0,0.1818,0.0,2,0.1581,0.0,0.1958
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1518,0.0,0.0,0.2149,0,0,0.0,2,0.1744,0.0,0.1744,0.0,1,0.0717,0.0,0.1792,0.0,1,0.0982,0.0,0.2149
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.1271,0.0,0.0,0.1595,0,0,0.0,2,0.1365,0.0,0.1365,0.0,2,0.0795,0.0,0.1484,0.0,3,0.1298,0.0,0.1595
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.116,0.0,0.0,0.1525,0,0,0.0,2,0.0964,0.0,0.0964,0.0,2,0.1268,0.0,0.1268,0.0,1,0.0785,0.0,0.1525
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1183,0.0,0.0,0.1641,0,0,0.0,2,0.1398,0.0,0.1398,0.0,2,0.04,0.0,0.1576,0.0,2,0.1162,0.0,0.1641
