prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1303,0.0,0.0,0.1481,0,0,0.0,1,0.1203,0.0,0.1203,0.0,1,0.1275,0.0,0.1275,0.0,2,0.1094,0.0,0.1481
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1101,0.0,0.0,0.1642,0,0,0.0,2,0.1128,0.0,0.1128,0.0,1,0.0124,0.0,0.1622,0.0,2,0.1484,0.0,0.1642
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1684,0.0,0.0,0.1832,0,0,0.0,2,0.1165,0.0,0.1165,0.0,2,0.134,0.0,0.1555,0.0,1,0.116,0.0,0.1832
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1543,0.0,0.0,0.1918,0,0,0.0,3,0.1717,0.0,0.1717,0.0,3,0.1717,0.0,0.1717,0.0,1,0.088,0.0,0.1918
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1093,0.0,0.0,0.1732,0,0,0.0,1,0.0739,0.0,0.0739,0.0,1,0.0617,0.0,0.1732,0.0,1,0.0617,0.0,0.1732
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1239,0.0,0.0,0.172,0,0,0.0,1,0.1064,0.0,0.1064,0.0,1,0.1064,0.0,0.16,0.0,2,0.0497,0.0,0.172
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1381,0.0,0.0,0.1598,0,0,0.0,2,0.0614,0.0,0.0614,0.0,2,0.0614,0.0,0.1402,0.0,2,0.0684,0.0,0.1598
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1585,0.0,0.0,0.1848,0,0,0.0,2,0.1456,0.0,0.1456,0.0,2,0.1404,0.0,0.1725,0.0,3,0.1342,0.0,0.1848
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.127,0.0,0.0,0.1554,0,0,0.0,2,0.0994,0.0,0.0994,0.0,2,0.0697,0.0,0.133,0.0,2,0.0986,0.0,0.1554
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1394,0.0,0.0,0.2022,0,0,0.0,2,0.1592,0.0,0.1592,0.0,3,0.1235,0.0,0.1785,0.0,2,0.1408,0.0,0.2022
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1518,0.0,0.0,0.1877,0,0,0.0,3,0.1433,0.0,0.1433,0.0,3,0.1433,0.0,0.1638,0.0,2,0.0941,0.0,0.1877
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.1271,0.0,0.0,0.1521,0,0,0.0,2,0.1436,0.0,0.1436,0.0,1,0.0702,0.0,0.1521,0.0,1,0.0496,0.0,0.1521
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.116,0.0,0.0,0.1493,0,0,0.0,2,0.1203,0.0,0.1203,0.0,1,0.0762,0.0,0.1205,0.0,2,0.0745,0.0,0.1493
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1183,0.0,0.0,0.1662,0,0,0.0,2,0.1232,0.0,0.1232,0.0,2,0.112,0.0,0.139,0.0,2,0.112,0.0,0.1662
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1243,0.0,0.0,0.179,0,0,0.0,2,0.179,0.0,0.179,0.0,4,0.144,0.0,0.179,0.0,3,0.0581,0.0,0.179
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1479,0.0,0.0,0.1829,0,0,0.0,3,0.1402,0.0,0.1402,0.0,2,0.1078,0.0,0.1644,0.0,2,0.1078,0.0,0.1829
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.1445,0.0,0.0,0.1547,0,0,0.0,1,0.0483,0.0,0.0483,0.0,2,0.1287,0.0,0.1481,0.0,2,0.1104,0.0,0.1547
