arm,dir,token,W,K_output,trajectories,prompts,violations,active_pct,forced_pct,risky_unchanged_pct,worst_span_median,worst_span_max,total_ratio_median
win_0,win_plain,0,,,500,500,0,0.0,100.0,0.0,0.0,0.0,0.0
win_4.16,win_plain,4.1589,4.1589,,500,500,0,100.0,0.0,0.0,3.45,4.11,5.34
win_12.48,win_plain,12.4767,12.4767,,500,500,0,94.66,0.19,5.15,11.48,12.48,33.38
win_24.95,win_plain,24.9534,24.9534,,500,500,0,68.77,0.05,31.18,23.76,24.95,76.28
win_40,win_plain,40,40.0,,500,500,0,37.94,0.11,61.94,38.29,40.0,120.59
win_125,win_plain,125,125.0,,500,500,0,0.08,0.0,99.92,64.37,124.71,171.94
pw_83.18,pw_plain,0.415888,,83.1776,500,500,0,75.09,0.0,24.91,28.36,46.96,76.35
pw_33.27,pw_plain,0.166355,,33.271,500,500,0,97.59,0.0,2.41,12.4,21.11,28.23
frontpw_4.16,front_plain,1e-09,,4.1588832,500,500,0,99.98,0.0,0.02,3.54,11.46,3.57
winc_0,win_chat,0,,,500,500,0,0.0,100.0,0.0,0.0,0.0,0.0
winc_12.48,win_chat,12.4767,12.4767,,500,500,0,91.87,0.96,7.17,11.93,12.48,29.39
winc_24.95,win_chat,24.9534,24.9534,,500,500,0,70.99,0.71,28.3,24.31,24.95,66.38
winc_40,win_chat,40,40.0,,500,500,0,47.14,0.6,52.26,38.97,40.0,113.38
winc_125,win_chat,125,125.0,,500,500,0,0.15,0.0,99.85,69.06,124.79,157.27
